"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","84,850","84,750","85,050","84,400","84,24K","-0,76%"
"30.12.2025","85,500","84,450","85,500","84,400","195,21K","1,12%"
"29.12.2025","84,550","84,250","84,700","83,600","282,65K","0,42%"
"24.12.2025","84,200","84,100","84,350","84,000","63,22K","-0,47%"
"23.12.2025","84,600","84,500","84,600","83,650","192,98K","-0,06%"
"22.12.2025","84,650","84,900","85,250","83,900","222,87K","-0,29%"
"19.12.2025","84,900","85,300","86,100","84,900","955,31K","-0,18%"
"18.12.2025","85,050","83,200","85,300","82,550","271,17K","2,10%"
"17.12.2025","83,300","85,000","85,300","82,700","324,47K","-2,29%"
"16.12.2025","85,250","85,300","86,300","84,900","372,23K","-1,50%"
"15.12.2025","86,550","84,200","86,800","84,200","258,64K","2,24%"
"12.12.2025","84,650","86,150","87,100","84,650","352,08K","-0,88%"
"11.12.2025","85,400","86,500","87,150","85,250","262,89K","-0,99%"
"10.12.2025","86,250","85,500","86,250","84,800","339,45K","2,01%"
"09.12.2025","84,550","83,650","85,600","82,000","418,99K","1,32%"
"08.12.2025","83,450","81,550","83,450","81,550","292,12K","2,77%"
"05.12.2025","81,200","82,500","83,150","81,050","278,50K","-1,04%"
"04.12.2025","82,050","81,700","82,200","81,100","351,56K","0,74%"
"03.12.2025","81,450","80,150","82,050","80,100","618,01K","1,50%"
"02.12.2025","80,250","78,550","80,700","78,300","542,16K","3,41%"
"01.12.2025","77,600","79,400","79,600","75,300","463,83K","-2,57%"
"28.11.2025","79,650","79,450","80,150","78,950","220,47K","0,19%"
"27.11.2025","79,500","80,100","80,500","79,500","161,89K","-0,50%"
"26.11.2025","79,900","79,000","80,350","78,600","367,66K","2,04%"
"25.11.2025","78,300","77,100","79,000","76,500","350,68K","3,57%"
"24.11.2025","75,600","73,150","76,250","72,750","3,10M","4,56%"
"21.11.2025","72,300","76,800","76,850","71,350","811,04K","-7,66%"
"20.11.2025","78,300","77,650","79,450","77,600","323,58K","1,82%"
"19.11.2025","76,900","77,100","77,550","76,100","282,57K","-0,13%"
"18.11.2025","77,000","76,550","77,650","76,100","353,14K","-1,03%"
"17.11.2025","77,800","78,000","78,650","76,650","306,63K","-0,13%"
"14.11.2025","77,900","77,750","77,900","75,450","386,99K","0,13%"
"13.11.2025","77,800","79,200","79,900","77,400","328,78K","-1,27%"
"12.11.2025","78,800","78,050","79,250","77,950","285,23K","0,90%"
"11.11.2025","78,100","77,800","78,650","77,350","422,41K","0,71%"
"10.11.2025","77,550","76,500","78,050","76,000","331,22K","2,72%"
"07.11.2025","75,500","75,100","76,700","75,100","446,70K","0,53%"
"06.11.2025","75,100","73,400","75,900","71,850","627,80K","1,69%"
"05.11.2025","73,850","72,400","73,950","72,400","273,59K","0,96%"
"04.11.2025","73,150","72,400","73,200","71,450","234,04K","-0,27%"
"03.11.2025","73,350","71,500","73,400","71,200","301,52K","3,02%"
"31.10.2025","71,200","72,450","72,500","71,050","229,26K","-1,93%"
"30.10.2025","72,600","72,600","73,100","72,300","219,61K","0,14%"
"29.10.2025","72,500","73,000","73,200","72,350","204,99K","-0,34%"
"28.10.2025","72,750","72,700","72,850","72,150","239,08K","-0,07%"
"27.10.2025","72,800","72,300","73,100","71,900","236,68K","1,04%"
"24.10.2025","72,050","71,450","72,050","70,200","220,61K","1,69%"
"23.10.2025","70,850","70,000","71,000","69,500","275,85K","1,43%"
"22.10.2025","69,850","70,750","71,500","69,750","387,74K","-0,21%"
"21.10.2025","70,000","71,000","71,150","69,800","196,71K","-1,27%"
"20.10.2025","70,900","71,150","71,350","70,450","215,38K","1,00%"
"17.10.2025","70,200","71,200","71,400","70,050","267,69K","-2,84%"
"16.10.2025","72,250","70,300","72,250","69,850","277,31K","2,85%"
