"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","12,660","12,600","12,660","12,570","598,33K","0,24%"
"30.12.2025","12,630","12,420","12,660","12,350","1,22M","2,43%"
"29.12.2025","12,330","12,170","12,440","12,080","963,54K","1,82%"
"24.12.2025","12,110","12,080","12,140","12,050","148,65K","0,33%"
"23.12.2025","12,070","12,010","12,080","11,950","357,45K","0,50%"
"22.12.2025","12,010","11,950","12,010","11,800","525,30K","0,84%"
"19.12.2025","11,910","11,960","11,960","11,810","700,46K","-0,75%"
"18.12.2025","12,000","11,940","12,040","11,850","681,29K","0,84%"
"17.12.2025","11,900","12,220","12,260","11,900","600,83K","-2,46%"
"16.12.2025","12,200","12,110","12,370","12,080","1,17M","0,99%"
"15.12.2025","12,080","12,030","12,120","11,960","637,30K","0,83%"
"12.12.2025","11,980","11,900","12,130","11,870","907,87K","0,76%"
"11.12.2025","11,890","11,860","11,900","11,770","476,66K","1,19%"
"10.12.2025","11,750","11,910","11,910","11,750","514,93K","-1,18%"
"09.12.2025","11,890","11,940","12,030","11,860","508,40K","-0,34%"
"08.12.2025","11,930","11,790","11,990","11,720","378,64K","1,62%"
"05.12.2025","11,740","11,900","11,930","11,660","674,37K","-0,51%"
"04.12.2025","11,800","11,970","12,000","11,790","676,60K","-1,09%"
"03.12.2025","11,930","12,120","12,170","11,930","605,08K","-0,83%"
"02.12.2025","12,030","12,170","12,210","12,030","458,27K","-1,31%"
"01.12.2025","12,190","12,220","12,280","12,070","554,16K","0,16%"
"28.11.2025","12,170","12,040","12,220","12,000","729,63K","1,08%"
"27.11.2025","12,040","12,140","12,140","12,000","585,37K","-0,25%"
"26.11.2025","12,070","11,980","12,260","11,930","1,63M","1,34%"
"25.11.2025","11,910","11,760","11,930","11,620","528,90K","1,36%"
"24.11.2025","11,750","11,630","11,880","11,590","771,67K","1,91%"
"21.11.2025","11,530","11,490","11,610","11,340","468,28K","-1,71%"
"20.11.2025","11,730","11,600","11,780","11,530","806,40K","1,56%"
"19.11.2025","11,550","11,250","11,560","11,180","755,05K","2,12%"
"18.11.2025","11,310","11,210","11,330","11,150","572,54K","-0,79%"
"17.11.2025","11,400","11,410","11,460","11,350","279,51K","-0,52%"
"14.11.2025","11,460","11,390","11,460","11,240","334,61K","-0,17%"
"13.11.2025","11,480","11,560","11,590","11,480","422,23K","-0,17%"
"12.11.2025","11,500","11,320","11,540","11,290","583,00K","2,13%"
"11.11.2025","11,260","11,350","11,350","11,220","661,62K","-0,35%"
"10.11.2025","11,300","11,370","11,370","11,220","588,50K","0,27%"
"07.11.2025","11,270","11,150","11,300","11,100","883,84K","1,17%"
"06.11.2025","11,140","11,160","11,310","11,120","455,78K","-0,09%"
"05.11.2025","11,150","11,150","11,240","11,100","422,28K","-0,54%"
"04.11.2025","11,210","11,160","11,280","11,030","741,65K","-1,15%"
