"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","23,82","23,78","23,83","23,67","732,52K","-0,04%"
"30.12.2025","23,83","23,86","23,88","23,75","700,61K","-0,04%"
"29.12.2025","23,84","23,92","23,96","23,63","843,80K","-0,08%"
"24.12.2025","23,86","23,98","24,02","23,86","185,96K","-0,08%"
"23.12.2025","23,88","23,80","23,94","23,72","946,52K","0,17%"
"22.12.2025","23,84","23,67","23,89","23,53","1,13M","1,10%"
"19.12.2025","23,58","23,64","23,90","23,49","3,88M","-0,21%"
"18.12.2025","23,63","23,53","23,75","23,43","1,03M","0,68%"
"17.12.2025","23,47","23,46","23,57","23,33","1,06M","0,00%"
"16.12.2025","23,47","23,90","23,93","23,47","1,13M","-1,47%"
"15.12.2025","23,82","23,70","23,87","23,47","1,02M","0,93%"
"12.12.2025","23,60","23,38","23,60","23,35","1,13M","1,33%"
"11.12.2025","23,29","22,98","23,32","22,90","911,29K","1,04%"
"10.12.2025","23,05","23,15","23,17","22,89","780,49K","-0,65%"
"09.12.2025","23,20","23,39","23,40","23,15","679,04K","-0,43%"
"08.12.2025","23,30","23,05","23,33","23,02","627,80K","1,00%"
"05.12.2025","23,07","23,12","23,32","23,03","511,45K","-0,17%"
"04.12.2025","23,11","23,31","23,36","23,09","1,17M","-0,69%"
"03.12.2025","23,27","23,36","23,55","23,27","1,27M","-0,56%"
"02.12.2025","23,40","23,52","23,71","23,40","1,01M","-0,21%"
"01.12.2025","23,45","23,46","23,51","23,21","763,87K","-0,04%"
"28.11.2025","23,46","23,49","23,49","23,33","576,94K","-0,13%"
"27.11.2025","23,49","23,49","23,54","23,40","277,13K","0,38%"
"26.11.2025","23,40","23,44","23,56","23,21","706,14K","0,43%"
"25.11.2025","23,30","23,40","23,50","23,16","831,74K","-0,72%"
"24.11.2025","23,47","23,28","23,47","23,13","4,67M","1,51%"
"21.11.2025","23,12","22,63","23,22","22,60","1,03M","2,08%"
"20.11.2025","22,65","22,70","23,08","22,65","1,07M","0,44%"
"19.11.2025","22,55","22,40","22,64","22,34","1,12M","0,49%"
"18.11.2025","22,44","22,65","22,68","22,31","1,23M","-1,84%"
"17.11.2025","22,86","23,01","23,08","22,80","529,44K","-0,78%"
"14.11.2025","23,04","23,09","23,19","22,77","751,76K","-0,65%"
"13.11.2025","23,19","22,94","23,37","22,88","1,01M","1,40%"
"12.11.2025","22,87","22,84","22,91","22,73","917,30K","0,40%"
"11.11.2025","22,78","22,50","23,04","22,48","1,04M","1,47%"
"10.11.2025","22,45","22,12","22,51","22,07","1,01M","2,23%"
"07.11.2025","21,96","22,58","22,70","21,96","1,97M","-2,14%"
"06.11.2025","22,44","22,89","23,00","22,30","2,49M","-5,40%"
"05.11.2025","23,72","23,75","23,89","23,49","1,23M","-0,17%"
"04.11.2025","23,76","23,52","23,76","23,31","942,74K","0,34%"
"03.11.2025","23,68","23,55","23,77","23,52","847,38K","0,55%"
"31.10.2025","23,55","23,74","23,76","23,33","985,33K","-1,09%"
"30.10.2025","23,81","23,21","23,81","23,09","1,24M","2,94%"
"29.10.2025","23,13","23,60","23,95","23,13","1,59M","-4,26%"
"28.10.2025","24,16","24,04","24,23","23,92","1,30M","0,58%"
"27.10.2025","24,02","23,93","24,06","23,83","814,51K","0,67%"
"24.10.2025","23,86","23,87","23,90","23,63","572,28K","0,21%"
"23.10.2025","23,81","23,53","23,85","23,47","771,32K","0,98%"
"22.10.2025","23,58","23,36","23,70","23,30","1,27M","1,33%"
"21.10.2025","23,27","23,65","23,71","23,18","1,30M","-1,02%"
"20.10.2025","23,51","23,31","23,73","23,27","1,70M","-1,05%"
"17.10.2025","23,76","23,34","23,79","23,15","3,39M","1,50%"
"16.10.2025","23,41","23,10","23,41","22,99","1,46M","1,43%"
"15.10.2025","23,08","23,01","23,14","22,89","1,29M","0,52%"
"14.10.2025","22,96","22,80","23,03","22,75","1,20M","1,23%"
"13.10.2025","22,68","22,76","22,88","22,66","645,42K","-0,48%"
"10.10.2025","22,79","22,55","22,83","22,53","1,36M","1,65%"
"09.10.2025","22,42","22,46","22,51","22,30","1,08M","-0,27%"
"08.10.2025","22,48","22,71","22,77","22,25","1,47M","-1,19%"
"07.10.2025","22,75","22,68","22,79","22,62","1,02M","0,26%"
"06.10.2025","22,69","22,78","22,86","22,67","785,51K","-0,66%"
"03.10.2025","22,84","22,96","23,10","22,81","937,57K","0,09%"
"02.10.2025","22,82","22,98","23,09","22,70","1,32M","-0,78%"
"01.10.2025","23,00","23,40","23,42","22,90","1,21M","-1,16%"
"30.09.2025","23,27","22,80","23,27","22,79","2,85M","2,02%"
"29.09.2025","22,81","22,94","22,99","22,76","1,56M","-0,61%"
"26.09.2025","22,95","22,80","23,02","22,60","1,22M","-1,21%"
"25.09.2025","23,23","23,29","23,34","23,08","719,36K","0,04%"
"24.09.2025","23,22","23,38","23,49","23,22","1,44M","-0,34%"
"23.09.2025","23,30","23,33","23,42","23,28","889,81K","0,00%"
"22.09.2025","23,30","23,31","23,57","23,29","1,55M","-0,04%"
"19.09.2025","23,31","23,25","23,61","23,17","6,53M","0,30%"
"18.09.2025","23,24","24,48","24,63","23,01","2,45M","-4,79%"
"17.09.2025","24,41","24,68","24,76","24,41","736,08K","-1,01%"
"16.09.2025","24,66","24,61","24,71","24,52","1,01M","0,45%"
"15.09.2025","24,55","24,96","24,98","24,45","618,31K","-1,29%"
"12.09.2025","24,87","24,65","24,93","24,61","777,58K","0,93%"
"11.09.2025","24,64","24,45","24,67","24,45","545,77K","0,86%"
"10.09.2025","24,43","24,46","24,61","24,39","884,59K","0,00%"
"09.09.2025","24,43","24,49","24,55","24,35","690,98K","-0,20%"
"08.09.2025","24,48","24,42","24,50","24,35","560,09K","0,29%"
"05.09.2025","24,41","24,37","24,47","24,27","863,96K","0,45%"
"04.09.2025","24,30","24,44","24,49","24,06","1,90M","-0,49%"
"03.09.2025","24,42","24,33","24,44","24,17","825,24K","0,87%"
"02.09.2025","24,21","24,62","24,68","24,13","816,76K","-2,14%"
"01.09.2025","24,74","24,82","24,82","24,56","390,12K","0,00%"
"29.08.2025","24,74","25,03","25,03","24,66","948,08K","-1,24%"
"28.08.2025","25,05","25,25","25,25","24,83","414,63K","-0,40%"
"27.08.2025","25,15","25,22","25,36","25,02","665,60K","0,08%"
"26.08.2025","25,13","25,15","25,23","24,93","2,16M","-0,91%"
"25.08.2025","25,36","25,45","25,53","25,23","539,29K","-0,55%"
"22.08.2025","25,50","25,40","25,68","25,40","726,92K","0,28%"
"21.08.2025","25,43","25,69","25,69","25,37","1,18M","-0,82%"
"20.08.2025","25,64","25,66","25,81","25,61","1,13M","0,04%"
"19.08.2025","25,63","25,76","25,82","25,61","1,53M","-0,31%"
"18.08.2025","25,71","25,75","25,78","25,51","793,14K","0,27%"
"15.08.2025","25,64","25,62","25,71","25,44","663,55K","0,91%"
"14.08.2025","25,41","25,23","25,41","25,20","716,42K","1,11%"
"13.08.2025","25,13","25,09","25,30","25,04","496,97K","0,92%"
"12.08.2025","24,90","24,79","24,90","24,68","1,13M","0,77%"
"11.08.2025","24,71","24,60","24,77","24,54","760,71K","0,94%"
"08.08.2025","24,48","24,58","24,60","24,38","550,18K","-0,24%"
"07.08.2025","24,54","24,34","24,74","24,32","879,18K","0,90%"
"06.08.2025","24,32","24,32","24,36","24,11","727,09K","0,50%"
"05.08.2025","24,20","24,26","24,27","24,05","916,89K","0,19%"
"04.08.2025","24,16","23,52","24,16","23,48","1,10M","2,70%"
"01.08.2025","23,52","23,50","23,63","23,36","809,73K","-0,32%"
"31.07.2025","23,59","23,97","24,01","23,50","1,29M","-1,26%"
"30.07.2025","23,90","23,70","24,07","23,54","1,12M","0,36%"
"29.07.2025","23,81","23,75","23,84","23,50","1,50M","0,72%"
"28.07.2025","23,64","23,80","23,81","23,52","1,32M","0,47%"
"25.07.2025","23,53","23,58","23,61","23,25","902,61K","-0,30%"
"24.07.2025","23,60","23,65","23,84","23,48","1,10M","0,55%"
"23.07.2025","23,47","23,58","23,85","23,43","1,25M","-0,19%"
"22.07.2025","23,51","23,49","23,58","23,45","648,58K","-0,40%"
"21.07.2025","23,61","23,51","23,65","23,31","1,08M","0,77%"
"18.07.2025","23,43","23,75","23,75","23,39","1,11M","-0,74%"
"17.07.2025","23,60","23,44","23,64","23,30","1,32M","0,96%"
"16.07.2025","23,38","23,42","23,80","23,23","1,72M","1,87%"
"15.07.2025","22,95","23,50","23,51","22,86","916,21K","-2,34%"
"14.07.2025","23,50","23,23","23,50","23,17","661,85K","0,51%"
"11.07.2025","23,38","23,28","23,52","23,24","822,09K","0,36%"
"10.07.2025","23,30","23,44","23,44","23,17","1,27M","-0,60%"
"09.07.2025","23,43","22,93","23,50","22,93","1,18M","2,45%"
"08.07.2025","22,88","22,67","22,99","22,64","1,51M","0,82%"
"07.07.2025","22,69","22,53","22,74","22,53","1,28M","0,75%"
"04.07.2025","22,52","22,70","22,75","22,45","656,50K","-0,79%"
"03.07.2025","22,70","22,61","22,74","22,52","784,48K","0,27%"
"02.07.2025","22,64","22,76","22,97","22,59","1,04M","-0,48%"
"01.07.2025","22,75","22,72","22,90","22,67","1,29M","0,40%"
"30.06.2025","22,66","22,68","22,80","22,55","2,79M","0,71%"
"27.06.2025","22,50","22,52","22,65","22,39","2,02M","0,29%"
"26.06.2025","22,43","22,60","22,71","22,43","1,29M","-0,84%"
"25.06.2025","22,63","22,72","22,75","22,52","1,45M","-0,61%"
"24.06.2025","22,76","22,76","23,03","22,69","1,88M","1,16%"
"23.06.2025","22,50","22,77","22,99","22,48","912,19K","-1,19%"
"20.06.2025","22,77","22,70","22,95","22,45","4,67M","0,15%"
"19.06.2025","22,74","23,08","23,08","22,68","1,29M","-1,64%"
"18.06.2025","23,12","23,16","23,28","23,02","1,63M","0,00%"
"17.06.2025","23,12","23,20","23,36","23,10","1,40M","-0,86%"
"16.06.2025","23,32","23,20","23,40","23,14","1,25M","1,22%"
"13.06.2025","23,04","23,34","23,36","22,76","1,78M","-1,87%"
"12.06.2025","23,48","23,62","23,76","23,32","1,08M","-1,76%"
"11.06.2025","23,90","24,04","24,06","23,86","1,05M","0,17%"
"10.06.2025","23,86","24,04","24,16","23,84","736,00K","-0,42%"
"09.06.2025","23,96","24,24","24,24","23,94","658,86K","-1,24%"
"06.06.2025","24,26","23,94","24,26","23,94","851,55K","1,08%"
"05.06.2025","24,00","24,04","24,10","23,84","792,55K","-0,08%"
"04.06.2025","24,02","23,82","24,08","23,66","915,13K","1,26%"
"03.06.2025","23,72","24,02","24,04","23,62","958,53K","-0,75%"
"02.06.2025","23,90","23,70","23,94","23,60","754,73K","0,84%"
"30.05.2025","23,70","23,64","23,88","23,62","6,77M","0,77%"
"29.05.2025","23,52","23,84","23,86","23,52","1,10M","-0,93%"
"28.05.2025","23,74","23,90","23,96","23,70","1,13M","-0,84%"
"27.05.2025","23,94","23,94","24,04","23,84","1,78M","0,08%"
"26.05.2025","23,92","24,08","24,10","23,86","621,89K","0,42%"
"23.05.2025","23,82","24,10","24,12","23,52","1,01M","-1,00%"
"22.05.2025","24,06","24,34","24,38","23,96","1,10M","-0,99%"
"21.05.2025","24,30","24,26","24,40","24,20","973,55K","0,16%"
"20.05.2025","24,26","23,78","24,40","23,78","1,61M","2,36%"
"19.05.2025","23,70","23,54","23,72","23,44","1,57M","0,68%"
"16.05.2025","23,54","23,48","23,68","23,36","1,11M","0,77%"
"15.05.2025","23,36","22,90","23,40","22,90","1,38M","2,10%"
"14.05.2025","22,88","22,76","22,96","22,64","1,41M","0,44%"
"13.05.2025","22,78","22,68","22,86","22,64","958,97K","0,80%"
"12.05.2025","22,60","23,10","23,34","22,40","1,72M","-1,31%"
"09.05.2025","22,90","22,94","23,10","22,84","962,86K","-0,09%"
"08.05.2025","22,92","23,24","23,24","22,78","1,11M","-0,61%"
"07.05.2025","23,06","23,32","23,38","22,94","1,65M","-1,11%"
"06.05.2025","23,32","23,04","23,32","22,98","902,95K","1,48%"
"05.05.2025","22,98","22,98","23,02","22,72","942,24K","0,70%"
"02.05.2025","22,82","22,30","22,82","22,04","1,87M","3,07%"
"30.04.2025","22,14","22,00","22,24","21,68","4,00M","2,69%"
"29.04.2025","21,56","21,72","21,80","21,48","1,48M","-0,46%"
"28.04.2025","21,66","21,72","21,72","21,48","1,58M","0,28%"
"25.04.2025","21,60","21,64","21,74","21,54","1,53M","0,28%"
"24.04.2025","21,54","21,18","21,54","21,16","1,34M","1,80%"
"23.04.2025","21,16","21,44","21,46","21,02","1,61M","-0,19%"
"22.04.2025","21,20","20,76","21,20","20,60","1,95M","-2,75%"
"17.04.2025","21,80","21,62","21,96","21,54","1,16M","0,55%"
"16.04.2025","21,68","21,50","21,68","21,42","1,30M","0,84%"
"15.04.2025","21,50","21,20","21,58","21,20","1,40M","1,42%"
"14.04.2025","21,20","21,00","21,20","20,78","1,93M","2,12%"
"11.04.2025","20,76","20,80","20,86","20,50","1,23M","0,29%"
"10.04.2025","20,70","21,18","21,18","20,44","2,32M","3,50%"
"09.04.2025","20,00","20,38","20,56","19,90","2,35M","-3,29%"
"08.04.2025","20,68","20,42","20,84","19,95","2,21M","0,29%"
"07.04.2025","20,62","20,52","21,60","20,24","2,58M","-4,54%"
"04.04.2025","21,60","22,28","22,40","21,46","1,94M","-3,40%"
"03.04.2025","22,36","22,26","22,62","22,14","2,10M","0,45%"
"02.04.2025","22,26","21,86","22,26","21,84","1,58M","1,74%"
"01.04.2025","21,88","21,70","21,94","21,60","1,04M","1,02%"
"31.03.2025","21,66","21,90","21,90","21,66","2,58M","-1,46%"
"28.03.2025","21,98","21,90","22,02","21,80","1,42M","0,27%"
"27.03.2025","21,92","21,80","21,94","21,56","858,50K","0,18%"
"26.03.2025","21,88","21,90","21,98","21,84","1,21M","0,00%"
"25.03.2025","21,88","21,78","21,98","21,66","1,35M","1,11%"
"24.03.2025","21,64","21,80","22,08","21,62","1,58M","-0,55%"
"21.03.2025","21,76","21,74","22,00","21,70","4,38M","-0,27%"
"20.03.2025","21,82","21,86","21,94","21,72","2,27M","0,00%"
"19.03.2025","21,82","21,80","21,82","21,62","975,03K","-0,37%"
"18.03.2025","21,90","21,70","21,90","21,40","1,64M","0,92%"
"17.03.2025","21,70","21,56","21,70","21,36","788,17K","0,84%"
"14.03.2025","21,52","21,14","21,54","21,14","1,63M","2,09%"
"13.03.2025","21,08","21,22","21,30","20,98","1,39M","-0,66%"
"12.03.2025","21,22","21,74","21,74","20,96","1,85M","-2,21%"
"11.03.2025","21,70","21,82","22,02","21,56","1,55M","-0,28%"
"10.03.2025","21,76","21,74","22,00","21,52","1,60M","0,09%"
"07.03.2025","21,74","21,14","21,74","21,06","1,97M","2,55%"
"06.03.2025","21,20","21,50","21,52","21,08","2,08M","-1,40%"
"05.03.2025","21,50","21,76","21,92","21,38","1,42M","-0,83%"
