"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","62,840","62,420","62,840","62,340","170,30K","-0,03%"
"30.12.2025","62,860","62,640","62,860","62,480","278,76K","0,29%"
"29.12.2025","62,680","62,480","62,880","62,100","290,13K","0,84%"
"24.12.2025","62,160","62,540","62,640","62,160","114,16K","-0,19%"
"23.12.2025","62,280","62,880","63,080","62,280","218,72K","-1,08%"
"22.12.2025","62,960","62,920","63,340","62,500","295,32K","-0,06%"
"19.12.2025","63,000","63,100","63,700","62,740","979,36K","-1,10%"
"18.12.2025","63,700","61,920","63,700","61,900","761,81K","2,84%"
"17.12.2025","61,940","61,600","62,060","61,140","658,48K","-0,42%"
"16.12.2025","62,200","62,440","62,460","61,900","711,68K","0,03%"
"15.12.2025","62,180","62,660","63,200","62,100","522,23K","-0,61%"
"12.12.2025","62,560","62,220","62,980","62,020","479,71K","1,10%"
"11.12.2025","61,880","61,560","62,300","61,280","397,39K","0,42%"
"10.12.2025","61,620","60,400","61,740","60,320","443,77K","1,52%"
"09.12.2025","60,700","61,000","61,000","60,340","433,59K","-0,33%"
"08.12.2025","60,900","61,200","61,580","60,620","524,73K","-0,52%"
"05.12.2025","61,220","61,940","62,540","61,220","450,42K","-0,75%"
"04.12.2025","61,680","62,080","62,360","61,680","735,54K","-0,71%"
"03.12.2025","62,120","61,420","62,740","61,420","753,16K","0,94%"
"02.12.2025","61,540","62,620","62,680","61,120","637,68K","-1,85%"
"01.12.2025","62,700","63,060","63,420","62,380","606,19K","-1,01%"
"28.11.2025","63,340","63,220","63,460","62,720","312,29K","0,38%"
"27.11.2025","63,100","63,700","63,700","63,060","343,10K","-0,79%"
"26.11.2025","63,600","63,800","63,800","62,540","614,61K","0,19%"
"25.11.2025","63,480","62,600","63,480","62,040","651,49K","0,57%"
"24.11.2025","63,120","62,400","63,680","62,400","1,89M","2,07%"
"21.11.2025","61,840","60,000","62,000","59,680","547,68K","2,90%"
"20.11.2025","60,100","62,280","62,320","60,100","947,07K","-3,06%"
"19.11.2025","62,000","62,240","62,640","61,680","590,85K","-0,51%"
"18.11.2025","62,320","64,520","64,600","61,920","949,36K","-5,17%"
"17.11.2025","65,720","67,200","67,220","65,660","314,73K","-1,97%"
"14.11.2025","67,040","67,340","67,340","66,140","379,93K","-1,30%"
"13.11.2025","67,920","68,060","68,320","67,620","344,11K","-0,03%"
"12.11.2025","67,940","67,160","68,120","66,660","387,13K","1,55%"
"11.11.2025","66,900","67,060","67,100","65,300","458,43K","0,51%"
"10.11.2025","66,560","67,640","68,500","66,360","671,39K","-0,36%"
"07.11.2025","66,800","68,200","68,380","66,180","963,05K","1,55%"
"06.11.2025","65,780","67,080","67,500","65,780","921,81K","-2,17%"
"05.11.2025","67,240","65,520","67,580","65,380","728,47K","1,97%"
"04.11.2025","65,940","65,300","66,100","64,860","501,64K","-0,36%"
"03.11.2025","66,180","66,180","66,960","66,120","501,07K","-0,21%"
"31.10.2025","66,320","66,500","66,740","65,860","534,96K","-0,27%"
"30.10.2025","66,500","65,940","66,680","65,820","483,10K","0,42%"
"29.10.2025","66,220","67,380","67,460","65,920","713,50K","-1,72%"
"28.10.2025","67,380","67,720","68,200","67,280","769,98K","-0,97%"
"27.10.2025","68,040","68,040","68,240","67,760","405,04K","0,21%"
"24.10.2025","67,900","68,200","68,340","67,560","419,75K","-0,15%"
"23.10.2025","68,000","68,640","69,060","68,000","392,94K","-1,36%"
"22.10.2025","68,940","68,600","69,100","68,420","576,65K","0,50%"
"21.10.2025","68,600","68,000","68,660","67,720","633,16K","1,18%"
"20.10.2025","67,800","67,980","68,040","67,500","628,74K","0,98%"
"17.10.2025","67,140","67,140","67,540","66,480","562,97K","-0,91%"
"16.10.2025","67,760","68,000","68,020","67,300","663,71K","-0,29%"
"15.10.2025","67,960","68,280","68,360","67,740","587,53K","0,62%"
"14.10.2025","67,540","67,300","67,940","67,180","701,62K","-0,35%"
"13.10.2025","67,780","67,440","68,020","67,380","460,37K","0,44%"
"10.10.2025","67,480","68,580","68,780","67,360","711,47K","-1,35%"
"09.10.2025","68,400","69,240","69,260","68,360","430,62K","-1,07%"
"08.10.2025","69,140","67,700","69,300","67,700","465,73K","1,74%"
"07.10.2025","67,960","68,380","68,800","67,960","493,05K","-0,35%"
"06.10.2025","68,200","67,780","68,380","67,600","490,59K","0,59%"
"03.10.2025","67,800","67,780","68,460","67,780","583,75K","0,18%"
"02.10.2025","67,680","67,900","68,220","67,180","634,78K","-0,32%"
"01.10.2025","67,900","67,460","68,360","66,860","772,83K","0,59%"
"30.09.2025","67,500","65,940","67,640","65,940","996,59K","2,06%"
"29.09.2025","66,140","66,100","66,640","65,860","485,32K","0,39%"
"26.09.2025","65,880","65,320","65,880","65,140","581,23K","1,29%"
"25.09.2025","65,040","64,920","65,520","64,760","657,89K","-0,79%"
"24.09.2025","65,560","65,780","66,500","65,120","762,73K","-1,09%"
"23.09.2025","66,280","66,600","66,920","66,260","705,75K","-0,33%"
"22.09.2025","66,500","67,260","67,380","66,300","528,28K","-1,28%"
"19.09.2025","67,360","67,520","67,800","67,260","1,40M","-0,36%"
"18.09.2025","67,600","67,800","68,260","67,420","438,39K","0,30%"
"17.09.2025","67,400","67,400","67,940","67,360","528,70K","-0,06%"
"16.09.2025","67,440","68,000","68,200","67,340","555,35K","-0,82%"
"15.09.2025","68,000","68,040","68,480","67,860","391,64K","0,00%"
"12.09.2025","68,000","68,180","68,460","67,840","573,81K","-0,29%"
"11.09.2025","68,200","68,400","68,920","67,920","521,99K","-0,29%"
"10.09.2025","68,400","69,260","69,680","68,160","540,97K","-1,24%"
"09.09.2025","69,260","69,100","69,760","68,960","501,76K","0,23%"
"08.09.2025","69,100","68,480","69,220","68,340","365,28K","0,79%"
"05.09.2025","68,560","68,260","69,200","68,140","610,58K","0,59%"
"04.09.2025","68,160","68,240","68,540","67,820","512,88K","-0,12%"
"03.09.2025","68,240","68,840","68,840","68,200","669,10K","0,65%"
"02.09.2025","67,800","68,840","68,900","67,340","689,38K","-1,51%"
"01.09.2025","68,840","70,300","70,720","68,520","703,40K","-3,85%"
"29.08.2025","71,600","72,440","72,440","71,600","400,62K","-1,19%"
"28.08.2025","72,460","72,600","73,020","72,220","300,64K","-0,17%"
"27.08.2025","72,580","72,200","72,980","72,060","403,31K","0,83%"
"26.08.2025","71,980","71,920","72,600","71,500","558,62K","-0,58%"
"25.08.2025","72,400","72,500","72,940","72,060","305,70K","-0,14%"
"22.08.2025","72,500","73,280","73,280","71,760","273,27K","1,09%"
"21.08.2025","71,720","72,000","72,000","71,500","325,80K","-0,39%"
"20.08.2025","72,000","71,780","72,280","71,100","569,20K","-0,36%"
"19.08.2025","72,260","71,740","72,700","71,700","469,54K","0,36%"
"18.08.2025","72,000","72,240","72,340","71,380","198,29K","-0,28%"
"15.08.2025","72,200","71,640","72,200","71,300","497,62K","1,35%"
"14.08.2025","71,240","70,800","71,360","70,720","313,75K","1,16%"
"13.08.2025","70,420","70,240","70,540","69,960","368,64K","0,95%"
"12.08.2025","69,760","70,720","70,800","69,580","572,35K","-1,08%"
"11.08.2025","70,520","71,080","71,340","70,520","463,76K","-0,54%"
"08.08.2025","70,900","71,400","71,560","70,880","395,06K","-0,78%"
"07.08.2025","71,460","70,980","72,640","70,980","657,81K","0,82%"
"06.08.2025","70,880","70,680","71,140","70,120","599,17K","1,11%"
"05.08.2025","70,100","70,900","71,060","70,020","674,11K","-0,51%"
"04.08.2025","70,460","69,240","70,460","69,220","668,91K","1,47%"
"01.08.2025","69,440","70,020","70,480","68,960","685,84K","-1,39%"
"31.07.2025","70,420","70,720","73,600","69,660","1,25M","-0,42%"
"30.07.2025","70,720","71,420","71,680","70,380","689,90K","-0,90%"
"29.07.2025","71,360","71,500","72,240","71,360","586,60K","-0,14%"
"28.07.2025","71,460","72,400","73,080","71,280","520,68K","-0,61%"
"25.07.2025","71,900","71,800","72,300","71,220","386,81K","-0,55%"
"24.07.2025","72,300","71,600","72,300","71,220","652,60K","1,54%"
"23.07.2025","71,200","71,000","71,720","70,800","672,61K","0,85%"
"22.07.2025","70,600","69,900","70,640","69,900","572,43K","0,54%"
"21.07.2025","70,220","70,560","70,820","70,220","473,79K","-0,48%"
"18.07.2025","70,560","71,020","71,200","70,300","485,58K","-0,31%"
"17.07.2025","70,780","70,500","71,480","70,360","725,63K","0,57%"
"16.07.2025","70,380","70,380","71,260","70,360","512,62K","-0,65%"
"15.07.2025","70,840","71,860","72,500","70,760","421,89K","-1,25%"
"14.07.2025","71,740","70,860","71,740","70,640","347,07K","0,00%"
"11.07.2025","71,740","71,480","72,460","71,280","525,23K","-0,55%"
"10.07.2025","72,140","71,220","72,140","70,500","606,33K","1,26%"
"09.07.2025","71,240","70,960","71,440","70,760","371,95K","0,76%"
"08.07.2025","70,700","70,940","71,280","70,220","568,56K","-0,34%"
"07.07.2025","70,940","70,300","70,980","70,200","430,85K","0,91%"
"04.07.2025","70,300","70,680","70,800","70,160","378,34K","-1,04%"
"03.07.2025","71,040","70,480","71,040","69,800","445,62K","0,79%"
"02.07.2025","70,480","70,880","71,200","69,760","605,64K","-1,56%"
"01.07.2025","71,600","71,900","72,100","71,200","714,34K","0,17%"
"30.06.2025","71,480","70,520","71,480","70,400","760,72K","1,85%"
"27.06.2025","70,180","69,160","70,280","69,020","578,49K","2,12%"
"26.06.2025","68,720","68,600","68,900","68,040","719,66K","0,06%"
"25.06.2025","68,680","69,660","69,940","68,620","644,10K","-1,18%"
"24.06.2025","69,500","69,400","70,320","69,160","657,25K","3,12%"
"23.06.2025","67,400","67,540","68,400","67,200","929,58K","-1,23%"
"20.06.2025","68,240","68,180","69,320","68,180","1,29M","0,06%"
"19.06.2025","68,200","69,660","70,100","68,100","682,20K","-2,99%"
"18.06.2025","70,300","70,320","70,760","70,220","649,96K","0,09%"
"17.06.2025","70,240","69,320","70,620","69,000","889,13K","-2,71%"
"16.06.2025","72,200","70,840","72,760","70,700","625,34K","2,18%"
"13.06.2025","70,660","70,240","70,980","69,760","527,77K","-1,59%"
"12.06.2025","71,800","73,520","73,580","70,960","563,29K","-3,00%"
"11.06.2025","74,020","74,940","75,240","74,020","387,82K","-1,33%"
"10.06.2025","75,020","74,780","75,300","74,660","315,25K","0,32%"
"09.06.2025","74,780","74,780","75,380","74,760","332,75K","-0,29%"
"06.06.2025","75,000","74,180","75,080","73,940","433,37K","0,75%"
"05.06.2025","74,440","74,080","74,460","73,340","501,97K","0,73%"
"04.06.2025","73,900","73,840","74,380","73,540","394,13K","0,38%"
"03.06.2025","73,620","74,340","74,400","73,180","444,48K","-0,65%"
"02.06.2025","74,100","72,880","74,400","72,580","509,49K","0,98%"
"30.05.2025","73,380","72,520","73,440","72,520","993,53K","0,88%"
"29.05.2025","72,740","73,640","73,800","72,480","303,34K","-0,63%"
