"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","185,900","185,000","185,900","184,600","20,20K","-0,11%"
"30.12.2025","186,100","185,000","186,400","184,400","32,65K","0,11%"
"29.12.2025","185,900","183,500","185,900","182,800","41,02K","0,81%"
"24.12.2025","184,400","184,000","184,700","183,800","8,62K","0,11%"
"23.12.2025","184,200","185,400","186,200","184,200","36,38K","-0,65%"
"22.12.2025","185,400","186,200","186,400","182,500","51,98K","-0,59%"
"19.12.2025","186,500","181,900","187,900","181,600","120,85K","2,81%"
"18.12.2025","181,400","180,700","182,300","179,800","68,30K","-0,17%"
"17.12.2025","181,700","184,100","184,800","180,200","86,72K","-1,41%"
"16.12.2025","184,300","181,500","186,400","181,500","79,51K","1,26%"
"15.12.2025","182,000","179,700","182,900","179,100","49,92K","1,73%"
"12.12.2025","178,900","177,800","180,200","176,800","41,80K","1,42%"
"11.12.2025","176,400","177,400","177,400","175,200","46,97K","-0,23%"
"10.12.2025","176,800","175,300","178,400","175,300","55,12K","0,11%"
"09.12.2025","176,600","176,700","179,200","175,100","56,55K","-0,06%"
"08.12.2025","176,700","174,700","177,900","174,700","58,13K","1,49%"
"05.12.2025","174,100","175,500","175,800","173,400","72,50K","-0,51%"
"04.12.2025","175,000","172,400","175,500","171,800","83,04K","2,46%"
"03.12.2025","170,800","172,300","173,400","170,500","77,87K","-0,87%"
"02.12.2025","172,300","169,900","173,900","169,500","73,10K","1,35%"
"01.12.2025","170,000","171,200","172,600","169,100","98,97K","-1,68%"
"28.11.2025","172,900","175,200","175,200","171,100","42,97K","-0,75%"
"27.11.2025","174,200","173,700","175,600","172,600","67,88K","0,58%"
"26.11.2025","173,200","171,500","174,400","171,300","80,35K","2,36%"
"25.11.2025","169,200","171,900","171,900","167,200","84,00K","-0,99%"
"24.11.2025","170,900","168,400","170,900","166,700","334,28K","1,06%"
"21.11.2025","169,100","166,800","173,200","165,000","113,85K","-2,87%"
"20.11.2025","174,100","178,200","179,700","174,100","78,64K","-1,58%"
"19.11.2025","176,900","179,000","180,200","174,100","100,96K","-1,61%"
"18.11.2025","179,800","178,300","182,400","177,000","90,27K","-0,83%"
"17.11.2025","181,300","183,000","183,700","178,500","83,57K","-0,93%"
"14.11.2025","183,000","195,000","195,000","175,700","224,57K","-7,62%"
"13.11.2025","198,100","201,600","203,000","198,100","49,58K","-1,54%"
"12.11.2025","201,200","196,900","201,200","196,700","47,59K","3,13%"
"11.11.2025","195,100","199,000","199,100","193,800","34,28K","-1,71%"
"10.11.2025","198,500","196,500","199,800","196,200","33,69K","1,85%"
"07.11.2025","194,900","196,700","198,700","194,400","50,14K","-0,51%"
"06.11.2025","195,900","198,000","198,100","194,400","56,19K","-1,16%"
"05.11.2025","198,200","197,100","202,400","195,900","74,59K","-0,45%"
"04.11.2025","199,100","191,800","199,100","190,500","70,09K","2,47%"
"03.11.2025","194,300","191,900","194,400","191,100","55,30K","1,20%"
"31.10.2025","192,000","195,200","196,300","191,500","62,09K","-1,29%"
"30.10.2025","194,500","192,900","195,000","191,000","64,30K","0,15%"
"29.10.2025","194,200","195,900","196,200","193,500","63,57K","-0,82%"
"28.10.2025","195,800","192,600","197,600","192,400","82,59K","3,05%"
"27.10.2025","190,000","191,200","191,400","188,700","47,50K","-0,68%"
"24.10.2025","191,300","190,900","191,300","188,300","35,43K","0,42%"
"23.10.2025","190,500","186,600","190,900","186,600","41,16K","1,44%"
"22.10.2025","187,800","187,300","192,100","186,900","80,10K","0,70%"
"21.10.2025","186,500","188,000","189,300","186,100","41,40K","-0,69%"
"20.10.2025","187,800","187,300","189,800","186,500","33,04K","0,81%"
"17.10.2025","186,300","187,300","188,800","183,800","54,68K","-1,27%"
"16.10.2025","188,700","187,000","188,700","185,900","37,86K","1,51%"
"15.10.2025","185,900","182,700","185,900","182,000","57,52K","2,14%"
"14.10.2025","182,000","183,000","183,900","179,000","52,09K","-1,03%"
"13.10.2025","183,900","182,700","184,800","181,700","44,00K","0,71%"
"10.10.2025","182,600","185,400","186,600","182,600","72,90K","-1,83%"
"09.10.2025","186,000","181,500","186,600","181,000","70,01K","2,76%"
"08.10.2025","181,000","179,500","183,200","179,500","55,96K","1,29%"
"07.10.2025","178,700","178,500","180,100","177,100","54,39K","0,17%"
