"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","22,40","22,28","22,42","22,22","111,12K","0,18%"
"30.12.2025","22,36","22,26","22,48","22,12","152,90K","0,45%"
"29.12.2025","22,26","21,92","22,26","21,70","186,07K","1,00%"
"24.12.2025","22,04","21,80","22,04","21,80","44,69K","0,92%"
"23.12.2025","21,84","21,70","22,04","21,32","166,55K","0,65%"
"22.12.2025","21,70","21,76","21,76","21,38","136,46K","-0,46%"
"19.12.2025","21,80","21,44","22,00","21,44","889,41K","1,21%"
"18.12.2025","21,54","21,48","21,56","21,30","172,55K","0,19%"
"17.12.2025","21,50","21,72","21,86","21,40","154,74K","-1,01%"
"16.12.2025","21,72","21,50","21,82","21,30","222,21K","1,21%"
"15.12.2025","21,46","21,04","21,46","21,00","259,14K","2,58%"
"12.12.2025","20,92","20,54","21,08","20,52","194,41K","2,15%"
"11.12.2025","20,48","20,64","20,74","20,42","293,10K","-1,73%"
"10.12.2025","20,84","21,08","21,10","20,82","120,90K","-1,14%"
"09.12.2025","21,08","21,16","21,38","21,04","103,04K","-0,19%"
"08.12.2025","21,12","21,10","21,30","21,10","119,06K","0,28%"
"05.12.2025","21,06","21,58","21,58","21,02","258,77K","-1,13%"
"04.12.2025","21,30","20,92","21,36","20,90","156,20K","1,82%"
"03.12.2025","20,92","21,10","21,36","20,84","193,35K","-0,76%"
"02.12.2025","21,08","20,64","21,30","20,54","244,72K","2,03%"
"01.12.2025","20,66","21,00","21,00","20,62","147,24K","-1,99%"
"28.11.2025","21,08","21,20","21,20","20,88","194,19K","-0,28%"
"27.11.2025","21,14","20,90","21,30","20,82","213,13K","2,13%"
"26.11.2025","20,70","20,68","20,96","20,48","221,32K","1,97%"
"25.11.2025","20,30","20,44","20,44","20,00","254,69K","-0,88%"
"24.11.2025","20,48","20,00","20,52","19,99","377,51K","1,69%"
"21.11.2025","20,14","20,50","20,54","19,94","331,10K","-2,89%"
"20.11.2025","20,74","21,16","21,48","20,74","243,44K","-1,89%"
"19.11.2025","21,14","21,70","21,72","21,14","297,74K","-3,03%"
"18.11.2025","21,80","22,10","22,42","21,80","369,46K","-2,94%"
"17.11.2025","22,46","22,84","23,04","22,08","367,72K","-0,88%"
"14.11.2025","22,66","23,22","23,34","21,84","945,75K","-5,90%"
"13.11.2025","24,08","24,20","24,60","24,04","175,45K","-0,58%"
"12.11.2025","24,22","23,90","24,28","23,90","160,28K","1,68%"
"11.11.2025","23,82","24,54","24,58","23,72","179,87K","-2,78%"
"10.11.2025","24,50","24,26","24,62","24,26","137,89K","1,66%"
"07.11.2025","24,10","24,64","24,96","24,06","224,44K","-1,23%"
"06.11.2025","24,40","25,16","25,16","24,38","277,03K","-2,63%"
"05.11.2025","25,06","24,72","25,06","24,50","264,13K","1,13%"
"04.11.2025","24,78","23,88","24,78","23,58","364,97K","2,74%"
"03.11.2025","24,12","23,86","24,30","23,64","296,86K","1,09%"
"31.10.2025","23,86","24,26","24,32","23,84","153,57K","-1,24%"
