"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","20.050","19.855","20.130","19.855","3.74M","-0.15%"
"12/30/2025","20.080","19.675","20.120","19.675","6.13M","1.47%"
"12/29/2025","19.790","19.790","19.890","19.695","8.26M","0.20%"
"12/24/2025","19.750","19.630","19.840","19.630","2.19M","-0.10%"
"12/23/2025","19.770","19.750","19.875","19.490","7.07M","-0.05%"
"12/22/2025","19.780","19.785","20.030","19.730","6.16M","0.03%"
"12/19/2025","19.775","19.700","19.930","19.480","20.18M","1.07%"
"12/18/2025","19.565","19.205","19.565","19.135","8.20M","1.95%"
"12/17/2025","19.190","19.380","19.445","19.110","7.70M","-0.60%"
"12/16/2025","19.305","19.370","19.720","19.305","7.40M","-1.30%"
"12/15/2025","19.560","19.415","19.560","19.385","6.80M","1.85%"
"12/12/2025","19.205","19.500","19.560","19.135","8.03M","-1.13%"
"12/11/2025","19.425","19.065","19.565","18.900","7.10M","2.34%"
"12/10/2025","18.980","18.830","19.125","18.830","7.15M","0.24%"
"12/09/2025","18.935","18.950","19.070","18.790","6.75M","-0.13%"
"12/08/2025","18.960","18.800","18.960","18.730","5.13M","0.45%"
"12/05/2025","18.875","19.095","19.255","18.850","6.33M","-1.15%"
"12/04/2025","19.095","18.960","19.095","18.645","9.61M","2.19%"
"12/03/2025","18.685","18.795","19.075","18.685","9.58M","-0.69%"
"12/02/2025","18.815","18.780","18.980","18.750","8.39M","0.29%"
"12/01/2025","18.760","18.570","18.760","18.450","6.92M","1.05%"
"11/28/2025","18.565","18.530","18.665","18.480","4.31M","0.22%"
"11/27/2025","18.525","18.625","18.640","18.480","3.48M","-0.40%"
"11/26/2025","18.600","18.315","18.600","18.310","6.53M","1.72%"
"11/25/2025","18.285","17.930","18.410","17.900","5.26M","1.70%"
"11/24/2025","17.980","17.775","18.085","17.775","12.76M","1.55%"
"11/21/2025","17.705","17.540","17.805","17.465","9.77M","-1.42%"
"11/20/2025","17.960","17.960","18.150","17.855","7.52M","1.13%"
"11/19/2025","17.760","17.665","17.885","17.490","10.14M","0.91%"
"11/18/2025","17.600","17.715","17.895","17.485","9.11M","-2.82%"
"11/17/2025","18.110","18.335","18.460","18.020","7.67M","-1.50%"
"11/14/2025","18.385","18.500","18.690","18.225","11.02M","-2.62%"
"11/13/2025","18.880","18.880","19.085","18.870","8.92M","-0.13%"
"11/12/2025","18.905","18.570","18.910","18.560","10.48M","1.94%"
"11/11/2025","18.545","18.280","18.570","18.230","8.20M","1.87%"
"11/10/2025","18.205","17.810","18.210","17.715","9.86M","4.21%"
"11/07/2025","17.470","17.940","18.005","17.460","11.93M","-2.59%"
"11/06/2025","17.935","17.580","18.045","17.570","9.55M","1.67%"
"11/05/2025","17.640","17.150","17.640","17.125","7.06M","0.57%"
"11/04/2025","17.540","17.210","17.620","17.100","7.82M","1.39%"
"11/03/2025","17.300","17.565","17.790","17.300","8.86M","-0.77%"
"10/31/2025","17.435","17.350","17.700","17.255","9.38M","0.90%"
"10/30/2025","17.280","17.390","17.410","17.050","10.57M","-1.71%"
"10/29/2025","17.580","17.210","17.585","17.055","10.60M","2.27%"
"10/28/2025","17.190","17.070","17.215","17.040","5.31M","-0.06%"
"10/27/2025","17.200","17.050","17.235","17.005","6.47M","1.78%"
"10/24/2025","16.900","17.015","17.100","16.735","6.49M","-0.35%"
"10/23/2025","16.960","17.000","17.175","16.900","4.72M","-0.24%"
"10/22/2025","17.000","16.900","17.180","16.850","7.02M","-0.38%"
"10/21/2025","17.065","17.270","17.300","17.005","7.20M","-1.33%"
"10/20/2025","17.295","16.870","17.320","16.790","10.87M","3.84%"
"10/17/2025","16.655","16.655","17.380","16.395","30.41M","5.98%"
"10/16/2025","15.715","15.720","15.825","15.395","8.99M","-0.44%"
"10/15/2025","15.785","15.985","16.140","15.785","5.17M","-1.25%"
"10/14/2025","15.985","15.800","16.020","15.730","4.32M","0.72%"
"10/13/2025","15.870","15.800","15.895","15.685","3.45M","0.51%"
"10/10/2025","15.790","16.030","16.230","15.755","6.73M","-1.71%"
"10/09/2025","16.065","16.360","16.360","16.025","4.84M","-1.80%"
"10/08/2025","16.360","16.060","16.410","16.060","5.88M","1.90%"
"10/07/2025","16.055","16.100","16.240","16.050","6.00M","-0.74%"
"10/06/2025","16.175","16.310","16.400","16.045","5.37M","-1.49%"
"10/03/2025","16.420","16.420","16.590","16.360","5.92M","0.55%"
"10/02/2025","16.330","16.450","16.595","16.230","7.21M","-0.27%"
"10/01/2025","16.375","16.300","16.440","16.045","8.29M","0.21%"
"09/30/2025","16.340","16.285","16.445","16.200","7.13M","0.62%"
"09/29/2025","16.240","16.470","16.480","16.220","5.90M","-1.37%"
"09/26/2025","16.465","16.185","16.480","16.130","6.73M","2.24%"
"09/25/2025","16.105","16.365","16.380","16.045","6.89M","-1.71%"
"09/24/2025","16.385","16.150","16.385","15.935","7.40M","1.30%"
"09/23/2025","16.175","16.120","16.255","15.930","6.24M","1.25%"
"09/22/2025","15.975","16.335","16.360","15.860","8.13M","-2.65%"
"09/19/2025","16.410","16.300","16.535","16.225","21.83M","1.17%"
"09/18/2025","16.220","16.200","16.270","16.035","5.60M","1.03%"
"09/17/2025","16.055","16.250","16.285","15.975","6.22M","-0.80%"
"09/16/2025","16.185","16.305","16.345","16.065","8.19M","-1.07%"
"09/15/2025","16.360","16.300","16.385","16.175","4.63M","0.89%"
"09/12/2025","16.215","16.190","16.260","16.040","6.39M","0.03%"
"09/11/2025","16.210","16.160","16.270","16.005","5.72M","0.37%"
"09/10/2025","16.150","15.960","16.260","15.890","9.58M","1.35%"
"09/09/2025","15.935","15.835","15.960","15.610","6.91M","1.05%"
"09/08/2025","15.770","15.650","15.820","15.595","4.47M","1.06%"
"09/05/2025","15.605","15.895","16.030","15.550","6.65M","-1.30%"
"09/04/2025","15.810","15.510","15.815","15.385","6.62M","2.46%"
"09/03/2025","15.430","15.465","15.500","15.280","4.52M","-0.06%"
"09/02/2025","15.440","15.635","15.675","15.290","5.34M","-1.03%"
"09/01/2025","15.600","15.565","15.600","15.475","2.46M","0.71%"
"08/29/2025","15.490","15.510","15.585","15.375","5.45M","-0.42%"
"08/28/2025","15.555","15.530","15.615","15.415","5.84M","0.16%"
"08/27/2025","15.530","15.825","15.840","15.480","7.22M","-1.99%"
"08/26/2025","15.845","15.950","16.040","15.840","9.77M","-1.86%"
"08/25/2025","16.145","16.310","16.450","16.090","4.97M","-1.88%"
"08/22/2025","16.455","16.335","16.530","16.325","4.54M","0.24%"
"08/21/2025","16.415","16.190","16.425","16.150","5.51M","1.02%"
"08/20/2025","16.250","16.290","16.395","16.190","4.26M","-0.91%"
"08/19/2025","16.400","16.355","16.430","16.280","5.63M","0.24%"
"08/18/2025","16.360","16.400","16.445","16.200","5.22M","-0.73%"
"08/15/2025","16.480","16.630","16.700","16.445","7.03M","0.83%"
"08/14/2025","16.345","16.030","16.390","16.015","6.65M","2.00%"
"08/13/2025","16.025","15.785","16.055","15.785","7.06M","1.68%"
