"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","14,155","14,240","14,240","14,140","469,62K","-0,56%"
"30.12.2025","14,235","14,075","14,275","14,075","1,04M","1,10%"
"29.12.2025","14,080","14,110","14,160","14,070","1,48M","0,00%"
"24.12.2025","14,080","14,100","14,150","14,080","250,53K","-0,88%"
"23.12.2025","14,205","14,125","14,235","14,020","1,05M","0,50%"
"22.12.2025","14,135","14,225","14,230","14,090","906,54K","-0,84%"
"19.12.2025","14,255","14,250","14,305","14,140","2,34M","0,32%"
"18.12.2025","14,210","14,110","14,210","14,045","1,58M","0,67%"
"17.12.2025","14,115","14,055","14,130","13,970","1,47M","0,75%"
"16.12.2025","14,010","14,060","14,135","13,885","1,63M","0,04%"
"15.12.2025","14,005","13,680","14,005","13,675","1,57M","3,02%"
"12.12.2025","13,595","13,850","13,950","13,530","1,69M","-1,34%"
"11.12.2025","13,780","13,725","13,825","13,510","1,30M","0,40%"
"10.12.2025","13,725","13,805","13,835","13,620","1,43M","-0,97%"
"09.12.2025","13,860","13,805","13,990","13,770","2,08M","0,80%"
"08.12.2025","13,750","13,680","13,765","13,605","1,36M","0,70%"
"05.12.2025","13,655","13,860","13,860","13,630","1,34M","0,04%"
"04.12.2025","13,650","13,740","13,740","13,580","2,68M","-1,23%"
"03.12.2025","13,820","14,000","14,095","13,810","1,70M","-1,36%"
"02.12.2025","14,010","13,945","14,160","13,840","2,64M","2,49%"
"01.12.2025","13,670","13,530","13,725","13,520","1,56M","0,81%"
"28.11.2025","13,560","13,580","13,665","13,460","1,37M","-2,20%"
"27.11.2025","13,865","13,965","13,975","13,795","1,10M","-0,29%"
"26.11.2025","13,905","13,780","13,970","13,715","1,35M","1,57%"
"25.11.2025","13,690","13,525","13,760","13,420","1,12M","1,03%"
"24.11.2025","13,550","13,485","13,615","13,425","2,40M","1,50%"
"21.11.2025","13,350","13,290","13,435","13,175","1,49M","-1,00%"
"20.11.2025","13,485","13,300","13,555","13,265","1,03M","2,51%"
"19.11.2025","13,155","13,090","13,240","12,985","1,07M","0,30%"
"18.11.2025","13,115","13,170","13,260","13,030","1,20M","-2,13%"
"17.11.2025","13,400","13,465","13,520","13,335","801,18K","-0,85%"
"14.11.2025","13,515","13,630","13,630","13,405","1,34M","-1,57%"
"13.11.2025","13,730","14,000","14,030","13,730","1,26M","-1,61%"
"12.11.2025","13,955","13,800","14,005","13,775","1,48M","1,60%"
"11.11.2025","13,735","13,670","13,785","13,615","1,22M","0,99%"
"10.11.2025","13,600","13,500","13,655","13,425","1,26M","2,37%"
"07.11.2025","13,285","13,545","13,610","13,245","1,04M","-1,67%"
"06.11.2025","13,510","13,425","13,530","13,390","1,51M","0,97%"
"05.11.2025","13,380","13,005","13,380","13,005","1,51M","1,90%"
"04.11.2025","13,130","13,000","13,130","12,840","1,43M","0,00%"
"03.11.2025","13,130","13,080","13,270","12,985","1,79M","0,46%"
"31.10.2025","13,070","13,030","13,125","12,885","1,51M","0,38%"
"30.10.2025","13,020","13,080","13,080","12,950","1,59M","-0,27%"
"29.10.2025","13,055","12,985","13,110","12,850","1,68M","0,66%"
"28.10.2025","12,970","12,810","12,970","12,775","2,05M","1,33%"
"27.10.2025","12,800","12,775","12,835","12,690","1,72M","0,87%"
"24.10.2025","12,690","12,720","12,755","12,575","1,63M","0,08%"
"23.10.2025","12,680","12,825","12,920","12,280","4,22M","-4,98%"
"22.10.2025","13,345","13,225","13,395","13,115","1,70M","1,06%"
"21.10.2025","13,205","13,305","13,400","13,200","1,01M","-0,41%"
"20.10.2025","13,260","13,235","13,330","13,140","1,68M","1,65%"
"17.10.2025","13,045","13,120","13,265","12,895","1,85M","-2,43%"
"16.10.2025","13,370","13,515","13,550","13,195","980,38K","-0,19%"
"15.10.2025","13,395","13,535","13,730","13,395","1,17M","-0,56%"
"14.10.2025","13,470","13,260","13,470","13,175","1,16M","0,90%"
"13.10.2025","13,350","13,430","13,555","13,280","897,76K","-0,15%"
"10.10.2025","13,370","13,490","13,640","13,370","1,09M","-1,04%"
"09.10.2025","13,510","13,525","13,590","13,405","934,44K","0,07%"
"08.10.2025","13,500","13,450","13,580","13,430","1,55M","0,48%"
"07.10.2025","13,435","13,580","13,620","13,415","1,13M","-1,32%"
"06.10.2025","13,615","13,730","13,785","13,470","1,21M","-1,27%"
"03.10.2025","13,790","13,790","13,955","13,725","1,43M","0,44%"
"02.10.2025","13,730","13,690","13,875","13,625","2,21M","0,77%"
"01.10.2025","13,625","13,425","13,705","13,350","1,79M","1,64%"
"30.09.2025","13,405","13,285","13,425","13,255","1,40M","0,79%"
"29.09.2025","13,300","13,285","13,395","13,185","1,28M","0,11%"
"26.09.2025","13,285","13,040","13,290","13,025","1,40M","2,35%"
"25.09.2025","12,980","12,905","13,075","12,850","836,59K","0,27%"
"24.09.2025","12,945","12,820","12,970","12,695","847,87K","0,94%"
"23.09.2025","12,825","12,930","12,935","12,695","999,50K","-0,19%"
"22.09.2025","12,850","13,125","13,125","12,795","1,15M","-2,21%"
"19.09.2025","13,140","13,160","13,355","13,090","3,13M","-0,11%"
"18.09.2025","13,155","13,070","13,220","13,035","1,43M","1,50%"
"17.09.2025","12,960","13,055","13,080","12,870","1,43M","-0,35%"
"16.09.2025","13,005","13,260","13,270","13,005","1,89M","-1,96%"
"15.09.2025","13,265","13,140","13,280","13,100","1,11M","1,26%"
"12.09.2025","13,100","13,005","13,100","12,950","1,06M","0,69%"
"11.09.2025","13,010","12,955","13,020","12,840","1,06M","0,70%"
"10.09.2025","12,920","12,750","12,965","12,735","1,19M","1,33%"
"09.09.2025","12,750","12,700","12,750","12,485","864,75K","0,83%"
"08.09.2025","12,645","12,535","12,675","12,525","1,06M","1,04%"
"05.09.2025","12,515","12,800","12,855","12,480","1,32M","-2,04%"
"04.09.2025","12,775","12,580","12,775","12,465","1,05M","1,03%"
"03.09.2025","12,645","12,585","12,645","12,425","1,11M","0,64%"
"02.09.2025","12,565","12,760","12,795","12,435","1,53M","-1,33%"
"01.09.2025","12,735","12,800","12,845","12,665","677,44K","-0,08%"
"29.08.2025","12,745","12,710","12,750","12,605","780,32K","-0,39%"
"28.08.2025","12,795","12,820","12,850","12,620","819,00K","0,24%"
"27.08.2025","12,765","13,015","13,060","12,640","1,66M","-2,15%"
"26.08.2025","13,045","13,060","13,080","12,860","2,13M","-0,80%"
"25.08.2025","13,150","13,200","13,230","13,105","756,57K","-0,57%"
"22.08.2025","13,225","13,210","13,270","13,165","974,15K","0,11%"
"21.08.2025","13,210","13,135","13,240","13,105","1,31M","0,65%"
"20.08.2025","13,125","13,000","13,150","13,000","770,77K","0,88%"
"19.08.2025","13,010","13,025","13,130","13,010","1,25M","0,04%"
"18.08.2025","13,005","12,995","13,005","12,820","918,02K","0,08%"
"15.08.2025","12,995","13,090","13,135","12,985","899,62K","-0,35%"
"14.08.2025","13,040","12,950","13,040","12,920","755,84K","0,85%"
"13.08.2025","12,930","12,900","12,970","12,880","1,01M","0,86%"
