"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","10,445","10,395","10,470","10,395","1,88M","0,14%"
"30.12.2025","10,430","10,350","10,490","10,335","3,50M","0,72%"
"29.12.2025","10,355","10,420","10,475","10,355","4,28M","-0,34%"
"24.12.2025","10,390","10,380","10,450","10,380","741,43K","-0,38%"
"23.12.2025","10,430","10,350","10,475","10,300","4,17M","0,77%"
"22.12.2025","10,350","10,415","10,425","10,310","3,67M","-0,58%"
"19.12.2025","10,410","10,455","10,480","10,370","9,56M","0,10%"
"18.12.2025","10,400","10,285","10,400","10,195","8,42M","0,82%"
"17.12.2025","10,315","10,210","10,340","10,205","7,88M","1,53%"
"16.12.2025","10,160","10,140","10,255","10,130","4,26M","0,30%"
"15.12.2025","10,130","10,000","10,150","10,000","4,60M","2,16%"
"12.12.2025","9,916","10,220","10,275","9,916","4,42M","-2,50%"
"11.12.2025","10,170","10,040","10,210","9,966","4,29M","1,50%"
"10.12.2025","10,020","9,954","10,055","9,924","4,02M","0,70%"
"09.12.2025","9,950","9,974","10,030","9,874","4,88M","0,28%"
"08.12.2025","9,922","9,936","10,010","9,756","5,96M","0,22%"
"05.12.2025","9,900","10,100","10,155","9,900","4,19M","-1,59%"
"04.12.2025","10,060","9,950","10,075","9,838","7,65M","2,34%"
"03.12.2025","9,830","9,926","10,055","9,830","10,52M","-0,87%"
"02.12.2025","9,916","9,750","9,984","9,746","5,83M","1,95%"
"01.12.2025","9,726","9,600","9,740","9,584","5,97M","1,14%"
"28.11.2025","9,616","9,500","9,626","9,500","4,41M","0,92%"
"27.11.2025","9,528","9,538","9,542","9,476","2,95M","0,04%"
"26.11.2025","9,524","9,416","9,540","9,382","4,49M","1,51%"
"25.11.2025","9,382","9,250","9,382","9,188","3,85M","1,38%"
"24.11.2025","9,254","9,348","9,398","9,160","22,33M","0,00%"
"21.11.2025","9,254","9,158","9,284","9,066","5,63M","-0,39%"
"20.11.2025","9,290","9,200","9,420","9,132","7,06M","2,97%"
"19.11.2025","9,022","9,040","9,116","8,974","5,48M","0,16%"
"18.11.2025","9,008","9,120","9,194","8,962","4,76M","-2,83%"
"17.11.2025","9,270","9,248","9,336","9,206","4,83M","-0,09%"
"14.11.2025","9,278","9,472","9,476","9,220","6,07M","-2,97%"
"13.11.2025","9,562","9,640","9,688","9,546","4,29M","-0,44%"
"12.11.2025","9,604","9,388","9,632","9,388","8,00M","2,72%"
"11.11.2025","9,350","9,236","9,358","9,212","8,57M","1,52%"
"10.11.2025","9,210","9,174","9,210","9,098","5,50M","1,81%"
"07.11.2025","9,046","9,272","9,310","9,024","5,75M","-2,44%"
"06.11.2025","9,272","9,152","9,286","9,104","7,54M","1,80%"
"05.11.2025","9,108","8,962","9,108","8,924","5,49M","-0,78%"
"04.11.2025","9,180","9,110","9,180","8,990","6,43M","0,68%"
"03.11.2025","9,118","9,200","9,364","9,112","7,30M","-0,48%"
"31.10.2025","9,162","8,950","9,230","8,828","9,71M","1,39%"
"30.10.2025","9,036","9,098","9,140","8,930","6,35M","-0,18%"
"29.10.2025","9,052","8,936","9,086","8,884","5,35M","1,55%"
"28.10.2025","8,914","8,848","8,914","8,816","7,01M","0,72%"
"27.10.2025","8,850","8,860","8,896","8,834","4,75M","0,48%"
"24.10.2025","8,808","8,808","8,866","8,736","5,07M","0,78%"
"23.10.2025","8,740","8,892","8,892","8,702","4,66M","-1,67%"
"22.10.2025","8,888","8,834","8,916","8,750","4,56M","0,61%"
