"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","5,465","5,420","5,465","5,405","742,25K","0,74%"
"30.12.2025","5,425","5,410","5,435","5,380","949,63K","0,28%"
"29.12.2025","5,410","5,335","5,425","5,325","1,33M","1,69%"
"24.12.2025","5,320","5,320","5,340","5,305","432,31K","0,38%"
"23.12.2025","5,300","5,285","5,330","5,270","1,13M","0,57%"
"22.12.2025","5,270","5,220","5,270","5,185","1,22M","0,96%"
"19.12.2025","5,220","5,235","5,240","5,190","3,76M","-0,29%"
"18.12.2025","5,235","5,210","5,240","5,165","1,64M","0,87%"
"17.12.2025","5,190","5,220","5,255","5,160","1,42M","-0,67%"
"16.12.2025","5,225","5,230","5,265","5,210","2,00M","0,10%"
"15.12.2025","5,220","5,245","5,300","5,220","1,46M","0,19%"
"12.12.2025","5,210","5,185","5,250","5,170","1,37M","0,97%"
"11.12.2025","5,160","5,150","5,170","5,120","1,14M","0,49%"
"10.12.2025","5,135","5,120","5,135","5,095","1,11M","0,29%"
"09.12.2025","5,120","5,145","5,155","5,110","853,44K","-0,10%"
"08.12.2025","5,125","5,210","5,250","5,125","1,01M","-1,91%"
"05.12.2025","5,225","5,265","5,270","5,225","1,28M","-0,38%"
"04.12.2025","5,245","5,245","5,290","5,210","897,26K","0,38%"
"03.12.2025","5,225","5,260","5,285","5,225","986,46K","-0,57%"
"02.12.2025","5,255","5,300","5,315","5,255","889,36K","-0,28%"
"01.12.2025","5,270","5,260","5,290","5,230","1,67M","-0,09%"
"28.11.2025","5,275","5,230","5,290","5,220","1,34M","0,86%"
"27.11.2025","5,230","5,170","5,295","5,165","1,30M","1,06%"
"26.11.2025","5,175","5,140","5,195","5,105","1,01M","1,17%"
"25.11.2025","5,115","5,125","5,140","5,095","1,17M","0,29%"
"24.11.2025","5,100","5,115","5,130","5,075","1,26M","0,29%"
"21.11.2025","5,085","5,110","5,150","5,085","2,10M","-0,88%"
"20.11.2025","5,130","5,195","5,195","5,130","1,59M","-0,39%"
"19.11.2025","5,150","5,160","5,175","5,100","1,62M","-0,10%"
"18.11.2025","5,155","5,200","5,215","5,140","1,48M","-1,15%"
"17.11.2025","5,215","5,290","5,300","5,215","1,20M","-0,95%"
"14.11.2025","5,265","5,490","5,490","5,215","4,44M","-5,56%"
"13.11.2025","5,575","5,580","5,595","5,530","721,33K","0,63%"
"12.11.2025","5,540","5,510","5,570","5,455","1,29M","1,28%"
"11.11.2025","5,470","5,450","5,490","5,430","684,15K","0,83%"
"10.11.2025","5,425","5,465","5,465","5,420","851,48K","0,46%"
"07.11.2025","5,400","5,460","5,460","5,400","603,85K","-0,37%"
"06.11.2025","5,420","5,455","5,455","5,420","526,78K","-0,37%"
"05.11.2025","5,440","5,490","5,490","5,415","879,13K","-0,46%"
"04.11.2025","5,465","5,450","5,480","5,400","732,69K","0,18%"
