"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","30,630","30,880","30,890","30,630","279,39K","-0,33%"
"30.12.2025","30,730","30,680","30,790","30,570","456,62K","0,10%"
"29.12.2025","30,700","30,450","30,700","30,340","586,14K","0,49%"
"24.12.2025","30,550","30,770","30,770","30,550","71,09K","-0,33%"
"23.12.2025","30,650","30,730","30,840","30,590","501,88K","-0,33%"
"22.12.2025","30,750","30,820","30,830","30,560","556,57K","-0,87%"
"19.12.2025","31,020","30,680","31,020","30,660","2,35M","1,11%"
"18.12.2025","30,680","30,590","30,850","30,390","658,42K","0,66%"
"17.12.2025","30,480","30,800","30,800","30,390","681,20K","-0,72%"
"16.12.2025","30,700","30,890","30,910","30,640","644,18K","-0,49%"
"15.12.2025","30,850","30,660","31,040","30,610","461,49K","1,25%"
"12.12.2025","30,470","30,220","30,470","30,160","480,32K","0,93%"
"11.12.2025","30,190","30,310","30,380","29,990","803,87K","-0,79%"
"10.12.2025","30,430","30,800","30,830","30,320","600,16K","-1,14%"
"09.12.2025","30,780","31,000","31,160","30,780","729,65K","-0,81%"
"08.12.2025","31,030","30,580","31,230","30,580","739,97K","1,37%"
"05.12.2025","30,610","30,610","30,660","30,370","803,38K","0,00%"
"04.12.2025","30,610","30,710","30,770","30,440","593,22K","-0,52%"
"03.12.2025","30,770","30,920","30,980","30,660","859,71K","-0,77%"
"02.12.2025","31,010","30,960","31,100","30,850","773,33K","0,62%"
"01.12.2025","30,820","31,030","31,300","30,700","623,55K","-1,41%"
"28.11.2025","31,260","31,330","31,330","31,030","434,42K","0,06%"
"27.11.2025","31,240","31,250","31,480","31,140","327,72K","0,13%"
"26.11.2025","31,200","30,490","31,210","30,370","698,49K","2,16%"
"25.11.2025","30,540","30,850","30,920","30,440","492,92K","-0,33%"
"24.11.2025","30,640","31,070","31,090","30,640","3,16M","-0,78%"
"21.11.2025","30,880","31,280","31,330","30,880","868,22K","-1,50%"
"20.11.2025","31,350","30,800","31,460","30,800","811,88K","2,18%"
"19.11.2025","30,680","31,370","31,550","30,680","1,05M","-3,97%"
"18.11.2025","31,950","31,990","32,260","31,950","587,38K","-0,56%"
"17.11.2025","32,130","31,780","32,230","31,750","618,55K","-0,03%"
"14.11.2025","32,140","32,090","32,200","31,890","542,76K","0,34%"
"13.11.2025","32,030","32,340","32,510","32,020","799,74K","-0,53%"
"12.11.2025","32,200","32,000","32,230","31,970","547,38K","0,85%"
"11.11.2025","31,930","31,820","32,140","31,660","527,06K","0,69%"
"10.11.2025","31,710","31,710","31,900","31,570","638,89K","0,13%"
"07.11.2025","31,670","32,000","32,000","31,600","628,45K","-0,94%"
"06.11.2025","31,970","31,980","31,990","31,660","617,70K","0,41%"
"05.11.2025","31,840","31,860","31,940","31,660","583,71K","-0,09%"
"04.11.2025","31,870","31,400","31,870","31,200","659,29K","1,17%"
"03.11.2025","31,500","31,100","31,560","31,000","879,16K","1,32%"
"31.10.2025","31,090","31,150","31,220","30,830","835,56K","-0,48%"
"30.10.2025","31,240","30,870","31,330","30,620","830,08K","1,76%"
"29.10.2025","30,700","30,010","30,740","29,980","801,01K","1,76%"
"28.10.2025","30,170","29,580","30,210","29,580","1,20M","2,03%"
"27.10.2025","29,570","29,270","29,630","29,170","774,21K","1,02%"
"24.10.2025","29,270","29,180","29,330","28,930","560,49K","0,24%"
"23.10.2025","29,200","28,870","29,370","28,870","886,34K","1,00%"
"22.10.2025","28,910","29,170","29,480","28,850","1,06M","-0,76%"
"21.10.2025","29,130","29,380","29,560","29,130","972,09K","-0,92%"
"20.10.2025","29,400","29,310","29,700","29,240","989,55K","0,41%"
"17.10.2025","29,280","29,380","29,400","29,020","974,03K","0,10%"
"16.10.2025","29,250","28,730","29,250","28,590","772,83K","0,48%"
"15.10.2025","29,110","28,940","29,360","28,910","1,08M","0,94%"
"14.10.2025","28,840","28,450","28,960","28,440","776,63K","1,87%"
"13.10.2025","28,310","28,210","28,350","28,160","446,76K","0,35%"
"10.10.2025","28,210","28,080","28,350","28,080","560,60K","0,39%"
"09.10.2025","28,100","27,930","28,180","27,870","610,92K","0,64%"
"08.10.2025","27,920","27,640","28,070","27,640","541,21K","1,45%"
"07.10.2025","27,520","27,650","27,710","27,300","664,20K","-0,76%"
"06.10.2025","27,730","27,710","27,900","27,550","617,94K","0,33%"
"03.10.2025","27,640","27,410","27,710","27,350","517,52K","0,99%"
"02.10.2025","27,370","27,390","27,400","27,110","492,21K","-0,47%"
"01.10.2025","27,500","27,200","27,510","27,030","618,85K","1,07%"
"30.09.2025","27,210","26,840","27,230","26,650","785,51K","1,11%"
"29.09.2025","26,910","26,830","26,920","26,690","410,29K","0,49%"
"26.09.2025","26,780","26,730","26,900","26,670","579,40K","0,49%"
"25.09.2025","26,650","26,560","26,800","26,470","547,58K","0,38%"
"24.09.2025","26,550","26,560","26,720","26,470","594,02K","0,72%"
"23.09.2025","26,360","26,460","26,820","26,360","725,48K","-0,79%"
"22.09.2025","26,570","26,430","26,810","26,370","491,50K","0,45%"
"19.09.2025","26,450","26,170","26,450","26,070","2,82M","0,72%"
"18.09.2025","26,260","26,190","26,410","26,070","452,95K","0,34%"
"17.09.2025","26,170","26,350","26,470","26,160","558,64K","-1,25%"
"16.09.2025","26,500","26,780","26,780","26,440","982,88K","-0,93%"
"15.09.2025","26,750","26,650","26,750","26,470","670,32K","0,64%"
"12.09.2025","26,580","26,500","26,740","26,420","1,00M","0,49%"
"11.09.2025","26,450","26,040","26,450","26,040","901,12K","1,89%"
"10.09.2025","25,960","26,030","26,100","25,910","422,91K","0,19%"
"09.09.2025","25,910","25,890","26,000","25,850","499,05K","0,27%"
"08.09.2025","25,840","25,750","25,880","25,650","264,37K","0,39%"
"05.09.2025","25,740","25,560","25,740","25,560","344,32K","0,74%"
"04.09.2025","25,550","25,560","25,840","25,550","457,85K","-0,20%"
"03.09.2025","25,600","25,400","25,660","25,250","862,35K","-0,08%"
"02.09.2025","25,620","25,760","25,830","25,560","517,25K","-0,93%"
"01.09.2025","25,860","26,050","26,060","25,850","381,52K","-0,69%"
"29.08.2025","26,040","26,080","26,170","25,940","525,94K","-0,50%"
"28.08.2025","26,170","26,430","26,430","26,010","329,80K","-0,87%"
"27.08.2025","26,400","26,600","26,740","26,320","489,26K","-0,56%"
"26.08.2025","26,550","26,500","26,810","26,420","905,65K","0,04%"
"25.08.2025","26,540","26,610","26,650","26,350","361,16K","-0,71%"
"22.08.2025","26,730","26,650","27,000","26,650","383,36K","-0,07%"
"21.08.2025","26,750","26,750","26,800","26,630","441,82K","0,34%"
"20.08.2025","26,660","26,490","26,760","26,470","522,48K","1,18%"
"19.08.2025","26,350","26,360","26,510","26,340","569,05K","-0,11%"
"18.08.2025","26,380","26,530","26,680","26,300","424,82K","-0,68%"
"15.08.2025","26,560","26,420","26,560","26,160","726,04K","0,61%"
"14.08.2025","26,400","25,910","26,400","25,910","570,67K","1,81%"
"13.08.2025","25,930","25,740","26,050","25,740","466,63K","1,01%"
"12.08.2025","25,670","25,730","25,900","25,650","564,58K","0,12%"
"11.08.2025","25,640","25,540","25,650","25,490","493,75K","0,59%"
"08.08.2025","25,490","25,650","25,870","25,490","532,69K","-0,20%"
"07.08.2025","25,540","25,460","25,580","25,170","936,25K","-0,85%"
"06.08.2025","25,760","25,580","25,790","25,510","455,14K","0,66%"
"05.08.2025","25,590","25,700","25,700","25,490","541,81K","-0,08%"
"04.08.2025","25,610","25,330","25,610","25,330","747,69K","0,95%"
"01.08.2025","25,370","25,180","25,500","25,160","790,64K","0,08%"
"31.07.2025","25,350","25,660","25,740","25,280","1,48M","-1,13%"
"30.07.2025","25,640","25,260","25,710","25,150","796,98K","1,58%"
"29.07.2025","25,240","24,430","25,310","23,760","1,55M","-1,17%"
"28.07.2025","25,540","25,540","25,740","25,500","779,48K","0,00%"
"25.07.2025","25,540","25,570","25,680","25,350","686,35K","0,04%"
"24.07.2025","25,530","25,490","25,770","25,470","1,07M","0,31%"
"23.07.2025","25,450","26,300","26,300","25,450","1,41M","-3,60%"
"22.07.2025","26,400","26,100","26,400","26,080","446,05K","1,15%"
"21.07.2025","26,100","25,940","26,100","25,870","660,71K","0,73%"
"18.07.2025","25,910","25,930","26,050","25,820","752,05K","0,27%"
"17.07.2025","25,840","25,840","25,980","25,770","686,54K","-0,15%"
"16.07.2025","25,880","26,040","26,240","25,870","868,38K","-0,19%"
"15.07.2025","25,930","26,150","26,240","25,930","894,47K","-0,35%"
"14.07.2025","26,020","26,060","26,160","25,830","930,31K","-0,57%"
"11.07.2025","26,170","26,120","26,340","26,110","676,87K","0,04%"
"10.07.2025","26,160","26,510","26,670","26,160","850,39K","-1,32%"
"09.07.2025","26,510","26,400","26,610","26,400","683,36K","0,38%"
"08.07.2025","26,410","26,500","26,640","26,290","978,04K","-0,04%"
"07.07.2025","26,420","26,980","26,980","26,320","1,11M","-2,33%"
"04.07.2025","27,050","26,820","27,080","26,710","427,26K","1,31%"
"03.07.2025","26,700","26,390","26,700","26,310","890,29K","-0,41%"
"02.07.2025","26,810","27,080","27,220","26,710","852,66K","-0,96%"
"01.07.2025","27,070","27,100","27,250","26,950","760,12K","0,67%"
"30.06.2025","26,890","26,700","26,940","26,620","1,27M","1,47%"
"27.06.2025","26,500","26,410","26,670","26,280","1,04M","-2,54%"
"26.06.2025","27,190","27,350","27,610","27,190","1,33M","-0,18%"
"25.06.2025","27,240","27,640","27,790","27,230","1,01M","-1,73%"
"24.06.2025","27,720","27,930","27,950","27,420","1,44M","-0,54%"
"23.06.2025","27,870","27,170","27,990","27,160","1,18M","2,13%"
"20.06.2025","27,290","27,010","27,440","26,960","3,54M","0,81%"
"19.06.2025","27,070","26,870","27,080","26,870","1,05M","0,71%"
"18.06.2025","26,880","26,810","27,040","26,780","873,74K","0,49%"
"17.06.2025","26,750","26,700","26,900","26,620","1,09M","-0,34%"
"16.06.2025","26,840","27,060","27,080","26,650","860,30K","-1,40%"
"13.06.2025","27,220","27,130","27,240","26,940","659,92K","0,29%"
"12.06.2025","27,140","26,840","27,170","26,830","551,82K","1,16%"
"11.06.2025","26,830","26,860","26,900","26,650","613,53K","-0,26%"
"10.06.2025","26,900","27,020","27,150","26,900","457,34K","-0,11%"
"09.06.2025","26,930","27,100","27,110","26,800","452,61K","-0,44%"
"06.06.2025","27,050","27,250","27,290","27,000","415,02K","-0,26%"
"05.06.2025","27,120","26,930","27,260","26,720","503,32K","0,41%"
"04.06.2025","27,010","27,070","27,090","26,880","527,43K","0,30%"
"03.06.2025","26,930","27,300","27,330","26,880","769,90K","-0,88%"
"02.06.2025","27,170","26,990","27,170","26,830","680,21K","1,08%"
"30.05.2025","26,880","26,980","27,150","26,830","3,09M","0,04%"
"29.05.2025","26,870","26,720","26,940","26,500","476,91K","0,04%"
"28.05.2025","26,860","27,100","27,140","26,710","720,08K","-1,18%"
"27.05.2025","27,180","27,400","27,480","27,020","667,62K","-0,77%"
"26.05.2025","27,390","27,390","27,470","27,270","540,28K","-0,29%"
"23.05.2025","27,470","27,450","27,590","27,160","828,64K","0,37%"
"22.05.2025","27,370","27,220","27,420","27,140","667,18K","0,40%"
