"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","13,150","13,250","13,280","13,150","675,72K","-0,72%"
"30.12.2025","13,245","13,130","13,275","13,110","1,28M","0,72%"
"29.12.2025","13,150","13,065","13,195","13,055","1,75M","0,04%"
"24.12.2025","13,145","13,130","13,185","13,130","361,94K","-0,34%"
"23.12.2025","13,190","13,135","13,200","13,065","844,97K","0,34%"
"22.12.2025","13,145","13,100","13,145","13,020","952,59K","-0,49%"
"19.12.2025","13,210","13,100","13,230","13,050","1,96M","-2,26%"
"18.12.2025","13,515","13,550","13,655","13,490","1,69M","0,30%"
"17.12.2025","13,475","13,430","13,520","13,405","1,07M","0,26%"
"16.12.2025","13,440","13,560","13,560","13,415","927,28K","-0,30%"
"15.12.2025","13,480","13,580","13,580","13,465","1,09M","0,19%"
"12.12.2025","13,455","13,410","13,515","13,370","880,93K","0,22%"
"11.12.2025","13,425","13,630","13,630","13,405","1,63M","-1,68%"
"10.12.2025","13,655","13,820","13,850","13,655","941,76K","-1,23%"
"09.12.2025","13,825","14,000","14,000","13,825","912,34K","-1,07%"
"08.12.2025","13,975","13,935","14,145","13,925","848,30K","0,54%"
"05.12.2025","13,900","13,940","13,960","13,865","850,70K","-0,64%"
"04.12.2025","13,990","13,950","14,035","13,810","988,14K","-0,07%"
"03.12.2025","14,000","14,135","14,135","13,930","2,16M","-2,41%"
"02.12.2025","14,345","14,300","14,400","14,245","662,17K","0,60%"
"01.12.2025","14,260","14,250","14,305","14,195","601,85K","0,11%"
"28.11.2025","14,245","14,250","14,275","14,100","460,09K","0,32%"
"27.11.2025","14,200","14,225","14,260","14,160","370,60K","0,04%"
"26.11.2025","14,195","14,030","14,195","14,010","475,10K","1,36%"
"25.11.2025","14,005","14,130","14,135","13,970","415,71K","-0,60%"
"24.11.2025","14,090","14,075","14,180","14,015","714,19K","0,21%"
"21.11.2025","14,060","14,105","14,145","13,990","698,07K","-0,07%"
"20.11.2025","14,070","13,950","14,120","13,900","703,30K","1,01%"
"19.11.2025","13,930","13,960","14,040","13,910","820,66K","-0,75%"
"18.11.2025","14,035","14,100","14,130","13,980","878,95K","-1,06%"
"17.11.2025","14,185","14,100","14,240","14,085","550,34K","0,67%"
"14.11.2025","14,090","14,220","14,265","14,055","780,03K","-0,74%"
"13.11.2025","14,195","14,165","14,245","14,120","558,72K","0,60%"
"12.11.2025","14,110","14,230","14,250","14,065","606,22K","-0,35%"
"11.11.2025","14,160","14,290","14,290","14,100","871,22K","-0,11%"
"10.11.2025","14,175","14,300","14,305","14,140","767,89K","-1,19%"
"07.11.2025","14,345","14,255","14,355","14,220","1,44M","0,70%"
"06.11.2025","14,245","14,150","14,270","14,020","1,15M","1,28%"
"05.11.2025","14,065","13,900","14,065","13,880","864,95K","1,22%"
"04.11.2025","13,895","13,715","13,895","13,620","739,23K","1,31%"
"03.11.2025","13,715","13,800","13,895","13,610","808,92K","-0,36%"
"31.10.2025","13,765","13,950","14,005","13,765","1,40M","-2,34%"
"30.10.2025","14,095","14,000","14,095","13,940","589,04K","0,82%"
"29.10.2025","13,980","14,280","14,305","13,975","999,38K","-2,14%"
"28.10.2025","14,285","14,290","14,360","14,210","771,89K","-0,03%"
"27.10.2025","14,290","14,160","14,295","14,130","803,42K","0,85%"
"24.10.2025","14,170","14,160","14,210","14,030","627,14K","-0,11%"
"23.10.2025","14,185","14,200","14,280","14,135","655,29K","-0,11%"
"22.10.2025","14,200","14,100","14,235","14,085","1,16M","1,00%"
"21.10.2025","14,060","13,970","14,220","13,815","933,91K","0,21%"
"20.10.2025","14,030","13,935","14,040","13,850","927,18K","1,12%"
"17.10.2025","13,875","13,760","13,925","13,625","693,73K","1,09%"
"16.10.2025","13,725","13,890","13,940","13,685","727,13K","-0,69%"
"15.10.2025","13,820","13,675","13,845","13,675","795,63K","0,66%"
"14.10.2025","13,730","13,615","13,780","13,595","1,19M","1,22%"
"13.10.2025","13,565","13,670","13,690","13,535","684,72K","-0,26%"
"10.10.2025","13,600","13,450","13,640","13,450","730,03K","1,12%"
"09.10.2025","13,450","13,425","13,485","13,395","540,30K","0,52%"
"08.10.2025","13,380","13,350","13,475","13,350","617,04K","0,15%"
"07.10.2025","13,360","13,405","13,425","13,335","628,80K","-0,26%"
"06.10.2025","13,395","13,520","13,520","13,340","610,21K","-0,52%"
"03.10.2025","13,465","13,310","13,465","13,280","929,16K","1,16%"
"02.10.2025","13,310","13,285","13,320","13,195","874,80K","-0,04%"
"01.10.2025","13,315","13,330","13,420","13,235","686,64K","0,04%"
"30.09.2025","13,310","13,190","13,315","13,125","704,99K","0,83%"
"29.09.2025","13,200","13,220","13,265","13,145","595,94K","-0,15%"
"26.09.2025","13,220","13,155","13,265","13,150","658,24K","0,49%"
"25.09.2025","13,155","13,030","13,260","13,000","918,31K","1,04%"
"24.09.2025","13,020","13,055","13,155","13,020","1,61M","0,00%"
"23.09.2025","13,020","13,120","13,150","13,020","1,26M","-0,46%"
"22.09.2025","13,080","13,140","13,175","13,040","1,01M","-0,46%"
"19.09.2025","13,140","13,085","13,175","13,060","1,74M","0,31%"
"18.09.2025","13,100","13,105","13,185","13,045","588,24K","-0,04%"
"17.09.2025","13,105","13,165","13,180","13,075","605,43K","-0,53%"
"16.09.2025","13,175","13,395","13,395","13,160","782,33K","-1,20%"
"15.09.2025","13,335","13,350","13,425","13,305","665,78K","0,15%"
"12.09.2025","13,315","13,190","13,360","13,180","633,20K","1,02%"
"11.09.2025","13,180","13,220","13,260","13,150","568,21K","-0,19%"
"10.09.2025","13,205","13,170","13,245","13,125","439,66K","0,04%"
"09.09.2025","13,200","13,215","13,240","13,140","507,62K","0,00%"
"08.09.2025","13,200","13,200","13,235","13,145","425,79K","0,04%"
"05.09.2025","13,195","13,170","13,195","13,100","528,57K","0,30%"
"04.09.2025","13,155","13,040","13,240","13,040","562,19K","0,27%"
"03.09.2025","13,120","13,120","13,145","13,000","863,27K","0,08%"
"02.09.2025","13,110","13,200","13,235","13,100","799,51K","-0,98%"
"01.09.2025","13,240","13,345","13,345","13,230","455,43K","-0,56%"
"29.08.2025","13,315","13,400","13,420","13,295","468,52K","-0,60%"
"28.08.2025","13,395","13,475","13,480","13,315","368,32K","-0,74%"
"27.08.2025","13,495","13,305","13,495","13,300","419,55K","1,47%"
"26.08.2025","13,300","13,395","13,425","13,300","367,61K","-0,89%"
"25.08.2025","13,420","13,500","13,505","13,375","449,44K","-0,70%"
"22.08.2025","13,515","13,450","13,610","13,450","555,31K","0,19%"
"21.08.2025","13,490","13,430","13,490","13,350","819,76K","0,90%"
"20.08.2025","13,370","13,255","13,440","13,245","775,89K","1,25%"
"19.08.2025","13,205","13,185","13,275","13,150","554,91K","-0,11%"
"18.08.2025","13,220","13,260","13,350","13,215","554,14K","-0,26%"
"15.08.2025","13,255","13,250","13,295","13,200","530,83K","0,08%"
"14.08.2025","13,245","13,180","13,245","13,135","701,06K","0,95%"
"13.08.2025","13,120","13,100","13,225","13,100","583,98K","0,46%"
"12.08.2025","13,060","13,200","13,235","13,060","528,56K","-0,91%"
"11.08.2025","13,180","13,165","13,185","13,055","610,96K","0,38%"
"08.08.2025","13,130","13,225","13,295","13,120","580,04K","-0,45%"
"07.08.2025","13,190","13,265","13,270","13,115","610,46K","-0,64%"
"06.08.2025","13,275","13,270","13,290","13,170","566,08K","0,30%"
"05.08.2025","13,235","13,290","13,330","13,160","643,65K","-0,38%"
"04.08.2025","13,285","13,205","13,290","13,165","602,44K","0,64%"
"01.08.2025","13,200","13,080","13,245","13,080","664,79K","0,65%"
"31.07.2025","13,115","13,215","13,260","13,085","842,19K","-0,87%"
"30.07.2025","13,230","13,145","13,265","13,100","747,10K","0,88%"
"29.07.2025","13,115","13,145","13,185","13,025","891,01K","-0,34%"
"28.07.2025","13,160","13,315","13,335","13,130","706,82K","-0,57%"
"25.07.2025","13,235","13,365","13,370","13,180","753,38K","-0,79%"
"24.07.2025","13,340","13,285","13,470","13,280","794,14K","0,53%"
"23.07.2025","13,270","13,600","13,600","13,255","1,33M","-2,14%"
"22.07.2025","13,560","13,470","13,715","13,220","1,05M","0,63%"
"21.07.2025","13,475","13,470","13,500","13,400","469,90K","0,63%"
"18.07.2025","13,390","13,315","13,455","13,295","636,52K","0,68%"
"17.07.2025","13,300","13,360","13,390","13,300","551,50K","-0,45%"
"16.07.2025","13,360","13,360","13,400","13,305","435,26K","0,19%"
"15.07.2025","13,335","13,435","13,475","13,285","762,02K","-0,78%"
"14.07.2025","13,440","13,365","13,440","13,265","459,53K","0,90%"
"11.07.2025","13,320","13,235","13,320","13,220","481,44K","0,72%"
"10.07.2025","13,225","13,400","13,435","13,220","793,96K","-1,31%"
"09.07.2025","13,400","13,435","13,480","13,355","761,02K","-0,26%"
"08.07.2025","13,435","13,405","13,460","13,370","596,24K","-0,07%"
"07.07.2025","13,445","13,650","13,650","13,285","1,08M","-1,57%"
"04.07.2025","13,660","13,650","13,685","13,550","599,17K","0,07%"
"03.07.2025","13,650","13,515","13,650","13,510","922,67K","0,74%"
"02.07.2025","13,550","13,680","13,725","13,510","871,04K","-0,66%"
"01.07.2025","13,640","13,770","13,905","13,590","1,64M","-4,55%"
"30.06.2025","14,290","14,400","14,400","14,275","1,53M","0,32%"
"27.06.2025","14,245","14,320","14,440","14,200","1,10M","-0,31%"
"26.06.2025","14,290","14,270","14,310","14,180","752,42K","0,74%"
"25.06.2025","14,185","14,295","14,330","14,145","772,27K","-0,77%"
"24.06.2025","14,295","14,495","14,495","14,180","1,05M","-1,41%"
"23.06.2025","14,500","14,290","14,500","14,265","833,99K","1,08%"
"20.06.2025","14,345","14,310","14,375","14,165","2,56M","0,42%"
