"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","23,160","23,400","23,400","23,080","111,70K","-0,86%"
"30.12.2025","23,360","23,340","23,380","23,200","124,10K","-0,09%"
"29.12.2025","23,380","23,360","23,520","23,220","143,25K","0,86%"
"24.12.2025","23,180","23,080","23,220","23,040","55,02K","0,09%"
"23.12.2025","23,160","23,280","23,280","23,020","222,74K","-0,52%"
"22.12.2025","23,280","23,340","23,340","23,100","142,40K","-0,26%"
"19.12.2025","23,340","23,040","23,740","23,040","220,10K","0,26%"
"18.12.2025","23,280","23,000","23,400","23,000","175,09K","1,13%"
"17.12.2025","23,020","23,320","23,340","22,900","160,05K","-0,60%"
"16.12.2025","23,160","23,600","23,600","23,140","245,49K","-1,11%"
"15.12.2025","23,420","23,560","23,600","23,260","231,27K","-0,34%"
"12.12.2025","23,500","23,560","23,740","23,460","201,62K","-0,17%"
"11.12.2025","23,540","23,340","23,540","23,040","199,02K","1,73%"
"10.12.2025","23,140","23,400","23,480","23,040","256,81K","-1,36%"
"09.12.2025","23,460","23,900","24,180","23,460","186,02K","-2,33%"
"08.12.2025","24,020","23,980","24,060","23,820","131,27K","0,25%"
"05.12.2025","23,960","23,720","24,180","23,560","198,00K","1,27%"
"04.12.2025","23,660","23,500","23,880","23,480","297,90K","1,20%"
"03.12.2025","23,380","23,560","23,660","23,120","322,56K","-1,02%"
"02.12.2025","23,620","23,460","23,760","23,420","225,80K","0,51%"
"01.12.2025","23,500","23,400","23,600","23,260","202,71K","-1,67%"
"28.11.2025","23,900","24,220","24,400","23,900","315,41K","-1,57%"
"27.11.2025","24,280","24,260","24,400","24,080","140,84K","0,58%"
"26.11.2025","24,140","24,060","24,300","23,900","210,63K","0,92%"
"25.11.2025","23,920","23,540","24,000","23,360","235,15K","1,44%"
"24.11.2025","23,580","23,120","23,580","23,100","525,35K","2,17%"
"21.11.2025","23,080","22,860","23,080","22,600","372,42K","0,52%"
"20.11.2025","22,960","22,800","23,060","22,720","336,19K","1,50%"
"19.11.2025","22,620","22,200","22,720","22,200","328,67K","1,53%"
"18.11.2025","22,280","22,260","22,420","22,100","285,13K","-1,85%"
"17.11.2025","22,700","22,720","23,040","22,440","222,64K","-0,79%"
"14.11.2025","22,880","22,820","22,880","22,480","255,05K","-0,52%"
"13.11.2025","23,000","23,560","23,560","22,980","314,64K","-2,21%"
"12.11.2025","23,520","23,840","23,940","23,480","184,35K","-0,93%"
"11.11.2025","23,740","23,500","23,780","23,340","162,78K","1,11%"
"10.11.2025","23,480","23,360","23,620","23,340","175,08K","1,73%"
"07.11.2025","23,080","23,240","23,320","22,880","208,14K","-0,17%"
"06.11.2025","23,120","23,440","23,540","23,120","179,42K","-1,87%"
"05.11.2025","23,560","24,000","24,180","23,560","196,38K","-2,56%"
"04.11.2025","24,180","24,320","24,320","23,960","240,73K","-1,87%"
"03.11.2025","24,640","25,000","25,240","24,520","208,29K","-1,91%"
"31.10.2025","25,120","25,580","25,860","25,080","840,55K","-0,63%"
"30.10.2025","25,280","22,980","25,280","22,620","710,55K","9,44%"
"29.10.2025","23,100","23,340","23,340","22,860","334,34K","0,00%"
"28.10.2025","23,100","23,600","23,600","23,100","150,64K","-1,95%"
"27.10.2025","23,560","23,920","24,040","23,560","168,62K","-0,93%"
"24.10.2025","23,780","23,560","24,020","23,440","695,48K","1,45%"
"23.10.2025","23,440","23,540","23,660","23,360","441,12K","-0,17%"
"22.10.2025","23,480","23,360","23,480","22,980","595,70K","0,34%"
"21.10.2025","23,400","23,500","23,520","23,260","341,32K","-0,76%"
"20.10.2025","23,580","23,540","23,580","23,320","128,81K","1,11%"
"17.10.2025","23,320","23,460","23,460","23,080","142,66K","-1,27%"
"16.10.2025","23,620","23,640","23,740","23,400","129,99K","0,17%"
"15.10.2025","23,580","23,840","23,920","23,420","118,02K","-0,34%"
"14.10.2025","23,660","23,120","23,660","23,080","147,61K","1,37%"
"13.10.2025","23,340","23,180","23,500","23,100","136,19K","1,04%"
"10.10.2025","23,100","23,480","23,700","23,060","188,83K","-1,95%"
"09.10.2025","23,560","23,980","23,980","23,480","93,73K","-0,93%"
"08.10.2025","23,780","23,720","24,060","23,640","175,02K","0,34%"
"07.10.2025","23,700","23,500","23,800","23,380","170,02K","1,20%"
