"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","10,700","10,800","10,810","10,685","1,63M","-1,11%"
"30.12.2025","10,820","10,900","10,960","10,805","1,36M","-1,19%"
"29.12.2025","10,950","10,925","11,035","10,925","1,20M","-0,36%"
"24.12.2025","10,990","10,940","11,020","10,850","516,96K","0,73%"
"23.12.2025","10,910","11,015","11,135","10,910","918,86K","-1,27%"
"22.12.2025","11,050","11,000","11,070","10,820","1,23M","0,82%"
"19.12.2025","10,960","10,790","11,035","10,570","2,99M","1,53%"
"18.12.2025","10,795","10,610","10,830","10,535","1,28M","1,12%"
"17.12.2025","10,675","10,760","10,925","10,665","1,09M","-1,20%"
"16.12.2025","10,805","10,865","10,870","10,520","1,97M","-0,55%"
"15.12.2025","10,865","10,795","10,910","10,690","996,28K","0,70%"
"12.12.2025","10,790","10,720","10,895","10,645","935,82K","0,84%"
"11.12.2025","10,700","10,660","10,740","10,555","962,93K","-0,05%"
"10.12.2025","10,705","10,700","10,745","10,640","628,00K","-0,19%"
"09.12.2025","10,725","10,895","10,925","10,725","977,25K","-0,88%"
"08.12.2025","10,820","10,795","10,935","10,765","1,05M","0,65%"
"05.12.2025","10,750","10,780","10,980","10,740","1,30M","0,19%"
"04.12.2025","10,730","10,460","10,730","10,380","1,28M","3,57%"
"03.12.2025","10,360","10,400","10,550","10,355","1,18M","-0,67%"
"02.12.2025","10,430","10,480","10,575","10,430","586,55K","-0,71%"
"01.12.2025","10,505","10,500","10,505","10,405","809,82K","-0,24%"
"28.11.2025","10,530","10,620","10,620","10,455","662,74K","-0,57%"
"27.11.2025","10,590","10,505","10,625","10,475","507,96K","1,05%"
"26.11.2025","10,480","10,470","10,520","10,335","649,53K","1,45%"
"25.11.2025","10,330","10,270","10,350","10,070","1,07M","0,29%"
"24.11.2025","10,300","10,260","10,320","10,140","2,19M","1,53%"
"21.11.2025","10,145","10,000","10,220","9,910","1,57M","0,00%"
"20.11.2025","10,145","10,310","10,350","10,145","1,22M","-0,88%"
"19.11.2025","10,235","10,335","10,375","10,235","1,02M","-0,78%"
"18.11.2025","10,315","10,455","10,455","10,240","1,46M","-2,55%"
"17.11.2025","10,585","10,700","10,770","10,585","877,39K","-0,70%"
"14.11.2025","10,660","10,890","10,890","10,540","1,34M","-2,47%"
"13.11.2025","10,930","10,970","10,980","10,810","1,15M","0,88%"
"12.11.2025","10,835","10,620","10,845","10,615","1,13M","3,09%"
"11.11.2025","10,510","10,750","10,755","10,510","1,36M","-2,00%"
"10.11.2025","10,725","10,460","10,765","10,460","1,43M","3,42%"
"07.11.2025","10,370","10,370","10,510","10,225","1,62M","-0,48%"
"06.11.2025","10,420","10,745","10,795","10,365","1,99M","-3,02%"
"05.11.2025","10,745","10,880","10,925","10,500","4,04M","-3,24%"
"04.11.2025","11,105","11,200","11,370","11,070","1,74M","-1,11%"
"03.11.2025","11,230","11,350","11,490","11,230","2,14M","-0,04%"
"31.10.2025","11,235","11,380","11,480","11,155","1,34M","-1,06%"
"30.10.2025","11,355","11,395","11,480","11,345","742,80K","-0,61%"
"29.10.2025","11,425","11,415","11,520","11,370","678,27K","0,09%"
"28.10.2025","11,415","11,575","11,585","11,380","1,25M","-1,13%"
"27.10.2025","11,545","11,410","11,545","11,240","1,55M","2,08%"
"24.10.2025","11,310","11,440","11,470","11,215","1,04M","-0,66%"
"23.10.2025","11,385","11,385","11,470","11,255","1,14M","0,13%"
"22.10.2025","11,370","11,210","11,425","10,890","3,81M","-0,52%"
"21.10.2025","11,430","11,790","11,790","11,360","2,08M","-2,56%"
"20.10.2025","11,730","11,930","11,930","11,655","1,00M","-0,72%"
"17.10.2025","11,815","11,880","11,990","11,815","1,79M","-2,36%"
"16.10.2025","12,100","12,000","12,150","11,940","1,05M","0,83%"
"15.10.2025","12,000","12,150","12,205","11,975","939,96K","-0,46%"
"14.10.2025","12,055","11,995","12,095","11,940","819,70K","-0,82%"
"13.10.2025","12,155","11,840","12,155","11,840","1,23M","2,88%"
"10.10.2025","11,815","12,150","12,170","11,815","1,92M","-2,32%"
"09.10.2025","12,095","12,250","12,325","12,065","1,05M","-1,87%"
"08.10.2025","12,325","12,170","12,365","12,140","801,85K","1,02%"
"07.10.2025","12,200","12,105","12,390","12,080","931,47K","0,78%"
"06.10.2025","12,105","12,500","12,510","12,105","1,64M","-3,35%"
"03.10.2025","12,525","12,730","12,835","12,525","921,84K","-0,67%"
"02.10.2025","12,610","12,470","12,870","12,425","1,92M","1,45%"
"01.10.2025","12,430","12,380","12,450","12,265","1,08M","0,85%"
"30.09.2025","12,325","12,285","12,475","12,220","1,10M","0,20%"
"29.09.2025","12,300","12,105","12,475","12,095","1,21M","2,16%"
"26.09.2025","12,040","11,985","12,070","11,915","857,69K","0,46%"
"25.09.2025","11,985","12,220","12,255","11,965","846,58K","-2,12%"
"24.09.2025","12,245","12,250","12,280","12,100","834,39K","0,00%"
"23.09.2025","12,245","11,955","12,255","11,915","1,18M","2,81%"
"22.09.2025","11,910","12,040","12,045","11,860","834,28K","-1,08%"
"19.09.2025","12,040","11,860","12,145","11,860","1,49M","1,13%"
"18.09.2025","11,905","12,065","12,115","11,895","808,12K","-1,20%"
"17.09.2025","12,050","12,135","12,135","11,875","1,15M","-0,66%"
"16.09.2025","12,130","11,950","12,185","11,925","1,33M","1,00%"
"15.09.2025","12,010","12,010","12,170","11,980","751,21K","-0,33%"
"12.09.2025","12,050","12,225","12,230","12,050","560,94K","-1,43%"
"11.09.2025","12,225","12,160","12,265","11,920","1,20M","0,53%"
"10.09.2025","12,160","12,245","12,325","12,140","699,93K","-0,65%"
"09.09.2025","12,240","12,385","12,425","12,100","874,02K","-1,37%"
"08.09.2025","12,410","12,400","12,500","12,330","910,44K","0,89%"
"05.09.2025","12,300","12,380","12,380","12,225","939,56K","0,16%"
"04.09.2025","12,280","11,820","12,280","11,800","1,30M","3,02%"
