"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","4,749","4,759","4,766","4,727","2,78M","-0,23%"
"30.12.2025","4,760","4,720","4,767","4,714","4,64M","0,21%"
"29.12.2025","4,750","4,770","4,780","4,713","3,91M","-0,61%"
"24.12.2025","4,779","4,786","4,786","4,746","1,83M","-0,38%"
"23.12.2025","4,797","4,821","4,828","4,789","2,80M","-0,50%"
"22.12.2025","4,821","4,817","4,825","4,761","4,10M","0,67%"
"19.12.2025","4,789","4,800","4,815","4,748","8,56M","-0,40%"
"18.12.2025","4,808","4,772","4,813","4,738","4,24M","0,46%"
"17.12.2025","4,786","4,770","4,830","4,751","5,48M","0,40%"
"16.12.2025","4,767","4,736","4,786","4,725","5,93M","0,93%"
"15.12.2025","4,723","4,612","4,757","4,609","7,01M","2,85%"
"12.12.2025","4,592","4,578","4,652","4,554","8,22M","1,23%"
"11.12.2025","4,536","4,433","4,542","4,412","6,62M","2,86%"
"10.12.2025","4,410","4,416","4,456","4,404","3,51M","-0,45%"
"09.12.2025","4,430","4,460","4,464","4,404","4,50M","-1,16%"
"08.12.2025","4,482","4,450","4,494","4,432","4,54M","1,38%"
"05.12.2025","4,421","4,433","4,466","4,405","2,99M","0,16%"
"04.12.2025","4,414","4,496","4,496","4,378","5,44M","-1,36%"
"03.12.2025","4,475","4,462","4,495","4,432","6,90M","1,06%"
"02.12.2025","4,428","4,469","4,480","4,422","3,91M","-1,18%"
"01.12.2025","4,481","4,502","4,549","4,441","4,55M","-1,06%"
"28.11.2025","4,529","4,540","4,554","4,503","3,14M","-0,11%"
"27.11.2025","4,534","4,540","4,562","4,511","3,95M","-0,24%"
"26.11.2025","4,545","4,488","4,551","4,402","7,66M","1,81%"
"25.11.2025","4,464","4,441","4,464","4,350","7,16M","0,63%"
"24.11.2025","4,436","4,350","4,441","4,339","12,28M","2,69%"
"21.11.2025","4,320","4,258","4,339","4,245","5,50M","-0,55%"
"20.11.2025","4,344","4,344","4,373","4,288","6,25M","1,45%"
"19.11.2025","4,282","4,220","4,322","4,165","5,75M","1,78%"
"18.11.2025","4,207","4,226","4,261","4,163","9,32M","-2,84%"
"17.11.2025","4,330","4,407","4,415","4,302","5,64M","-1,25%"
"14.11.2025","4,385","4,425","4,437","4,322","7,34M","-2,32%"
"13.11.2025","4,489","4,492","4,535","4,459","7,93M","0,88%"
"12.11.2025","4,450","4,367","4,468","4,359","10,40M","2,25%"
"11.11.2025","4,352","4,311","4,393","4,305","8,39M","0,97%"
"10.11.2025","4,310","4,257","4,353","4,257","13,39M","3,46%"
"07.11.2025","4,166","4,467","4,467","4,166","40,82M","-11,49%"
"06.11.2025","4,707","4,802","4,838","4,684","8,18M","-2,61%"
"05.11.2025","4,833","4,785","4,839","4,753","4,04M","0,86%"
"04.11.2025","4,792","4,842","4,850","4,770","5,30M","-1,86%"
"03.11.2025","4,883","4,770","4,895","4,735","10,15M","2,50%"
"31.10.2025","4,764","4,706","4,764","4,685","6,62M","1,15%"
"30.10.2025","4,710","4,668","4,710","4,590","4,61M","1,68%"
"29.10.2025","4,632","4,685","4,697","4,594","5,82M","-1,30%"
"28.10.2025","4,693","4,695","4,724","4,681","5,23M","0,04%"
"27.10.2025","4,691","4,715","4,719","4,683","3,62M","0,00%"
"24.10.2025","4,691","4,670","4,691","4,610","5,50M","1,21%"
"23.10.2025","4,635","4,619","4,673","4,595","6,62M","0,09%"
"22.10.2025","4,631","4,586","4,659","4,565","6,67M","1,94%"
"21.10.2025","4,543","4,580","4,586","4,490","4,48M","-0,42%"
"20.10.2025","4,562","4,550","4,586","4,526","3,59M","1,40%"
"17.10.2025","4,499","4,620","4,624","4,499","9,09M","-3,93%"
"16.10.2025","4,683","4,707","4,731","4,592","4,43M","-0,23%"
"15.10.2025","4,694","4,739","4,769","4,687","7,92M","0,23%"
"14.10.2025","4,683","4,680","4,694","4,544","9,42M","-0,53%"
"13.10.2025","4,708","4,710","4,726","4,661","3,86M","0,41%"
"10.10.2025","4,689","4,750","4,758","4,671","6,44M","-1,41%"
"09.10.2025","4,756","4,640","4,789","4,606","14,16M","2,99%"
"08.10.2025","4,618","4,494","4,647","4,494","11,92M","2,85%"
"07.10.2025","4,490","4,470","4,504","4,427","6,63M","0,54%"
"06.10.2025","4,466","4,432","4,466","4,405","4,62M","0,81%"
