"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","18.465","18.490","18.570","18.465","4.05M","0.05%"
"12/30/2025","18.455","18.305","18.485","18.305","3.94M","0.68%"
"12/29/2025","18.330","18.240","18.370","18.185","6.26M","0.22%"
"12/24/2025","18.290","18.200","18.335","18.200","1.55M","0.33%"
"12/23/2025","18.230","18.075","18.280","18.040","5.01M","0.86%"
"12/22/2025","18.075","18.045","18.125","17.940","6.10M","-0.74%"
"12/19/2025","18.210","18.035","18.240","17.860","13.66M","1.48%"
"12/18/2025","17.945","18.055","18.110","17.925","7.64M","0.00%"
"12/17/2025","17.945","18.030","18.075","17.865","8.26M","-0.17%"
"12/16/2025","17.975","18.110","18.175","17.955","8.07M","-0.75%"
"12/15/2025","18.110","17.990","18.180","17.900","5.31M","1.29%"
"12/12/2025","17.880","17.730","17.910","17.710","4.71M","0.96%"
"12/11/2025","17.710","17.680","17.805","17.540","5.74M","-0.59%"
"12/10/2025","17.815","17.870","17.915","17.775","3.77M","-0.31%"
"12/09/2025","17.870","18.005","18.065","17.850","5.48M","-0.45%"
"12/08/2025","17.950","17.930","18.030","17.910","4.01M","-0.11%"
"12/05/2025","17.970","17.905","18.025","17.870","4.23M","0.25%"
"12/04/2025","17.925","18.010","18.040","17.890","5.77M","-0.47%"
"12/03/2025","18.010","18.040","18.180","18.005","7.62M","-0.44%"
"12/02/2025","18.090","18.040","18.240","18.005","7.23M","0.81%"
"12/01/2025","17.945","18.080","18.225","17.945","7.80M","-1.32%"
"11/28/2025","18.185","18.250","18.250","18.090","5.35M","-0.16%"
"11/27/2025","18.215","18.265","18.280","18.125","2.61M","-0.30%"
"11/26/2025","18.270","17.975","18.270","17.960","5.14M","1.30%"
"11/25/2025","18.035","18.010","18.070","17.940","4.60M","0.19%"
"11/24/2025","18.000","17.960","18.085","17.895","12.86M","0.36%"
"11/21/2025","17.935","18.070","18.135","17.935","6.92M","-0.53%"
"11/20/2025","18.030","17.870","18.125","17.860","6.13M","0.73%"
"11/19/2025","17.900","17.950","18.020","17.840","7.32M","-0.53%"
"11/18/2025","17.995","18.050","18.095","17.960","5.67M","-0.83%"
"11/17/2025","18.145","18.000","18.150","17.965","5.31M","0.61%"
"11/14/2025","18.035","17.900","18.035","17.855","5.10M","0.33%"
"11/13/2025","17.975","17.940","18.005","17.805","6.15M","0.45%"
"11/12/2025","17.895","17.825","18.000","17.815","6.55M","0.96%"
"11/11/2025","17.725","17.695","17.770","17.510","5.33M","0.57%"
"11/10/2025","17.625","17.660","17.695","17.525","6.19M","-0.09%"
"11/07/2025","17.640","17.800","17.830","17.555","5.76M","-0.73%"
"11/06/2025","17.770","17.930","17.930","17.625","7.32M","-0.06%"
"11/05/2025","17.780","17.850","17.850","17.645","5.28M","-0.08%"
"11/04/2025","17.795","17.485","17.830","17.390","6.66M","1.48%"
"11/03/2025","17.535","17.540","17.565","17.420","3.85M","-0.17%"
"10/31/2025","17.565","17.565","17.700","17.510","6.17M","0.03%"
"10/30/2025","17.560","17.590","17.675","17.450","4.73M","-0.40%"
"10/29/2025","17.630","17.700","17.705","17.490","5.82M","-0.40%"
"10/28/2025","17.700","17.500","17.700","17.305","8.59M","3.42%"
"10/27/2025","17.115","17.120","17.180","16.980","6.53M","-0.09%"
"10/24/2025","17.130","17.020","17.165","16.975","4.50M","0.53%"
"10/23/2025","17.040","16.855","17.080","16.855","4.67M","0.65%"
"10/22/2025","16.930","17.090","17.215","16.885","5.41M","-0.76%"
"10/21/2025","17.060","17.080","17.225","17.055","3.59M","-0.06%"
"10/20/2025","17.070","16.950","17.190","16.905","6.06M","0.71%"
"10/17/2025","16.950","16.825","16.950","16.660","9.91M","0.83%"
"10/16/2025","16.810","16.830","16.835","16.620","5.01M","0.33%"
"10/15/2025","16.755","16.740","16.850","16.650","5.67M","0.03%"
"10/14/2025","16.750","16.630","16.780","16.590","6.32M","1.21%"
"10/13/2025","16.550","16.655","16.670","16.550","5.20M","-0.42%"
"10/10/2025","16.620","16.545","16.665","16.540","5.77M","0.73%"
"10/09/2025","16.500","16.410","16.525","16.370","4.75M","0.49%"
"10/08/2025","16.420","16.400","16.510","16.350","6.45M","0.46%"
"10/07/2025","16.345","16.300","16.380","16.185","8.60M","0.71%"
"10/06/2025","16.230","16.170","16.245","16.110","4.33M","0.28%"
"10/03/2025","16.185","16.175","16.240","16.090","4.73M","0.53%"
"10/02/2025","16.100","16.110","16.120","15.995","5.99M","-0.46%"
"10/01/2025","16.175","16.135","16.270","15.980","8.09M","0.43%"
"09/30/2025","16.105","16.005","16.150","15.885","9.77M","0.44%"
"09/29/2025","16.035","16.035","16.085","15.910","5.13M","0.44%"
"09/26/2025","15.965","15.855","16.050","15.780","6.36M","1.14%"
"09/25/2025","15.785","15.620","15.875","15.535","6.48M","0.89%"
"09/24/2025","15.645","15.800","15.845","15.540","9.07M","0.00%"
"09/23/2025","15.645","15.665","15.750","15.600","5.91M","0.38%"
"09/22/2025","15.585","15.540","15.590","15.495","6.40M","-0.10%"
"09/19/2025","15.600","15.515","15.615","15.460","25.94M","0.91%"
"09/18/2025","15.460","15.540","15.570","15.330","8.24M","-0.58%"
"09/17/2025","15.550","15.590","15.700","15.540","8.14M","-0.61%"
"09/16/2025","15.645","15.850","15.850","15.585","10.38M","-1.17%"
"09/15/2025","15.830","15.770","15.830","15.670","6.57M","0.86%"
"09/12/2025","15.695","15.700","15.725","15.525","6.57M","0.13%"
"09/11/2025","15.675","15.815","15.815","15.595","7.03M","-0.35%"
"09/10/2025","15.730","15.750","15.775","15.570","6.26M","0.29%"
"09/09/2025","15.685","15.665","15.740","15.630","5.21M","0.00%"
"09/08/2025","15.685","15.730","15.780","15.660","5.00M","-0.22%"
"09/05/2025","15.720","15.745","15.755","15.635","7.17M","-0.10%"
"09/04/2025","15.735","15.735","15.780","15.590","5.60M","-0.41%"
"09/03/2025","15.800","15.740","15.800","15.545","6.68M","-0.06%"
"09/02/2025","15.810","15.870","15.935","15.735","4.15M","-0.69%"
"09/01/2025","15.920","16.080","16.085","15.885","3.67M","-0.96%"
"08/29/2025","16.075","16.105","16.150","16.005","5.09M","-0.68%"
"08/28/2025","16.185","16.235","16.235","16.030","3.91M","-0.15%"
"08/27/2025","16.210","16.215","16.305","16.155","4.08M","0.19%"
"08/26/2025","16.180","16.360","16.420","16.150","14.65M","-1.16%"
"08/25/2025","16.370","16.480","16.525","16.250","4.39M","-1.47%"
"08/22/2025","16.615","16.535","16.785","16.535","4.28M","0.00%"
"08/21/2025","16.615","16.670","16.675","16.535","5.94M","0.21%"
"08/20/2025","16.580","16.400","16.635","16.395","5.22M","1.28%"
"08/19/2025","16.370","16.215","16.420","16.205","6.77M","1.05%"
"08/18/2025","16.200","16.365","16.410","16.165","4.86M","-0.58%"
"08/15/2025","16.295","16.250","16.330","16.175","5.37M","0.43%"
"08/14/2025","16.225","15.960","16.225","15.950","5.66M","2.14%"
"08/13/2025","15.885","15.630","15.905","15.630","5.35M","1.70%"
"08/12/2025","15.620","15.680","15.775","15.620","5.74M","-0.03%"
"08/11/2025","15.625","15.600","15.625","15.450","3.86M","0.55%"
"08/08/2025","15.540","15.640","15.705","15.540","4.83M","-0.38%"
"08/07/2025","15.600","15.550","15.650","15.440","6.73M","0.32%"
"08/06/2025","15.550","15.475","15.605","15.425","4.89M","0.45%"
"08/05/2025","15.480","15.500","15.530","15.400","5.49M","-0.13%"
"08/04/2025","15.500","15.235","15.500","15.235","6.19M","1.54%"
"08/01/2025","15.265","15.330","15.360","15.205","9.33M","-0.59%"
"07/31/2025","15.355","15.400","15.455","15.280","10.13M","-0.16%"
"07/30/2025","15.380","15.300","15.400","15.205","8.18M","0.75%"
"07/29/2025","15.265","15.150","15.270","15.095","8.20M","0.49%"
"07/28/2025","15.190","15.430","15.430","15.190","42.86M","-1.01%"
"07/25/2025","15.345","15.330","15.395","15.205","7.94M","0.62%"
"07/24/2025","15.250","15.280","15.395","15.195","10.82M","0.66%"
"07/23/2025","15.150","15.450","15.450","15.150","27.35M","-4.69%"
"07/22/2025","15.895","15.715","15.895","15.715","5.14M","0.89%"
"07/21/2025","15.755","15.645","15.760","15.565","5.51M","1.09%"
"07/18/2025","15.585","15.630","15.715","15.525","6.92M","-0.03%"
"07/17/2025","15.590","15.535","15.630","15.520","5.42M","-0.06%"
"07/16/2025","15.600","15.560","15.635","15.495","6.39M","0.32%"
"07/15/2025","15.550","15.700","15.715","15.510","4.96M","-1.02%"
"07/14/2025","15.710","15.600","15.710","15.520","5.11M","0.87%"
"07/11/2025","15.575","15.525","15.595","15.445","6.84M","0.00%"
"07/10/2025","15.575","15.655","15.710","15.470","8.83M","-0.51%"
"07/09/2025","15.655","15.620","15.710","15.600","5.80M","0.16%"
"07/08/2025","15.630","15.740","15.765","15.550","7.16M","-0.64%"
"07/07/2025","15.730","15.880","15.900","15.665","6.96M","-1.07%"
"07/04/2025","15.900","15.970","16.000","15.805","7.74M","-0.20%"
"07/03/2025","15.932","15.863","15.951","15.810","7.44M","0.31%"
"07/02/2025","15.883","15.975","16.039","15.863","9.17M","-0.58%"
"07/01/2025","15.975","16.005","16.122","15.912","5.77M","0.58%"
"06/30/2025","15.883","16.019","16.058","15.849","7.01M","-0.21%"
"06/27/2025","15.917","16.005","16.112","15.917","8.57M","-2.89%"
"06/26/2025","16.390","16.425","16.505","16.385","6.33M","0.28%"
"06/25/2025","16.345","16.655","16.680","16.335","7.38M","-2.16%"
"06/24/2025","16.705","16.680","16.785","16.525","8.06M","0.36%"
"06/23/2025","16.645","16.415","16.670","16.375","5.05M","1.25%"
"06/20/2025","16.440","16.200","16.440","16.180","25.38M","1.26%"
"06/19/2025","16.235","16.220","16.280","16.165","3.75M","0.25%"
"06/18/2025","16.195","16.355","16.380","16.195","7.47M","-0.31%"
"06/17/2025","16.245","16.115","16.315","16.075","8.44M","0.09%"
"06/16/2025","16.230","16.185","16.335","16.100","8.49M","0.15%"
"06/13/2025","16.205","16.295","16.325","16.145","7.65M","-0.46%"
"06/12/2025","16.280","16.200","16.310","16.160","4.68M","0.80%"
