"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","48,540","48,700","48,700","48,140","322,14K","-0,16%"
"30.12.2025","48,620","46,800","48,660","46,800","451,22K","2,62%"
"29.12.2025","47,380","47,200","47,440","46,580","543,16K","-0,25%"
"24.12.2025","47,500","48,060","48,160","47,440","249,09K","-1,04%"
"23.12.2025","48,000","48,360","48,800","47,980","420,31K","-0,46%"
"22.12.2025","48,220","48,420","48,420","47,400","550,32K","-0,29%"
"19.12.2025","48,360","47,860","48,700","47,620","747,64K","1,21%"
"18.12.2025","47,780","45,620","47,940","45,460","728,71K","4,41%"
"17.12.2025","45,760","46,140","46,740","45,700","786,71K","-1,08%"
"16.12.2025","46,260","48,040","48,200","46,060","1,24M","-5,40%"
"15.12.2025","48,900","48,420","48,960","48,100","507,77K","0,66%"
"12.12.2025","48,580","49,760","49,840","48,360","587,24K","-1,62%"
"11.12.2025","49,380","49,480","50,100","48,500","697,27K","-0,08%"
"10.12.2025","49,420","48,600","49,420","47,680","759,71K","-0,36%"
"09.12.2025","49,600","48,860","50,050","48,740","797,52K","1,93%"
"08.12.2025","48,660","47,620","49,020","47,620","675,63K","2,79%"
"05.12.2025","47,340","47,400","48,800","47,140","874,40K","0,25%"
"04.12.2025","47,220","47,200","47,220","46,240","479,19K","0,04%"
"03.12.2025","47,200","46,580","47,520","45,900","817,44K","3,65%"
"02.12.2025","45,540","44,900","46,140","44,900","565,84K","1,97%"
"01.12.2025","44,660","46,420","46,420","43,160","891,33K","-2,91%"
"28.11.2025","46,000","47,000","47,100","45,260","599,74K","-1,50%"
"27.11.2025","46,700","46,200","47,000","45,740","655,97K","1,97%"
"26.11.2025","45,800","44,900","45,820","44,600","724,09K","3,43%"
"25.11.2025","44,280","45,340","45,580","43,700","660,99K","-0,45%"
"24.11.2025","44,480","45,000","45,100","42,800","1,51M","-1,29%"
"21.11.2025","45,060","46,420","46,700","44,400","1,29M","-4,82%"
"20.11.2025","47,340","47,980","48,800","47,340","823,11K","-0,34%"
"19.11.2025","47,500","49,520","49,540","47,220","883,41K","-3,38%"
"18.11.2025","49,160","48,960","49,840","47,880","679,94K","-1,88%"
"17.11.2025","50,100","50,200","50,550","49,600","598,26K","-0,79%"
"14.11.2025","50,500","50,000","50,500","48,500","728,25K","0,90%"
"13.11.2025","50,050","48,340","50,650","48,060","886,34K","4,31%"
"12.11.2025","47,980","48,500","48,500","47,620","587,27K","-0,58%"
"11.11.2025","48,260","48,960","49,480","47,720","633,79K","-0,98%"
"10.11.2025","48,740","49,600","49,820","48,740","492,35K","0,12%"
"07.11.2025","48,680","48,300","49,180","47,480","597,35K","1,37%"
"06.11.2025","48,020","49,520","49,860","47,940","766,04K","-2,91%"
"05.11.2025","49,460","50,700","51,050","49,260","773,92K","-2,83%"
"04.11.2025","50,900","50,500","51,250","49,640","931,94K","0,69%"
"03.11.2025","50,550","48,500","50,850","48,120","1,05M","5,40%"
"31.10.2025","47,960","49,240","49,520","46,940","1,38M","-2,52%"
"30.10.2025","49,200","49,120","50,450","47,160","1,48M","-1,52%"
"29.10.2025","49,960","49,260","50,650","49,220","1,10M","1,50%"
"28.10.2025","49,220","49,460","51,000","47,960","2,45M","-0,49%"
"27.10.2025","49,460","46,380","49,580","46,200","1,61M","7,52%"
"24.10.2025","46,000","44,980","46,380","44,720","800,21K","3,00%"
"23.10.2025","44,660","44,100","45,140","44,100","796,97K","1,50%"
"22.10.2025","44,000","43,400","44,480","43,400","1,37M","1,71%"
"21.10.2025","43,260","42,400","43,360","42,080","808,69K","2,22%"
"20.10.2025","42,320","42,260","42,680","41,800","665,46K","2,62%"
"17.10.2025","41,240","43,000","43,000","41,220","1,34M","-4,71%"
"16.10.2025","43,280","42,140","44,200","42,120","1,29M","2,56%"
"15.10.2025","42,200","41,000","43,600","40,640","1,47M","4,15%"
"14.10.2025","40,520","40,100","40,520","39,180","668,14K","0,15%"
"13.10.2025","40,460","40,260","40,880","40,000","585,71K","1,00%"
"10.10.2025","40,060","41,060","41,340","39,800","881,78K","-2,29%"
"09.10.2025","41,000","40,760","41,220","40,420","702,20K","0,64%"
"08.10.2025","40,740","39,860","40,800","39,860","870,04K","2,31%"
"07.10.2025","39,820","38,600","39,820","38,400","756,49K","2,58%"
"06.10.2025","38,820","39,580","39,820","38,800","530,07K","-1,27%"
"03.10.2025","39,320","39,340","39,860","39,180","664,94K","-0,46%"
"02.10.2025","39,500","37,800","39,500","37,780","906,46K","4,55%"
"01.10.2025","37,780","38,000","38,100","36,920","833,16K","-0,84%"
"30.09.2025","38,100","39,220","39,320","37,920","857,27K","-2,66%"
"29.09.2025","39,140","39,600","39,600","38,160","775,32K","0,26%"
"26.09.2025","39,040","39,600","39,600","38,820","545,09K","-0,05%"
"25.09.2025","39,060","39,400","39,800","37,500","942,35K","-1,41%"
"24.09.2025","39,620","38,340","39,780","38,220","1,24M","4,65%"
