"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","30,12","30,04","30,12","30,00","73,49K","0,20%"
"30.12.2025","30,06","29,82","30,10","29,82","150,20K","0,67%"
"29.12.2025","29,86","29,70","29,96","29,66","139,12K","0,67%"
"24.12.2025","29,66","29,60","29,68","29,54","47,98K","0,07%"
"23.12.2025","29,64","29,74","29,74","29,54","139,83K","-0,27%"
"22.12.2025","29,72","29,72","29,74","29,30","164,37K","0,20%"
"19.12.2025","29,66","29,48","29,76","29,18","324,32K","0,68%"
"18.12.2025","29,46","29,50","29,50","29,10","188,45K","1,38%"
"17.12.2025","29,06","28,74","29,06","28,70","141,03K","0,97%"
"16.12.2025","28,78","28,86","28,96","28,72","155,55K","0,07%"
"15.12.2025","28,76","28,62","28,84","28,52","253,84K","0,91%"
"12.12.2025","28,50","28,62","28,64","28,44","147,42K","0,00%"
"11.12.2025","28,50","28,62","28,64","28,50","131,11K","-0,28%"
"10.12.2025","28,58","28,60","28,80","28,48","219,61K","0,14%"
"09.12.2025","28,54","28,32","28,62","28,28","171,60K","0,78%"
"08.12.2025","28,32","28,52","28,68","28,26","222,95K","-0,63%"
"05.12.2025","28,50","29,30","29,34","28,28","678,64K","-3,06%"
"04.12.2025","29,40","29,64","29,64","29,38","163,37K","-0,81%"
"03.12.2025","29,64","29,62","29,76","29,60","125,06K","-0,07%"
"02.12.2025","29,66","29,78","29,82","29,56","115,69K","0,27%"
"01.12.2025","29,58","29,40","29,66","29,24","158,88K","0,48%"
"28.11.2025","29,44","29,44","29,52","29,28","127,71K","0,00%"
"27.11.2025","29,44","29,52","29,60","29,34","83,54K","0,14%"
"26.11.2025","29,40","29,40","29,46","29,22","151,49K","0,34%"
"25.11.2025","29,30","29,24","29,30","28,82","138,74K","0,07%"
"24.11.2025","29,28","29,40","29,50","29,04","152,56K","-0,20%"
"21.11.2025","29,34","29,32","29,44","29,12","159,09K","0,27%"
"20.11.2025","29,26","29,68","29,72","29,26","137,84K","-0,95%"
"19.11.2025","29,54","29,26","29,56","29,06","126,88K","1,16%"
"18.11.2025","29,20","29,62","29,72","29,18","130,63K","-1,48%"
"17.11.2025","29,64","29,70","29,76","29,56","104,11K","-0,07%"
"14.11.2025","29,66","30,20","30,20","29,54","140,18K","-2,18%"
"13.11.2025","30,32","30,34","30,56","30,22","174,88K","0,20%"
"12.11.2025","30,26","30,10","30,42","30,08","218,40K","0,40%"
"11.11.2025","30,14","29,76","30,14","29,76","352,39K","1,41%"
"10.11.2025","29,72","29,56","29,74","29,36","155,07K","0,95%"
"07.11.2025","29,44","29,60","29,84","29,04","258,35K","-0,54%"
"06.11.2025","29,60","28,56","29,60","28,16","418,01K","2,71%"
"05.11.2025","28,82","28,80","28,92","28,38","227,50K","0,00%"
"04.11.2025","28,82","28,72","28,90","28,44","141,04K","0,14%"
"03.11.2025","28,78","28,96","28,98","28,74","117,06K","-0,48%"
"31.10.2025","28,92","29,04","29,10","28,82","99,66K","-0,07%"
"30.10.2025","28,94","28,80","28,94","28,66","112,79K","0,70%"
"29.10.2025","28,74","29,16","29,16","28,74","118,45K","-1,24%"
"28.10.2025","29,10","29,10","29,18","29,00","82,54K","-0,14%"
"27.10.2025","29,14","29,00","29,18","28,94","96,68K","0,62%"
"24.10.2025","28,96","29,00","29,06","28,78","68,67K","-0,21%"
"23.10.2025","29,02","29,20","29,20","28,94","101,43K","-0,41%"
"22.10.2025","29,14","29,08","29,22","28,94","123,03K","0,55%"
"21.10.2025","28,98","29,10","29,14","28,90","100,33K","-0,48%"
"20.10.2025","29,12","28,98","29,20","28,90","135,48K","0,97%"
"17.10.2025","28,84","28,62","28,96","28,46","107,22K","0,84%"
"16.10.2025","28,60","28,74","28,76","28,46","127,23K","-0,07%"
"15.10.2025","28,62","28,80","28,82","28,56","118,85K","-0,07%"
"14.10.2025","28,64","28,60","28,86","28,60","135,77K","-0,14%"
"13.10.2025","28,68","29,02","29,12","28,62","121,37K","-1,17%"
"10.10.2025","29,02","29,22","29,38","29,02","95,35K","-0,48%"
"09.10.2025","29,16","29,22","29,44","29,16","140,12K","-0,07%"
"08.10.2025","29,18","29,16","29,32","29,12","156,06K","0,14%"
"07.10.2025","29,14","29,06","29,28","28,98","210,85K","0,41%"
"06.10.2025","29,02","29,04","29,06","28,92","114,02K","0,07%"
"03.10.2025","29,00","28,76","29,08","28,76","177,69K","0,42%"
"02.10.2025","28,88","28,82","28,88","28,74","98,64K","0,42%"
"01.10.2025","28,76","28,90","28,90","28,64","125,45K","-0,48%"
"30.09.2025","28,90","28,60","28,90","28,58","156,47K","0,98%"
"29.09.2025","28,62","28,74","28,74","28,46","140,97K","0,00%"
"26.09.2025","28,62","28,40","28,64","28,36","152,89K","1,06%"
"25.09.2025","28,32","28,08","28,40","27,96","174,93K","0,78%"
"24.09.2025","28,10","28,10","28,26","28,10","110,00K","-0,14%"
"23.09.2025","28,14","28,22","28,32","28,06","134,21K","-0,28%"
"22.09.2025","28,22","28,16","28,42","28,16","145,54K","-0,42%"
"19.09.2025","28,34","28,24","28,40","28,16","330,61K","0,14%"
