"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","12,430","12,430","12,440","12,350","267,31K","0,08%"
"30.12.2025","12,420","12,320","12,450","12,310","338,16K","0,65%"
"29.12.2025","12,340","12,250","12,380","12,240","616,79K","0,57%"
"24.12.2025","12,270","12,270","12,300","12,230","114,46K","0,00%"
"23.12.2025","12,270","12,240","12,360","12,220","480,63K","-0,08%"
"22.12.2025","12,280","12,300","12,300","12,100","516,31K","0,00%"
"19.12.2025","12,280","12,100","12,280","12,020","1,69M","1,40%"
"18.12.2025","12,110","11,880","12,120","11,850","1,00M","1,94%"
"17.12.2025","11,880","12,200","12,210","11,810","1,17M","-2,30%"
"16.12.2025","12,160","12,220","12,250","12,110","547,82K","0,16%"
"15.12.2025","12,140","12,140","12,240","12,110","580,64K","0,33%"
"12.12.2025","12,100","12,250","12,330","12,100","908,27K","-1,39%"
"11.12.2025","12,270","12,160","12,270","12,110","525,05K","0,74%"
"10.12.2025","12,180","12,060","12,200","11,990","953,55K","0,74%"
"09.12.2025","12,090","12,230","12,240","12,050","952,83K","-0,98%"
"08.12.2025","12,210","12,430","12,450","12,210","873,61K","-1,37%"
"05.12.2025","12,380","12,430","12,520","12,380","697,72K","-0,80%"
"04.12.2025","12,480","12,630","12,650","12,480","876,92K","-0,79%"
"03.12.2025","12,580","12,680","12,680","12,550","838,07K","-0,40%"
"02.12.2025","12,630","12,730","12,780","12,610","609,09K","-0,55%"
"01.12.2025","12,700","12,660","12,770","12,560","658,95K","-0,16%"
"28.11.2025","12,720","12,620","12,750","12,620","467,89K","0,32%"
"27.11.2025","12,680","12,490","12,680","12,430","656,29K","1,77%"
"26.11.2025","12,460","12,470","12,530","12,350","542,23K","0,40%"
"25.11.2025","12,410","12,490","12,530","12,360","1,11M","-0,16%"
"24.11.2025","12,430","12,360","12,450","12,310","912,21K","0,49%"
"21.11.2025","12,370","12,330","12,430","12,210","969,69K","-1,67%"
"20.11.2025","12,580","12,650","12,800","12,580","922,46K","0,40%"
"19.11.2025","12,530","12,620","12,670","12,450","1,25M","-0,87%"
"18.11.2025","12,640","12,570","12,800","12,560","868,29K","-0,71%"
"17.11.2025","12,730","12,740","12,770","12,480","782,19K","0,63%"
"14.11.2025","12,650","12,990","12,990","12,290","2,31M","-5,17%"
"13.11.2025","13,340","13,460","13,520","13,320","782,36K","-0,15%"
"12.11.2025","13,360","13,400","13,440","13,280","630,19K","0,30%"
"11.11.2025","13,320","13,240","13,320","13,140","1,05M","0,68%"
"10.11.2025","13,230","13,310","13,350","13,210","604,99K","-0,30%"
"07.11.2025","13,270","13,450","13,460","13,230","488,11K","-0,97%"
"06.11.2025","13,400","13,410","13,500","13,350","499,96K","-0,22%"
"05.11.2025","13,430","13,530","13,540","13,300","1,14M","-0,89%"
"04.11.2025","13,550","13,390","13,620","13,310","695,88K","0,74%"
"03.11.2025","13,450","13,500","13,560","13,430","593,25K","-0,44%"
"31.10.2025","13,510","13,580","13,600","13,480","630,88K","-0,44%"
"30.10.2025","13,570","13,560","13,580","13,290","692,42K","-0,22%"
"29.10.2025","13,600","13,730","13,790","13,580","684,83K","-0,95%"
"28.10.2025","13,730","13,810","13,830","13,660","619,40K","-0,29%"
"27.10.2025","13,770","13,800","13,810","13,710","460,16K","0,22%"
"24.10.2025","13,740","13,820","13,820","13,550","613,14K","-0,43%"
"23.10.2025","13,800","13,780","13,910","13,690","839,54K","0,22%"
"22.10.2025","13,770","13,630","13,840","13,630","1,21M","1,32%"
"21.10.2025","13,590","13,560","13,650","13,550","603,11K","0,44%"
"20.10.2025","13,530","13,530","13,560","13,420","499,80K","0,74%"
"17.10.2025","13,430","13,550","13,550","13,280","886,56K","-1,32%"
"16.10.2025","13,610","13,310","13,610","13,280","651,92K","2,64%"
"15.10.2025","13,260","13,390","13,400","13,130","782,18K","-0,67%"
"14.10.2025","13,350","13,320","13,480","13,270","846,30K","-0,07%"
"13.10.2025","13,360","13,360","13,390","13,150","652,53K","0,75%"
"10.10.2025","13,260","13,410","13,570","13,260","1,19M","-0,75%"
"09.10.2025","13,360","13,350","13,450","13,300","590,52K","0,07%"
"08.10.2025","13,350","13,250","13,350","13,230","916,62K","0,98%"
"07.10.2025","13,220","13,150","13,360","13,060","871,88K","0,38%"
"06.10.2025","13,170","13,100","13,230","13,030","809,76K","0,30%"
"03.10.2025","13,130","12,960","13,230","12,960","693,82K","1,78%"
"02.10.2025","12,900","12,840","12,940","12,710","660,71K","0,86%"
"01.10.2025","12,790","12,790","12,850","12,610","688,14K","-0,39%"
"30.09.2025","12,840","12,760","12,840","12,650","622,99K","0,94%"
"29.09.2025","12,720","12,800","12,800","12,580","399,10K","-0,24%"
