"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","39,070","38,730","39,070","38,640","62,58K","0,10%"
"30.12.2025","39,030","38,690","39,100","38,540","110,44K","0,72%"
"29.12.2025","38,750","38,820","39,020","38,430","222,79K","1,17%"
"24.12.2025","38,300","38,280","38,450","38,230","32,14K","0,16%"
"23.12.2025","38,240","38,100","38,250","37,890","87,93K","-0,29%"
"22.12.2025","38,350","38,530","38,530","37,670","119,53K","0,66%"
"19.12.2025","38,100","38,350","38,550","37,990","386,84K","-1,45%"
"18.12.2025","38,660","38,260","38,740","38,060","67,89K","1,07%"
"17.12.2025","38,250","38,850","39,290","38,250","154,20K","-1,32%"
"16.12.2025","38,760","39,030","39,530","38,650","76,51K","-1,22%"
"15.12.2025","39,240","39,270","39,370","38,800","187,58K","1,42%"
"12.12.2025","38,690","38,670","39,760","38,580","196,97K","0,70%"
"11.12.2025","38,420","38,380","38,800","37,930","139,43K","1,03%"
"10.12.2025","38,030","37,330","38,140","37,020","202,67K","1,60%"
"09.12.2025","37,430","37,140","37,570","37,000","156,71K","1,55%"
"08.12.2025","36,860","36,360","36,860","36,290","53,87K","0,71%"
"05.12.2025","36,600","36,730","37,150","36,580","86,84K","-0,35%"
"04.12.2025","36,730","36,650","36,890","36,130","125,65K","0,27%"
"03.12.2025","36,630","37,650","37,690","36,460","287,50K","-1,88%"
"02.12.2025","37,330","37,470","37,730","37,330","87,34K","-0,27%"
"01.12.2025","37,430","37,540","37,750","37,150","145,25K","0,62%"
"28.11.2025","37,200","36,730","37,220","36,600","117,69K","1,53%"
"27.11.2025","36,640","37,000","37,030","36,600","119,26K","-1,19%"
"26.11.2025","37,080","36,940","37,100","36,310","157,67K","1,81%"
"25.11.2025","36,420","35,320","36,500","35,040","292,78K","3,61%"
"24.11.2025","35,150","34,600","35,790","34,600","283,23K","3,29%"
"21.11.2025","34,030","34,150","34,400","33,640","206,13K","-2,72%"
"20.11.2025","34,980","35,250","35,370","34,800","131,35K","0,34%"
"19.11.2025","34,860","33,800","35,150","33,770","226,29K","2,83%"
"18.11.2025","33,900","33,370","34,090","33,210","102,91K","-0,99%"
"17.11.2025","34,240","33,910","34,360","33,700","147,51K","-0,23%"
"14.11.2025","34,320","34,280","34,480","33,780","125,05K","-1,01%"
"13.11.2025","34,670","34,910","35,160","34,660","144,60K","-0,77%"
"12.11.2025","34,940","34,430","35,040","34,380","193,18K","1,51%"
"11.11.2025","34,420","34,090","34,570","33,850","176,67K","0,91%"
"10.11.2025","34,110","34,460","34,510","33,830","118,89K","1,10%"
"07.11.2025","33,740","33,770","34,360","33,410","241,91K","1,35%"
"06.11.2025","33,290","33,630","34,560","33,180","573,12K","2,43%"
"05.11.2025","32,500","31,950","32,500","31,900","101,60K","0,37%"
"04.11.2025","32,380","32,530","32,530","31,870","184,96K","-2,00%"
"03.11.2025","33,040","33,010","33,270","32,880","103,99K","-0,39%"
"31.10.2025","33,170","33,290","33,500","33,090","123,09K","-0,78%"
