"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","25,920","25,860","25,960","25,800","355,46K","0,31%"
"30.12.2025","25,840","25,520","25,860","25,520","996,91K","1,10%"
"29.12.2025","25,560","25,400","25,660","25,280","1,21M","0,71%"
"24.12.2025","25,380","25,300","25,440","25,280","290,78K","0,32%"
"23.12.2025","25,300","25,100","25,340","25,080","805,66K","1,12%"
"22.12.2025","25,020","24,700","25,020","24,700","864,52K","0,89%"
"19.12.2025","24,800","25,200","25,340","24,800","6,69M","-1,51%"
"18.12.2025","25,180","24,900","25,180","24,780","2,02M","1,78%"
"17.12.2025","24,740","24,600","24,800","24,540","1,65M","0,73%"
"16.12.2025","24,560","24,680","24,680","24,480","1,35M","0,24%"
"15.12.2025","24,500","24,700","24,720","24,500","6,16M","0,16%"
"12.12.2025","24,460","24,420","24,640","24,300","1,79M","0,16%"
"11.12.2025","24,420","24,760","24,860","24,360","4,81M","-6,65%"
"10.12.2025","26,160","26,200","26,320","26,080","470,14K","-0,23%"
"09.12.2025","26,220","26,400","26,460","26,080","599,46K","-0,76%"
"08.12.2025","26,420","26,760","26,960","26,400","694,96K","-1,20%"
"05.12.2025","26,740","27,020","27,140","26,720","625,35K","-2,05%"
"04.12.2025","27,300","27,160","27,300","27,080","935,57K","0,44%"
"03.12.2025","27,180","26,980","27,380","26,960","683,80K","0,52%"
"02.12.2025","27,040","26,720","27,040","26,480","959,91K","1,81%"
"01.12.2025","26,560","26,460","26,560","26,360","773,48K","0,15%"
"28.11.2025","26,520","26,660","26,660","26,340","582,85K","-0,53%"
"27.11.2025","26,660","26,720","26,880","26,580","429,99K","-0,37%"
"26.11.2025","26,760","26,500","26,840","26,340","548,45K","1,29%"
"25.11.2025","26,420","26,440","26,480","26,220","572,63K","0,15%"
"24.11.2025","26,380","26,600","26,600","26,340","17,53M","-0,15%"
"21.11.2025","26,420","27,040","27,120","26,420","814,41K","-2,15%"
"20.11.2025","27,000","26,920","27,100","26,780","645,88K","0,45%"
"19.11.2025","26,880","27,300","27,340","26,880","489,17K","-1,18%"
"18.11.2025","27,200","27,440","27,480","27,160","484,48K","-1,23%"
"17.11.2025","27,540","27,580","27,740","27,440","587,82K","0,15%"
"14.11.2025","27,500","27,140","27,500","27,060","869,58K","1,40%"
"13.11.2025","27,120","26,980","27,360","26,800","858,42K","1,19%"
"12.11.2025","26,800","26,600","26,800","26,400","841,17K","1,28%"
"11.11.2025","26,460","26,980","27,000","26,460","896,03K","-1,27%"
"10.11.2025","26,800","27,320","27,540","26,800","1,50M","-1,62%"
"07.11.2025","27,240","27,140","27,400","27,120","869,29K","0,74%"
"06.11.2025","27,040","27,100","27,200","26,880","1,02M","0,75%"
"05.11.2025","26,840","26,800","27,020","26,620","768,37K","0,37%"
"04.11.2025","26,740","26,020","26,740","25,980","751,00K","2,30%"
"03.11.2025","26,140","25,820","26,260","25,700","795,97K","-0,53%"
"31.10.2025","26,280","26,440","26,440","26,080","684,17K","-0,53%"
"30.10.2025","26,420","26,500","26,620","26,340","689,35K","-0,60%"
