"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","14,87","14,79","14,92","14,79","345,64K","0,00%"
"30.12.2025","14,87","14,79","14,92","14,72","569,52K","0,34%"
"29.12.2025","14,82","14,80","14,92","14,79","442,30K","-0,20%"
"24.12.2025","14,85","14,79","14,86","14,78","82,37K","0,61%"
"23.12.2025","14,76","15,04","15,04","14,76","265,06K","-1,86%"
"22.12.2025","15,04","14,97","15,08","14,85","448,17K","0,40%"
"19.12.2025","14,98","14,97","15,00","14,79","960,44K","-0,33%"
"18.12.2025","15,03","15,05","15,06","14,78","738,31K","-0,07%"
"17.12.2025","15,04","15,05","15,24","14,87","457,27K","0,20%"
"16.12.2025","15,01","15,07","15,07","14,74","794,77K","-0,33%"
"15.12.2025","15,06","15,11","15,18","15,04","321,16K","0,27%"
"12.12.2025","15,02","15,14","15,25","15,02","573,87K","-0,20%"
"11.12.2025","15,05","14,89","15,15","14,83","566,95K","1,35%"
"10.12.2025","14,85","14,60","14,85","14,57","310,60K","1,09%"
"09.12.2025","14,69","14,80","14,82","14,67","360,10K","-0,54%"
"08.12.2025","14,77","15,10","15,11","14,77","374,95K","-2,44%"
"05.12.2025","15,14","15,00","15,16","15,00","585,06K","1,61%"
"04.12.2025","14,90","14,77","15,16","14,73","908,52K","1,09%"
"03.12.2025","14,74","14,56","14,77","14,51","638,57K","1,73%"
"02.12.2025","14,49","14,71","14,73","14,46","265,64K","-1,29%"
"01.12.2025","14,68","14,53","14,71","14,49","312,03K","0,48%"
"28.11.2025","14,61","14,60","14,61","14,47","406,86K","0,48%"
"27.11.2025","14,54","14,50","14,65","14,47","381,51K","0,28%"
"26.11.2025","14,50","14,39","14,52","14,19","385,31K","1,68%"
"25.11.2025","14,26","14,24","14,35","14,07","430,15K","0,00%"
"24.11.2025","14,26","14,29","14,45","14,18","323,49K","0,78%"
"21.11.2025","14,15","13,80","14,22","13,79","424,81K","2,31%"
"20.11.2025","13,83","14,10","14,15","13,83","583,67K","-1,57%"
"19.11.2025","14,05","14,26","14,27","13,91","687,14K","-1,47%"
"18.11.2025","14,26","14,25","14,34","14,16","487,28K","-1,18%"
"17.11.2025","14,43","14,68","14,76","14,39","422,11K","-2,24%"
"14.11.2025","14,76","14,82","14,88","14,62","426,83K","-1,01%"
"13.11.2025","14,91","15,19","15,24","14,85","592,79K","-1,52%"
"12.11.2025","15,14","14,90","15,20","14,89","899,09K","2,02%"
"11.11.2025","14,84","14,39","14,87","14,33","691,45K","4,07%"
"10.11.2025","14,26","14,34","14,44","14,18","620,66K","0,71%"
"07.11.2025","14,16","14,45","14,52","14,08","839,28K","-2,21%"
"06.11.2025","14,48","14,75","14,82","14,47","546,68K","-2,03%"
"05.11.2025","14,78","14,70","14,86","14,64","576,19K","0,20%"
"04.11.2025","14,75","14,70","14,85","14,51","822,51K","-0,54%"
"03.11.2025","14,83","14,94","15,14","14,78","1,09M","-0,40%"
"31.10.2025","14,89","14,43","14,96","14,43","3,52M","9,32%"
"30.10.2025","13,62","13,58","13,67","13,46","645,16K","0,29%"
"29.10.2025","13,58","13,80","13,82","13,57","633,50K","-1,45%"
"28.10.2025","13,78","13,98","14,04","13,78","520,38K","-1,43%"
"27.10.2025","13,98","14,00","14,14","13,91","517,62K","-0,21%"
"24.10.2025","14,01","14,19","14,19","13,92","537,01K","-0,71%"
"23.10.2025","14,11","14,18","14,31","14,04","484,50K","-0,63%"
"22.10.2025","14,20","14,11","14,22","13,94","1,01M","-0,56%"
"21.10.2025","14,28","14,15","14,29","14,11","615,90K","0,99%"
"20.10.2025","14,14","14,05","14,24","14,05","700,64K","1,43%"
"17.10.2025","13,94","13,66","13,99","13,55","861,58K","1,16%"
"16.10.2025","13,78","13,76","13,90","13,64","631,05K","0,58%"
"15.10.2025","13,70","13,41","13,78","13,38","1,14M","3,95%"
"14.10.2025","13,18","13,27","13,41","13,11","768,28K","-0,75%"
"13.10.2025","13,28","13,35","13,56","13,19","850,77K","-0,08%"
"10.10.2025","13,29","13,46","13,55","13,29","1,09M","-0,52%"
"09.10.2025","13,36","13,98","13,98","13,27","3,76M","-6,70%"
"08.10.2025","14,32","14,15","14,42","14,13","910,22K","1,27%"
"07.10.2025","14,14","13,99","14,21","13,93","927,52K","1,65%"
"06.10.2025","13,91","13,90","13,98","13,75","856,07K","0,07%"
"03.10.2025","13,90","13,79","13,90","13,70","831,38K","1,16%"
"02.10.2025","13,74","13,83","13,98","13,74","1,57M","0,07%"
"01.10.2025","13,73","13,74","13,92","13,68","1,36M","0,37%"
"30.09.2025","13,68","13,85","13,85","13,65","1,23M","-1,51%"
"29.09.2025","13,89","13,85","14,08","13,62","1,01M","-0,79%"
"26.09.2025","14,00","14,08","14,12","13,98","812,25K","-0,36%"
"25.09.2025","14,05","14,28","14,36","14,05","915,26K","-1,61%"
"24.09.2025","14,28","14,39","14,39","14,22","578,71K","-0,76%"
"23.09.2025","14,39","14,22","14,47","14,18","873,56K","1,41%"
"22.09.2025","14,19","14,30","14,38","14,12","760,13K","-0,77%"
"19.09.2025","14,30","14,41","14,44","14,22","1,52M","-0,76%"
"18.09.2025","14,41","14,37","14,46","14,27","810,36K","0,07%"
"17.09.2025","14,40","14,75","14,75","14,31","1,63M","-1,50%"
"16.09.2025","14,62","14,91","15,01","14,62","834,29K","-1,88%"
"15.09.2025","14,90","14,62","14,94","14,62","997,64K","1,92%"
"12.09.2025","14,62","14,59","14,79","14,50","1,15M","0,83%"
"11.09.2025","14,50","14,85","15,05","14,50","2,14M","-1,96%"
"10.09.2025","14,79","15,11","15,11","14,37","5,96M","-6,98%"
"09.09.2025","15,90","16,09","16,17","15,82","708,38K","-1,00%"
"08.09.2025","16,06","16,10","16,18","15,98","478,28K","0,00%"
"05.09.2025","16,06","16,34","16,34","15,96","466,20K","-0,99%"
"04.09.2025","16,22","16,10","16,39","16,06","509,23K","0,68%"
"03.09.2025","16,11","15,65","16,15","15,62","737,97K","3,20%"
"02.09.2025","15,61","16,00","16,11","15,61","629,93K","-2,68%"
"01.09.2025","16,04","16,14","16,26","16,02","306,16K","-0,37%"
"29.08.2025","16,10","16,35","16,44","16,10","220,62K","-1,77%"
"28.08.2025","16,39","16,18","16,57","16,18","675,79K","1,42%"
"27.08.2025","16,16","15,90","16,18","15,89","370,37K","1,70%"
"26.08.2025","15,89","16,03","16,12","15,89","399,86K","-1,55%"
"25.08.2025","16,14","16,20","16,22","16,07","306,04K","-0,12%"
"22.08.2025","16,16","15,87","16,16","15,87","423,62K","1,44%"
"21.08.2025","15,93","16,24","16,24","15,75","736,19K","-1,79%"
"20.08.2025","16,22","16,20","16,28","16,10","671,34K","0,06%"
"19.08.2025","16,21","16,02","16,31","16,00","1,28M","1,31%"
"18.08.2025","16,00","16,04","16,07","15,86","273,72K","0,00%"
"15.08.2025","16,00","16,15","16,22","15,99","340,50K","-0,25%"
"14.08.2025","16,04","16,16","16,23","15,91","451,82K","-0,37%"
"13.08.2025","16,10","15,85","16,26","15,83","1,28M","1,83%"
"12.08.2025","15,81","16,00","16,03","15,73","508,75K","-0,69%"
"11.08.2025","15,92","16,32","16,32","15,92","352,20K","-1,67%"
"08.08.2025","16,19","16,07","16,31","16,07","457,23K","0,94%"
"07.08.2025","16,04","15,82","16,17","15,77","631,55K","1,39%"
"06.08.2025","15,82","15,90","15,90","15,67","543,99K","-0,32%"
"05.08.2025","15,87","16,00","16,04","15,81","328,22K","-0,50%"
"04.08.2025","15,95","16,15","16,15","15,88","414,20K","-0,25%"
"01.08.2025","15,99","16,26","16,35","15,98","469,47K","-2,20%"
"31.07.2025","16,35","16,72","16,85","16,35","535,65K","-1,86%"
"30.07.2025","16,66","16,94","17,05","16,66","552,89K","-1,13%"
"29.07.2025","16,85","16,28","16,93","16,28","837,75K","2,87%"
"28.07.2025","16,38","16,50","16,64","16,22","457,78K","0,49%"
"25.07.2025","16,30","16,16","16,34","16,08","375,87K","-0,24%"
"24.07.2025","16,34","16,36","16,54","16,08","717,10K","0,74%"
"23.07.2025","16,22","16,12","16,32","16,09","659,36K","1,76%"
"22.07.2025","15,94","16,32","16,37","15,85","1,02M","-2,27%"
"21.07.2025","16,31","16,26","16,39","16,03","490,69K","1,49%"
"18.07.2025","16,07","16,21","16,41","16,07","558,51K","-0,31%"
"17.07.2025","16,12","16,38","16,62","16,01","977,97K","0,50%"
"16.07.2025","16,04","16,09","16,32","15,99","406,69K","-0,19%"
"15.07.2025","16,07","16,23","16,35","15,92","747,03K","-1,11%"
"14.07.2025","16,25","16,50","16,58","16,23","465,00K","-1,93%"
"11.07.2025","16,57","16,90","16,90","16,57","294,66K","-1,95%"
"10.07.2025","16,90","16,59","17,02","16,59","560,95K","2,49%"
"09.07.2025","16,49","16,51","16,62","16,23","761,83K","-0,78%"
"08.07.2025","16,62","16,71","16,72","16,47","432,92K","-0,54%"
"07.07.2025","16,71","17,20","17,21","16,68","386,58K","-2,79%"
"04.07.2025","17,19","17,10","17,33","16,96","294,02K","0,47%"
"03.07.2025","17,11","17,25","17,26","17,09","291,84K","0,18%"
"02.07.2025","17,08","17,20","17,26","16,99","671,99K","-0,29%"
"01.07.2025","17,13","16,75","17,19","16,66","962,68K","2,21%"
"30.06.2025","16,76","16,84","16,94","16,68","419,33K","0,48%"
"27.06.2025","16,68","16,20","16,68","16,19","475,34K","3,15%"
"26.06.2025","16,17","16,22","16,25","15,97","412,01K","-0,12%"
"25.06.2025","16,19","16,83","16,83","16,19","452,45K","-3,34%"
"24.06.2025","16,75","16,90","16,92","16,70","541,26K","1,70%"
"23.06.2025","16,47","16,40","16,56","16,27","344,25K","-0,84%"
"20.06.2025","16,61","16,54","16,86","16,49","2,59M","1,22%"
"19.06.2025","16,41","16,58","16,61","16,39","279,64K","-1,97%"
"18.06.2025","16,74","16,83","17,20","16,64","449,26K","-0,53%"
"17.06.2025","16,83","16,67","16,92","16,54","427,09K","0,48%"
"16.06.2025","16,75","16,61","16,91","16,55","342,94K","0,78%"
"13.06.2025","16,62","16,59","16,95","16,50","301,91K","-1,83%"
"12.06.2025","16,93","17,15","17,25","16,93","233,12K","-1,57%"
"11.06.2025","17,20","17,34","17,45","17,17","302,38K","-0,58%"
"10.06.2025","17,30","17,02","17,33","16,86","380,39K","0,46%"
"09.06.2025","17,22","17,20","17,45","17,16","485,30K","0,58%"
"06.06.2025","17,12","17,18","17,22","16,95","307,82K","-0,17%"
"05.06.2025","17,15","17,31","17,48","17,13","312,75K","-0,35%"
"04.06.2025","17,21","17,00","17,41","16,80","701,08K","1,18%"
"03.06.2025","17,01","16,68","17,01","16,51","427,94K","2,22%"
"02.06.2025","16,64","16,60","16,82","16,46","318,21K","0,18%"
"30.05.2025","16,61","16,71","17,06","16,24","1,15M","-0,18%"
"29.05.2025","16,64","16,90","17,00","16,57","351,51K","-0,06%"
"28.05.2025","16,65","16,78","16,83","16,62","246,97K","-1,07%"
"27.05.2025","16,83","16,69","16,84","16,47","277,32K","0,90%"
"26.05.2025","16,68","16,58","16,83","16,56","237,94K","2,39%"
"23.05.2025","16,29","16,68","16,84","16,03","520,36K","-2,46%"
"22.05.2025","16,70","16,86","16,93","16,57","265,40K","-1,53%"
"21.05.2025","16,96","16,82","17,02","16,71","587,60K","0,47%"
"20.05.2025","16,88","17,00","17,04","16,69","586,63K","-0,82%"
"19.05.2025","17,02","16,66","17,02","16,66","452,89K","1,79%"
"16.05.2025","16,72","16,79","16,85","16,58","321,80K","0,06%"
"15.05.2025","16,71","16,76","16,96","16,62","263,87K","-0,30%"
"14.05.2025","16,76","17,08","17,08","16,70","379,77K","-1,87%"
"13.05.2025","17,08","17,11","17,21","16,97","335,41K","0,29%"
"12.05.2025","17,03","17,12","17,41","16,97","563,64K","0,41%"
"09.05.2025","16,96","16,72","17,01","16,58","342,84K","1,68%"
"08.05.2025","16,68","16,49","16,93","16,43","1,25K","1,58%"
"07.05.2025","16,42","16,59","16,65","16,28","357,87K","-1,68%"
"06.05.2025","16,70","16,87","17,06","16,62","349,66K","-1,30%"
"05.05.2025","16,92","17,07","17,07","16,82","218,08K","-0,41%"
"02.05.2025","16,99","16,69","17,10","16,55","419,04K","3,41%"
"30.04.2025","16,43","16,79","16,83","16,30","404,28K","-1,56%"
"29.04.2025","16,69","16,89","17,17","16,60","796,29K","0,79%"
"28.04.2025","16,56","16,37","16,63","16,25","3,19K","1,72%"
"25.04.2025","16,28","16,16","16,46","16,13","3,31K","1,06%"
"24.04.2025","16,11","16,04","16,16","15,84","238,85K","0,69%"
"23.04.2025","16,00","15,61","16,24","15,57","628,49K","3,83%"
"22.04.2025","15,41","15,00","15,41","14,77","332,34K","3,63%"
"17.04.2025","14,87","14,87","14,88","14,70","223,89K","0,27%"
"16.04.2025","14,83","14,89","15,03","14,78","349,95K","-0,87%"
"15.04.2025","14,96","15,56","15,60","14,87","0,52K","-4,41%"
"14.04.2025","15,65","15,54","15,74","15,42","202,95K","2,62%"
"11.04.2025","15,25","15,32","15,38","14,94","372,89K","0,33%"
"10.04.2025","15,20","15,99","15,99","15,01","479,14K","5,56%"
"09.04.2025","14,40","14,45","14,64","14,10","580,31K","-1,91%"
"08.04.2025","14,68","14,95","15,00","14,44","559,38K","0,55%"
"07.04.2025","14,60","14,65","15,60","14,11","1,24K","-3,09%"
"04.04.2025","15,06","15,20","15,57","14,71","4,65K","-0,92%"
"03.04.2025","15,20","15,72","15,84","15,20","3,10K","-4,85%"
"02.04.2025","15,98","15,90","16,22","15,90","326,91K","0,19%"
"01.04.2025","15,95","15,90","16,18","15,72","1,70K","1,33%"
"31.03.2025","15,74","16,32","16,32","15,74","615,38K","-4,72%"
"28.03.2025","16,52","16,17","16,80","16,17","457,54K","1,51%"
"27.03.2025","16,27","16,06","16,27","15,98","387,54K","1,02%"
"26.03.2025","16,11","16,19","16,51","16,06","503,71K","-0,62%"
"25.03.2025","16,21","16,25","16,57","16,06","728,24K","0,68%"
"24.03.2025","16,10","16,42","16,59","16,10","1,42K","-1,11%"
"21.03.2025","16,28","17,24","17,24","16,25","6,90K","-7,00%"
"20.03.2025","17,50","17,68","17,78","17,46","272,28K","-0,54%"
"19.03.2025","17,60","17,45","17,74","17,42","5,07K","0,34%"
"18.03.2025","17,54","17,69","17,96","17,49","336,17K","-0,28%"
"17.03.2025","17,59","17,45","17,70","17,19","0,39K","0,98%"
"14.03.2025","17,42","17,45","17,75","17,42","288,47K","-0,26%"
"13.03.2025","17,47","17,67","17,95","17,45","345,62K","-1,24%"
"12.03.2025","17,68","17,97","18,04","17,52","418,79K","-1,48%"
"11.03.2025","17,95","18,25","18,30","17,72","618,90K","-1,64%"
"10.03.2025","18,25","18,30","18,70","18,17","472,66K","-0,08%"
"07.03.2025","18,26","17,86","18,35","17,53","754,50K","1,30%"
"06.03.2025","18,03","18,33","18,41","17,75","407,83K","-1,10%"
"05.03.2025","18,23","17,99","18,32","17,95","375,35K","2,33%"
"04.03.2025","17,82","18,42","18,42","17,77","645,06K","-3,39%"
"03.03.2025","18,44","18,00","18,52","17,88","1,84K","3,57%"
"28.02.2025","17,81","18,72","18,72","17,81","1,82M","-6,78%"
"27.02.2025","19,10","19,03","19,17","18,75","405,90K","0,03%"
"26.02.2025","19,09","18,80","19,27","18,80","622,76K","1,76%"
"25.02.2025","18,76","18,68","18,81","18,42","0,26K","1,41%"
"24.02.2025","18,50","18,40","18,82","18,40","504,00K","1,51%"
"21.02.2025","18,23","18,00","18,23","18,00","347,07K","1,50%"
"20.02.2025","17,96","18,00","18,03","17,83","0,34K","0,06%"
"19.02.2025","17,95","18,37","18,58","17,95","370,87K","-2,02%"
"18.02.2025","18,32","18,55","18,56","18,32","316,68K","-0,97%"
"17.02.2025","18,50","18,30","18,51","18,08","325,57K","1,65%"
"14.02.2025","18,20","18,18","18,27","18,08","273,03K","0,75%"
"13.02.2025","18,07","18,03","18,20","17,87","326,92K","0,89%"
"12.02.2025","17,91","18,02","18,25","17,80","405,04K","-0,50%"
"11.02.2025","18,00","18,10","18,21","17,88","297,52K","-0,74%"
"10.02.2025","18,13","18,08","18,26","18,00","337,28K","1,57%"
"07.02.2025","17,85","18,47","18,47","17,81","685,68K","-3,38%"
"06.02.2025","18,48","18,40","18,57","18,24","238,97K","0,90%"
"05.02.2025","18,31","18,22","18,50","18,22","252,15K","0,05%"
"04.02.2025","18,30","18,60","18,65","18,25","528,77K","-1,61%"
"03.02.2025","18,60","19,10","19,18","18,60","510,60K","-4,22%"
"31.01.2025","19,42","19,80","20,16","19,30","1,03M","1,65%"
"30.01.2025","19,10","18,66","19,12","18,60","319,45K","2,52%"
"29.01.2025","18,64","18,76","18,95","18,50","396,18K","-0,61%"
"28.01.2025","18,75","18,50","19,25","18,49","430,18K","0,08%"
"27.01.2025","18,74","18,42","18,79","18,36","163,97K","0,59%"
"24.01.2025","18,63","18,75","19,08","18,58","0,05K","0,19%"
"23.01.2025","18,59","18,51","18,67","18,32","419,49K","0,87%"
"22.01.2025","18,43","18,21","18,55","18,17","355,28K","1,07%"
"21.01.2025","18,24","18,20","18,39","17,91","311,91K","0,27%"
"20.01.2025","18,18","18,46","18,52","18,18","308,66K","-0,95%"
"17.01.2025","18,36","18,14","18,40","17,93","432,94K","1,97%"
"16.01.2025","18,00","17,61","18,04","17,54","468,33K","3,75%"
"15.01.2025","17,35","17,15","17,49","17,05","357,84K","1,25%"
"14.01.2025","17,14","17,60","17,62","17,04","451,18K","-1,95%"
"13.01.2025","17,48","17,70","17,89","17,41","410,55K","-1,52%"
"10.01.2025","17,75","18,09","18,09","17,66","318,91K","-2,15%"
"09.01.2025","18,14","18,10","18,28","17,97","147,30K","0,64%"
"08.01.2025","18,02","18,00","18,05","17,73","486,42K","-0,14%"
"07.01.2025","18,05","18,22","18,31","18,00","301,28K","-0,06%"
"06.01.2025","18,06","18,15","18,27","17,83","3,00K","0,00%"
"03.01.2025","18,06","18,40","18,41","17,97","250,30K","-1,28%"
"02.01.2025","18,29","17,94","18,40","17,87","189,65K","2,55%"
"31.12.2024","17,83","17,77","17,93","17,75","161,20K","-0,31%"
"30.12.2024","17,89","17,63","18,03","17,61","238,46K","0,90%"
"27.12.2024","17,73","17,68","17,81","17,60","284,08K","0,08%"
"24.12.2024","17,72","17,58","17,72","17,53","90,37K","0,80%"
"23.12.2024","17,58","17,45","17,62","17,21","252,58K","0,69%"
"20.12.2024","17,45","17,52","17,60","17,29","1,17K","-0,51%"
"19.12.2024","17,55","17,90","17,94","17,41","458,29K","-2,34%"
"18.12.2024","17,97","18,21","18,30","17,91","444,96K","-0,94%"
"17.12.2024","18,14","18,51","18,64","18,14","526,80K","-2,03%"
"16.12.2024","18,51","19,00","19,02","18,51","330,35K","-2,12%"
"13.12.2024","18,91","19,25","19,42","18,85","162,47K","-1,79%"
"12.12.2024","19,25","18,97","19,31","18,95","303,38K","1,53%"
"11.12.2024","18,97","19,02","19,14","18,75","215,33K","-0,34%"
"10.12.2024","19,03","19,29","19,31","18,96","260,84K","-2,16%"
"09.12.2024","19,45","19,28","19,56","19,12","574,86K","2,42%"
"06.12.2024","18,99","19,40","19,40","17,90","952,01K","-3,51%"
"05.12.2024","19,68","20,18","20,18","19,64","243,11K","-1,80%"
"04.12.2024","20,04","20,23","20,23","19,95","183,99K","-0,20%"
"03.12.2024","20,08","20,18","20,35","19,97","146,51K","-0,20%"
"02.12.2024","20,12","19,94","20,28","19,92","183,92K","1,00%"
"29.11.2024","19,92","19,59","20,01","19,58","119,46K","1,27%"
"28.11.2024","19,67","19,88","20,04","19,67","188,70K","-0,48%"
"27.11.2024","19,76","20,00","20,08","19,52","174,81K","-0,33%"
"26.11.2024","19,83","19,83","20,00","19,64","236,12K","-0,50%"
"25.11.2024","19,93","19,60","19,93","19,60","330,87K","2,78%"
"22.11.2024","19,39","19,10","19,43","19,00","169,69K","2,70%"
"21.11.2024","18,88","18,60","18,98","18,38","207,43K","1,48%"
"20.11.2024","18,60","18,73","18,86","18,57","240,75K","-0,21%"
"19.11.2024","18,65","19,24","19,36","18,65","304,87K","-1,11%"
"18.11.2024","18,85","19,24","19,26","18,73","223,45K","-1,31%"
"15.11.2024","19,10","19,21","19,26","19,05","131,15K","-0,37%"
"14.11.2024","19,17","19,01","19,33","18,96","178,05K","0,45%"
"13.11.2024","19,09","19,40","19,40","19,04","194,86K","-1,88%"
"12.11.2024","19,45","19,60","19,67","19,35","199,93K","-2,14%"
"11.11.2024","19,88","19,90","19,94","19,67","176,39K","1,02%"
"08.11.2024","19,68","20,00","20,06","19,54","185,96K","-1,70%"
"07.11.2024","20,02","19,76","20,20","19,66","300,39K","2,67%"
"06.11.2024","19,50","20,10","20,38","19,50","328,87K","-2,50%"
"05.11.2024","20,00","20,40","20,47","19,95","297,54K","-1,86%"
"04.11.2024","20,38","20,81","20,89","20,37","307,35K","-2,49%"
"01.11.2024","20,90","21,17","21,17","20,57","313,32K","-1,42%"
"31.10.2024","21,20","21,10","21,34","20,90","488,41K","-0,61%"
"30.10.2024","21,33","20,63","22,37","20,63","1,47M","9,58%"
"29.10.2024","19,47","19,80","19,83","19,47","235,51K","-0,87%"
"28.10.2024","19,64","19,55","19,70","19,43","137,54K","1,21%"
"25.10.2024","19,40","19,40","19,48","19,32","192,70K","-0,08%"
"24.10.2024","19,42","19,92","19,95","19,42","372,94K","-2,02%"
"23.10.2024","19,82","19,12","19,90","18,97","540,35K","3,63%"
"22.10.2024","19,12","18,73","19,24","18,73","405,06K","2,38%"
"21.10.2024","18,67","19,15","19,25","18,61","267,45K","-2,17%"
"18.10.2024","19,09","18,98","19,42","18,91","448,23K","0,47%"
"17.10.2024","19,00","18,81","19,14","18,75","245,32K","0,56%"
"16.10.2024","18,90","18,72","18,92","18,52","663,80K","-0,26%"
"15.10.2024","18,94","19,33","19,39","18,85","548,39K","-2,02%"
"14.10.2024","19,33","19,60","19,68","19,24","277,45K","-1,73%"
"11.10.2024","19,67","19,69","19,96","19,58","232,98K","-0,20%"
"10.10.2024","19,72","19,83","19,84","19,56","232,27K","0,00%"
"09.10.2024","19,72","19,95","20,02","19,67","290,93K","-1,65%"
"08.10.2024","20,05","20,17","20,34","19,64","554,80K","-0,59%"
"07.10.2024","20,17","20,13","20,19","19,81","232,10K","0,35%"
