"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","15,170","15,190","15,260","15,160","676,64K","-0,13%"
"30.12.2025","15,190","15,120","15,250","15,080","1,24M","0,40%"
"29.12.2025","15,130","15,170","15,290","15,110","760,63K","-0,26%"
"24.12.2025","15,170","15,200","15,240","15,170","183,74K","-0,07%"
"23.12.2025","15,180","15,150","15,210","15,110","686,84K","0,46%"
"22.12.2025","15,110","14,920","15,140","14,920","832,78K","0,40%"
"19.12.2025","15,050","15,000","15,080","14,890","2,19M","0,33%"
"18.12.2025","15,000","15,150","15,160","14,990","929,47K","-0,79%"
"17.12.2025","15,120","15,000","15,120","14,920","1,11M","0,87%"
"16.12.2025","14,990","15,130","15,140","14,960","1,05M","-0,33%"
"15.12.2025","15,040","14,980","15,090","14,940","827,92K","0,80%"
"12.12.2025","14,920","14,700","14,950","14,680","1,06M","1,43%"
"11.12.2025","14,710","14,860","14,870","14,710","1,72M","-1,34%"
"10.12.2025","14,910","15,050","15,120","14,890","1,21M","-0,93%"
"09.12.2025","15,050","15,240","15,240","15,050","691,38K","-0,53%"
"08.12.2025","15,130","15,150","15,240","15,110","661,55K","-0,46%"
"05.12.2025","15,200","15,010","15,230","14,990","1,10M","1,20%"
"04.12.2025","15,020","15,210","15,330","15,020","1,40M","-1,44%"
"03.12.2025","15,240","15,260","15,370","15,200","1,11M","-0,33%"
"02.12.2025","15,290","15,300","15,400","15,290","693,26K","0,07%"
"01.12.2025","15,280","15,320","15,350","15,210","972,35K","-0,65%"
"28.11.2025","15,380","15,440","15,440","15,240","986,81K","-0,13%"
"27.11.2025","15,400","15,310","15,410","15,280","1,03M","0,92%"
"26.11.2025","15,260","15,180","15,300","15,120","676,77K","0,26%"
"25.11.2025","15,220","15,230","15,270","15,100","797,13K","0,00%"
"24.11.2025","15,220","15,190","15,250","15,030","4,60M","1,20%"
"21.11.2025","15,040","15,080","15,150","14,930","1,35M","0,20%"
"20.11.2025","15,010","15,120","15,180","15,010","1,40M","-0,86%"
"19.11.2025","15,140","15,070","15,340","14,990","1,37M","0,46%"
"18.11.2025","15,070","15,080","15,200","15,020","1,47M","-0,07%"
"17.11.2025","15,080","15,120","15,190","15,010","814,96K","0,00%"
"14.11.2025","15,080","15,050","15,150","14,970","983,50K","-0,07%"
"13.11.2025","15,090","15,240","15,310","15,090","1,46M","-1,05%"
"12.11.2025","15,250","15,260","15,320","15,180","943,01K","0,26%"
"11.11.2025","15,210","15,350","15,350","15,190","1,14M","-0,46%"
"10.11.2025","15,280","15,270","15,370","15,230","1,01M","-0,07%"
"07.11.2025","15,290","15,410","15,520","15,270","1,45M","-0,33%"
"06.11.2025","15,340","15,470","15,550","15,330","1,68M","0,07%"
"05.11.2025","15,330","15,300","15,490","15,250","2,65M","-1,67%"
"04.11.2025","15,590","15,460","15,640","15,410","927,34K","0,71%"
"03.11.2025","15,480","15,500","15,590","15,410","2,24M","-0,83%"
"31.10.2025","15,610","16,150","16,220","15,590","2,97M","-4,00%"
"30.10.2025","16,260","16,290","16,380","16,160","1,38M","-0,18%"
"29.10.2025","16,290","16,500","16,690","16,200","1,34M","-2,40%"
"28.10.2025","16,690","16,720","16,800","16,640","1,19M","-0,12%"
"27.10.2025","16,710","16,730","16,760","16,600","854,28K","0,00%"
"24.10.2025","16,710","16,680","16,730","16,580","623,97K","0,06%"
"23.10.2025","16,700","16,650","16,710","16,360","1,47M","-0,77%"
"22.10.2025","16,830","17,240","17,680","16,610","3,45M","-1,17%"
"21.10.2025","17,030","16,860","17,040","16,860","1,13M","1,07%"
"20.10.2025","16,850","16,830","16,960","16,750","995,62K","0,06%"
"17.10.2025","16,840","16,840","16,930","16,690","991,94K","0,30%"
"16.10.2025","16,790","16,610","16,790","16,540","1,16M","-0,30%"
"15.10.2025","16,840","16,750","16,870","16,600","1,35M","1,20%"
"14.10.2025","16,640","16,720","16,840","16,620","1,55M","1,46%"
"13.10.2025","16,400","16,570","16,570","16,400","1,02M","-0,67%"
"10.10.2025","16,510","16,340","16,540","16,340","1,68M","0,98%"
"09.10.2025","16,350","16,210","16,380","16,130","1,48M","0,80%"
"08.10.2025","16,220","16,250","16,290","16,170","828,92K","0,06%"
"07.10.2025","16,210","16,280","16,280","16,130","848,18K","-0,25%"
"06.10.2025","16,250","16,140","16,250","16,090","982,88K","0,74%"
"03.10.2025","16,130","16,280","16,330","16,080","1,37M","-0,74%"
"02.10.2025","16,250","16,260","16,290","16,110","1,46M","-0,67%"
"01.10.2025","16,360","16,530","16,570","16,310","955,73K","-0,49%"
"30.09.2025","16,440","16,300","16,440","16,190","1,31M","0,67%"
"29.09.2025","16,330","16,400","16,410","16,280","1,03M","-0,18%"
"26.09.2025","16,360","16,460","16,480","16,330","731,28K","-0,37%"
"25.09.2025","16,420","16,300","16,540","16,250","1,07M","0,61%"
"24.09.2025","16,320","16,430","16,500","16,290","818,99K","-0,06%"
"23.09.2025","16,330","16,360","16,550","16,260","808,28K","0,31%"
"22.09.2025","16,280","16,080","16,420","16,050","1,10M","0,49%"
"19.09.2025","16,200","16,150","16,320","16,090","1,93M","-1,34%"
"18.09.2025","16,420","16,350","16,570","16,340","821,15K","0,37%"
"17.09.2025","16,360","16,470","16,530","16,360","565,91K","-1,09%"
"16.09.2025","16,540","16,690","16,780","16,540","851,09K","-0,90%"
"15.09.2025","16,690","16,690","16,710","16,600","712,05K","0,48%"
"12.09.2025","16,610","16,470","16,660","16,450","1,15M","1,10%"
"11.09.2025","16,430","16,380","16,450","16,330","2,39M","0,55%"
"10.09.2025","16,340","16,450","16,500","16,340","1,63M","-0,97%"
"09.09.2025","16,500","16,600","16,630","16,480","878,10K","-0,72%"
"08.09.2025","16,620","16,660","16,680","16,590","818,80K","-0,36%"
"05.09.2025","16,680","16,660","16,680","16,590","849,16K","0,12%"
"04.09.2025","16,660","16,650","16,840","16,580","740,03K","-0,24%"
"03.09.2025","16,700","16,570","16,720","16,480","1,11M","2,90%"
"02.09.2025","16,230","16,500","16,540","16,210","992,48K","-2,17%"
"01.09.2025","16,590","16,610","16,680","16,520","670,11K","-0,12%"
"29.08.2025","16,610","16,620","16,670","16,580","1,03M","-0,24%"
"28.08.2025","16,650","16,740","16,740","16,580","497,51K","-0,60%"
"27.08.2025","16,750","16,630","16,850","16,630","673,91K","0,84%"
"26.08.2025","16,610","16,610","16,650","16,500","2,85M","-0,18%"
"25.08.2025","16,640","16,630","16,670","16,520","504,70K","-0,42%"
"22.08.2025","16,710","16,640","16,810","16,630","515,40K","0,24%"
"21.08.2025","16,670","16,650","16,670","16,510","687,34K","0,18%"
"20.08.2025","16,640","16,490","16,690","16,440","655,21K","1,46%"
"19.08.2025","16,400","16,480","16,480","16,380","1,59M","-0,49%"
"18.08.2025","16,480","16,530","16,600","16,420","615,71K","0,18%"
"15.08.2025","16,450","16,450","16,490","16,350","659,20K","0,00%"
"14.08.2025","16,450","16,300","16,470","16,250","801,40K","1,23%"
"13.08.2025","16,250","16,220","16,370","16,220","642,71K","0,43%"
"12.08.2025","16,180","16,380","16,390","16,180","563,58K","-0,92%"
"11.08.2025","16,330","16,360","16,360","16,240","539,72K","0,18%"
"08.08.2025","16,300","16,480","16,580","16,300","534,44K","-1,03%"
"07.08.2025","16,470","16,560","16,610","16,420","1,20M","-0,96%"
"06.08.2025","16,630","16,570","16,630","16,490","807,29K","0,12%"
"05.08.2025","16,610","16,610","16,650","16,510","629,59K","0,18%"
"04.08.2025","16,580","16,490","16,620","16,490","1,08M","0,06%"
"01.08.2025","16,570","16,680","16,890","16,540","1,27M","-2,24%"
"31.07.2025","16,950","17,050","17,190","16,870","1,39M","-1,68%"
"30.07.2025","17,240","16,950","17,290","16,830","915,02K","1,06%"
"29.07.2025","17,060","17,120","17,170","16,970","1,07M","-0,81%"
"28.07.2025","17,200","17,360","17,370","17,150","710,32K","-0,52%"
"25.07.2025","17,290","17,440","17,450","17,190","707,82K","-0,52%"
"24.07.2025","17,380","17,450","17,560","17,380","871,25K","-0,34%"
"23.07.2025","17,440","18,030","18,030","17,440","1,27M","-3,16%"
"22.07.2025","18,010","17,820","18,010","17,670","505,89K","1,12%"
"21.07.2025","17,810","17,900","17,930","17,730","1,04M","-0,22%"
"18.07.2025","17,850","17,780","17,930","17,780","796,96K","0,73%"
"17.07.2025","17,720","17,730","17,800","17,640","671,98K","-0,34%"
"16.07.2025","17,780","17,700","17,820","17,610","952,45K","0,28%"
"15.07.2025","17,730","17,500","17,730","17,450","1,83M","1,55%"
"14.07.2025","17,460","17,440","17,490","17,380","476,22K","0,17%"
"11.07.2025","17,430","17,450","17,530","17,420","466,01K","-0,06%"
"10.07.2025","17,440","17,710","17,750","17,370","679,04K","-1,30%"
"09.07.2025","17,670","17,650","17,760","17,640","569,98K","0,11%"
"08.07.2025","17,650","17,630","17,670","17,500","729,69K","-0,51%"
"07.07.2025","17,740","17,760","17,760","17,490","1,44M","-0,17%"
"04.07.2025","17,770","17,750","17,820","17,650","863,59K","-2,52%"
"03.07.2025","18,230","18,210","18,340","18,170","754,98K","0,11%"
"02.07.2025","18,210","18,290","18,380","18,150","858,45K","-0,38%"
"01.07.2025","18,280","18,260","18,420","18,200","828,04K","0,72%"
"30.06.2025","18,150","18,280","18,400","18,110","856,88K","-0,22%"
"27.06.2025","18,190","18,500","18,510","18,190","1,58M","-1,68%"
"26.06.2025","18,500","18,390","18,590","18,370","962,50K","0,98%"
"25.06.2025","18,320","18,430","18,550","18,320","1,12M","-0,92%"
"24.06.2025","18,490","18,530","18,680","18,400","1,68M","-0,27%"
"23.06.2025","18,540","18,250","18,570","18,220","529,94K","1,15%"
"20.06.2025","18,330","18,280","18,330","18,130","3,04M","0,27%"
"19.06.2025","18,280","18,240","18,300","18,120","595,51K","0,22%"
"18.06.2025","18,240","18,130","18,420","18,110","1,22M","0,77%"
"17.06.2025","18,100","17,600","18,160","17,550","1,91M","2,20%"
"16.06.2025","17,710","17,720","17,760","17,600","807,99K","-0,11%"
"13.06.2025","17,730","17,890","17,930","17,720","608,40K","-0,84%"
"12.06.2025","17,880","17,880","18,000","17,810","625,54K","0,22%"
"11.06.2025","17,840","17,770","17,880","17,690","801,04K","0,17%"
"10.06.2025","17,810","17,900","17,970","17,800","800,38K","0,06%"
"09.06.2025","17,800","17,900","17,910","17,720","534,04K","-0,39%"
"06.06.2025","17,870","18,040","18,090","17,850","1,13M","-0,61%"
"05.06.2025","17,980","18,080","18,140","17,950","680,30K","-0,88%"
"04.06.2025","18,140","18,050","18,140","17,910","947,72K","0,78%"
"03.06.2025","18,000","18,320","18,320","17,950","1,08M","-1,26%"
"02.06.2025","18,230","18,230","18,560","18,090","911,71K","0,16%"
"30.05.2025","18,200","18,280","18,410","18,200","3,93M","0,44%"
"29.05.2025","18,120","17,980","18,200","17,920","1,02M","0,00%"
"28.05.2025","18,120","18,360","18,390","18,060","987,94K","-1,09%"
"27.05.2025","18,320","18,530","18,560","18,230","1,06M","-0,87%"
"26.05.2025","18,480","18,470","18,530","18,310","435,21K","-0,48%"
"23.05.2025","18,570","18,550","18,580","18,360","1,48M","0,27%"
"22.05.2025","18,520","18,590","18,750","18,400","902,61K","-0,75%"
"21.05.2025","18,660","18,610","18,720","18,590","827,50K","0,05%"
"20.05.2025","18,650","18,460","18,690","18,450","873,28K","1,36%"
"19.05.2025","18,400","18,500","18,500","18,190","599,67K","-0,05%"
"16.05.2025","18,410","18,300","18,410","18,190","871,26K","1,27%"
"15.05.2025","18,180","18,000","18,180","17,820","902,09K","1,45%"
"14.05.2025","17,920","17,660","18,030","17,550","1,25M","1,19%"
"13.05.2025","17,710","17,610","18,020","17,590","1,52M","0,80%"
"12.05.2025","17,570","17,730","17,820","17,260","969,56K","-0,45%"
"09.05.2025","17,650","17,460","17,710","17,440","1,04K","0,86%"
"08.05.2025","17,500","17,650","17,660","17,260","1,20K","-1,19%"
"07.05.2025","17,710","17,940","17,980","17,710","1,19K","-0,90%"
"06.05.2025","17,870","17,850","18,100","17,830","1,47M","0,22%"
"05.05.2025","17,830","17,840","17,930","17,790","1,29M","0,17%"
"02.05.2025","17,800","17,930","18,040","17,600","3,04M","-3,78%"
"30.04.2025","18,500","18,670","18,960","18,100","27,09K","-3,65%"
"29.04.2025","19,200","19,180","19,380","18,860","4,05K","-0,41%"
"28.04.2025","19,280","19,200","19,280","18,920","1,11K","0,73%"
"25.04.2025","19,140","19,060","19,170","18,950","747,42K","0,53%"
"24.04.2025","19,040","19,140","19,260","18,910","1,08M","-0,21%"
"23.04.2025","19,080","19,300","19,300","18,750","1,56M","-1,19%"
"22.04.2025","19,310","19,200","19,370","18,990","863,63K","0,57%"
"17.04.2025","19,200","19,060","19,290","18,910","605,12K","0,58%"
"16.04.2025","19,090","19,230","19,250","19,000","876,08K","0,05%"
"15.04.2025","19,080","18,790","19,090","18,700","885,11K","2,20%"
"14.04.2025","18,670","18,710","18,720","18,460","685,58K","0,76%"
"11.04.2025","18,530","18,340","18,720","18,250","1,13M","1,76%"
"10.04.2025","18,210","18,100","18,330","17,700","1,43M","2,13%"
"09.04.2025","17,830","18,040","18,160","17,760","1,46M","-2,30%"
"08.04.2025","18,250","17,890","18,310","17,580","1,13M","1,96%"
"07.04.2025","17,900","18,380","18,580","17,820","2,58M","-4,79%"
"04.04.2025","18,800","19,360","19,510","18,800","1,10K","-2,39%"
"03.04.2025","19,260","18,650","19,370","18,650","1,92M","3,66%"
"02.04.2025","18,580","18,450","18,640","18,440","851,11K","-0,11%"
"01.04.2025","18,600","18,540","18,620","18,440","820,47K","0,22%"
"31.03.2025","18,560","18,590","18,750","18,500","862,65K","0,05%"
"28.03.2025","18,550","18,310","18,550","18,290","916,58K","1,64%"
"27.03.2025","18,250","18,080","18,310","18,080","1,16M","1,22%"
"26.03.2025","18,030","17,910","18,130","17,860","0,73K","0,84%"
"25.03.2025","17,880","17,960","18,080","17,830","811,26K","0,34%"
"24.03.2025","17,820","17,860","18,040","17,750","790,45K","-0,56%"
"21.03.2025","17,920","17,840","18,000","17,810","2,54M","0,84%"
"20.03.2025","17,770","17,810","18,000","17,710","0,13K","0,28%"
"19.03.2025","17,720","17,790","17,880","17,690","728,07K","0,06%"
"18.03.2025","17,710","17,640","17,780","17,560","821,24K","0,40%"
"17.03.2025","17,640","17,530","17,740","17,500","991,24K","0,80%"
"14.03.2025","17,500","17,500","17,690","17,410","923,76K","0,11%"
"13.03.2025","17,480","17,370","17,570","17,310","918,60K","0,63%"
"12.03.2025","17,370","17,530","17,530","17,290","831,68K","-0,80%"
"11.03.2025","17,510","17,640","17,790","17,450","1,00M","-0,74%"
"10.03.2025","17,640","17,150","17,640","17,150","1,50M","2,98%"
"07.03.2025","17,130","16,970","17,180","16,900","994,42K","1,30%"
"06.03.2025","16,910","16,900","16,940","16,660","1,29M","-0,65%"
