"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","63,500","63,300","63,600","63,250","20,51K","0,16%"
"30.12.2025","63,400","63,250","63,550","63,100","51,53K","0,48%"
"29.12.2025","63,100","63,000","63,650","62,800","86,83K","0,64%"
"24.12.2025","62,700","61,900","62,700","61,900","26,29K","0,32%"
"23.12.2025","62,500","62,650","63,000","62,250","69,93K","-0,16%"
"22.12.2025","62,600","62,250","62,750","61,650","64,81K","0,81%"
"19.12.2025","62,100","61,650","62,150","60,950","149,83K","0,32%"
"18.12.2025","61,900","60,750","62,250","60,500","59,80K","2,15%"
"17.12.2025","60,600","60,550","61,200","60,150","71,84K","0,08%"
"16.12.2025","60,550","63,200","63,200","59,650","158,04K","-3,74%"
"15.12.2025","62,900","62,250","63,250","62,250","113,94K","1,04%"
"12.12.2025","62,250","61,850","62,800","61,800","68,78K","0,65%"
"11.12.2025","61,850","61,850","62,200","61,450","77,29K","0,65%"
"10.12.2025","61,450","60,200","61,750","59,600","126,59K","2,08%"
"09.12.2025","60,200","60,400","60,950","60,150","65,14K","0,00%"
"08.12.2025","60,200","59,850","60,200","59,600","56,11K","0,58%"
"05.12.2025","59,850","60,100","60,900","59,850","87,18K","-0,25%"
"04.12.2025","60,000","60,000","60,550","59,650","80,77K","0,42%"
"03.12.2025","59,750","59,300","59,950","59,250","61,53K","0,93%"
"02.12.2025","59,200","60,000","60,600","59,000","61,65K","-1,33%"
"01.12.2025","60,000","59,150","60,850","59,150","122,28K","0,93%"
"28.11.2025","59,450","59,000","59,450","58,100","76,28K","1,11%"
"27.11.2025","58,800","59,100","59,150","58,550","45,54K","0,17%"
"26.11.2025","58,700","59,000","59,250","58,450","70,25K","0,43%"
"25.11.2025","58,450","58,400","59,650","57,800","102,32K","-0,34%"
"24.11.2025","58,650","58,300","58,750","58,000","132,11K","1,21%"
"21.11.2025","57,950","57,050","58,000","56,850","66,40K","0,61%"
"20.11.2025","57,600","59,050","59,100","57,600","64,72K","-1,54%"
"19.11.2025","58,500","58,050","58,750","58,000","114,96K","0,43%"
"18.11.2025","58,250","57,500","58,250","57,200","95,50K","-0,09%"
"17.11.2025","58,300","58,450","58,650","57,700","68,29K","-0,77%"
