"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","3,3650","3,3700","3,3800","3,3480","4,98M","-0,30%"
"30.12.2025","3,3750","3,3320","3,3850","3,3280","12,47M","1,29%"
"29.12.2025","3,3320","3,3630","3,3780","3,3250","11,26M","-0,51%"
"24.12.2025","3,3490","3,3410","3,3490","3,3240","2,74M","0,00%"
"23.12.2025","3,3490","3,3090","3,3490","3,2780","13,44M","-0,86%"
"22.12.2025","3,3780","3,4300","3,4300","3,3650","13,37M","-1,20%"
"19.12.2025","3,4190","3,3900","3,4190","3,3790","33,92M","1,51%"
"18.12.2025","3,3680","3,3650","3,3890","3,3400","12,46M","0,39%"
"17.12.2025","3,3550","3,3590","3,3780","3,3490","9,66M","0,48%"
"16.12.2025","3,3390","3,3310","3,3900","3,3310","13,12M","-0,33%"
"15.12.2025","3,3500","3,3130","3,3560","3,3080","10,93M","2,20%"
"12.12.2025","3,2780","3,3490","3,3670","3,2780","11,80M","-1,38%"
"11.12.2025","3,3240","3,3000","3,3460","3,2850","12,99M","1,09%"
"10.12.2025","3,2880","3,3050","3,3120","3,2800","6,26M","-1,17%"
"09.12.2025","3,3270","3,3000","3,3270","3,2770","12,46M","1,00%"
"08.12.2025","3,2940","3,2580","3,2940","3,2370","11,70M","1,45%"
"05.12.2025","3,2470","3,3000","3,3400","3,2470","10,54M","-1,25%"
"04.12.2025","3,2880","3,2730","3,2880","3,2340","12,10M","1,99%"
"03.12.2025","3,2240","3,2050","3,2890","3,1890","14,96M","0,91%"
"02.12.2025","3,1950","3,1960","3,2200","3,1810","10,05M","0,82%"
"01.12.2025","3,1690","3,1500","3,1850","3,1370","8,57M","0,99%"
"28.11.2025","3,1380","3,1820","3,1900","3,1330","7,56M","-1,26%"
"27.11.2025","3,1780","3,1920","3,1950","3,1600","6,42M","-0,16%"
"26.11.2025","3,1830","3,1480","3,1920","3,1340","9,28M","2,18%"
"25.11.2025","3,1150","3,1380","3,1570","3,1100","13,55M","-0,45%"
"24.11.2025","3,1290","3,1460","3,1610","3,1070","13,08M","1,13%"
"21.11.2025","3,0940","3,0630","3,0990","3,0370","9,12M","-0,80%"
"20.11.2025","3,1190","3,1530","3,1880","3,1190","9,16M","0,26%"
"19.11.2025","3,1110","3,0900","3,1240","3,0630","10,58M","0,91%"
"18.11.2025","3,0830","3,1000","3,1300","3,0700","14,36M","-2,56%"
"17.11.2025","3,1640","3,1820","3,2180","3,1420","10,68M","-0,57%"
"14.11.2025","3,1820","3,2130","3,2130","3,1200","21,83M","-2,09%"
"13.11.2025","3,2500","3,3260","3,3300","3,2500","35,02M","-5,22%"
