"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","10.0700","10.0360","10.1040","10.0300","7.15M","-0.55%"
"12/30/2025","10.1260","9.9400","10.1560","9.9320","16.87M","1.61%"
"12/29/2025","9.9660","9.9600","10.0360","9.9500","23.05M","-0.23%"
"12/24/2025","9.9890","9.9230","10.0220","9.9230","4.50M","-0.13%"
"12/23/2025","10.0020","9.9500","10.0260","9.8450","20.02M","0.63%"
"12/22/2025","9.9390","9.9640","10.0380","9.9170","17.07M","-0.31%"
"12/19/2025","9.9700","9.9700","10.0380","9.8860","39.69M","-0.25%"
"12/18/2025","9.9950","9.8340","9.9990","9.8230","25.06M","1.26%"
"12/17/2025","9.8710","9.8720","9.9650","9.8440","21.20M","0.55%"
"12/16/2025","9.8170","9.8420","9.9920","9.8030","25.44M","-0.57%"
"12/15/2025","9.8730","9.7830","9.8780","9.7740","20.76M","2.50%"
"12/12/2025","9.6320","9.8510","9.8960","9.6310","18.02M","-1.49%"
"12/11/2025","9.7780","9.6060","9.8190","9.5500","19.73M","1.84%"
"12/10/2025","9.6010","9.4930","9.6150","9.4740","15.80M","0.81%"
"12/09/2025","9.5240","9.4800","9.5720","9.4680","18.70M","0.36%"
"12/08/2025","9.4900","9.4200","9.4900","9.2810","14.38M","0.32%"
"12/05/2025","9.4600","9.5300","9.6320","9.4560","17.23M","-0.23%"
"12/04/2025","9.4820","9.4310","9.4820","9.3270","19.48M","1.78%"
"12/03/2025","9.3160","9.4770","9.5000","9.3020","29.24M","-1.22%"
"12/02/2025","9.4310","9.3300","9.4820","9.3130","18.04M","1.46%"
"12/01/2025","9.2950","9.2350","9.2970","9.1770","18.37M","0.56%"
"11/28/2025","9.2430","9.2410","9.2770","9.1950","14.81M","0.02%"
"11/27/2025","9.2410","9.1900","9.2910","9.1600","15.05M","0.30%"
"11/26/2025","9.2130","9.0990","9.2150","9.0680","22.15M","1.96%"
"11/25/2025","9.0360","8.8650","9.0630","8.8160","21.91M","2.36%"
"11/24/2025","8.8280","8.9300","8.9540","8.7930","54.00M","0.26%"
"11/21/2025","8.8050","8.7500","8.8680","8.7250","25.05M","-1.31%"
"11/20/2025","8.9220","9.0600","9.0600","8.9180","19.51M","0.02%"
"11/19/2025","8.9200","8.7730","8.9640","8.7370","23.86M","1.68%"
"11/18/2025","8.7730","8.9000","8.9410","8.7240","32.78M","-3.59%"
"11/17/2025","9.1000","9.2880","9.3120","9.0600","18.54M","-2.06%"
"11/14/2025","9.2910","9.3770","9.4100","9.2050","22.65M","-2.71%"
"11/13/2025","9.5500","9.5500","9.5990","9.5320","22.92M","-0.15%"
"11/12/2025","9.5640","9.3150","9.5970","9.3150","35.32M","2.74%"
"11/11/2025","9.3090","9.1570","9.3140","9.1550","22.61M","1.47%"
"11/10/2025","9.1740","9.0000","9.1740","8.9690","27.25M","3.67%"
"11/07/2025","8.8490","8.9850","9.0020","8.8100","21.93M","-1.05%"
"11/06/2025","8.9430","8.8800","8.9850","8.8400","22.01M","0.74%"
"11/05/2025","8.8770","8.6900","8.8770","8.6860","15.97M","0.81%"
"11/04/2025","8.8060","8.7460","8.8060","8.6250","18.76M","-0.46%"
"11/03/2025","8.8470","8.7800","8.9330","8.7600","17.09M","0.24%"
"10/31/2025","8.8260","8.7910","8.8540","8.7200","19.33M","0.87%"
"10/30/2025","8.7500","8.9580","8.9580","8.6050","25.58M","-2.56%"
"10/29/2025","8.9800","8.6070","8.9880","8.5520","42.59M","4.33%"
"10/28/2025","8.6070","8.5000","8.6430","8.4790","22.11M","1.13%"
"10/27/2025","8.5110","8.4200","8.5500","8.4100","16.29M","1.67%"
"10/24/2025","8.3710","8.4300","8.4680","8.3100","17.11M","-0.27%"
"10/23/2025","8.3940","8.4110","8.4740","8.3630","12.32M","0.06%"
"10/22/2025","8.3890","8.3650","8.4730","8.3440","20.61M","0.29%"
"10/21/2025","8.3650","8.4780","8.5010","8.3650","19.46M","-0.89%"
"10/20/2025","8.4400","8.4500","8.5090","8.3740","20.50M","1.80%"
"10/17/2025","8.2910","8.1800","8.4120","8.1000","44.95M","-3.36%"
"10/16/2025","8.5790","8.4860","8.5790","8.4200","17.40M","1.13%"
"10/15/2025","8.4830","8.5660","8.6350","8.4830","18.25M","-0.46%"
"10/14/2025","8.5220","8.5380","8.5590","8.4320","21.30M","-1.15%"
"10/13/2025","8.6210","8.6100","8.6780","8.5680","13.03M","1.19%"
"10/10/2025","8.5200","8.6430","8.7620","8.5200","19.95M","-1.47%"
"10/09/2025","8.6470","8.7220","8.7460","8.6140","14.30M","-1.31%"
"10/08/2025","8.7620","8.6140","8.7980","8.6120","18.00M","1.92%"
"10/07/2025","8.5970","8.6120","8.7040","8.5810","19.61M","-1.10%"
