"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","3,866","3,854","3,878","3,852","874,50K","0,16%"
"30.12.2025","3,860","3,830","3,872","3,810","1,77M","0,84%"
"29.12.2025","3,828","3,830","3,834","3,802","1,13M","-0,05%"
"24.12.2025","3,830","3,830","3,838","3,818","544,37K","0,05%"
"23.12.2025","3,828","3,846","3,846","3,810","1,06M","-0,26%"
"22.12.2025","3,838","3,818","3,850","3,794","1,36M","0,73%"
"19.12.2025","3,810","3,810","3,818","3,782","2,53M","0,32%"
"18.12.2025","3,798","3,768","3,804","3,746","1,45M","0,69%"
"17.12.2025","3,772","3,800","3,820","3,752","1,68M","-0,84%"
"16.12.2025","3,804","3,840","3,860","3,794","1,80M","-1,04%"
"15.12.2025","3,844","3,796","3,864","3,780","3,15M","2,29%"
"12.12.2025","3,758","3,788","3,828","3,758","2,74M","0,37%"
"11.12.2025","3,744","3,730","3,746","3,700","3,27M","0,59%"
"10.12.2025","3,722","3,780","3,820","3,676","8,21M","-5,96%"
"09.12.2025","3,958","3,990","4,010","3,954","1,31M","-0,75%"
"08.12.2025","3,988","3,886","3,988","3,884","1,99M","3,10%"
"05.12.2025","3,868","3,882","3,938","3,868","1,32M","-0,31%"
"04.12.2025","3,880","3,848","3,880","3,828","1,07M","1,04%"
"03.12.2025","3,840","3,844","3,844","3,814","1,01M","0,73%"
"02.12.2025","3,812","3,822","3,864","3,806","1,09M","-0,31%"
"01.12.2025","3,824","3,844","3,844","3,748","1,42M","-0,62%"
"28.11.2025","3,848","3,870","3,876","3,834","1,12M","-0,10%"
"27.11.2025","3,852","3,820","3,874","3,804","2,10M","1,26%"
"26.11.2025","3,804","3,790","3,814","3,752","1,05M","0,90%"
"25.11.2025","3,770","3,780","3,784","3,722","838,33K","0,11%"
"24.11.2025","3,766","3,694","3,772","3,694","2,61M","2,56%"
"21.11.2025","3,672","3,672","3,690","3,634","1,77M","-0,92%"
"20.11.2025","3,706","3,662","3,730","3,642","1,64M","1,76%"
"19.11.2025","3,642","3,600","3,642","3,554","2,03M","0,83%"
