"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","18,150","17,930","18,270","17,930","521,62K","0,58%"
"30.12.2025","18,045","17,970","18,090","17,855","543,75K","0,39%"
"29.12.2025","17,975","17,740","17,980","17,520","645,06K","1,67%"
"24.12.2025","17,680","17,700","17,765","17,585","158,27K","-0,06%"
"23.12.2025","17,690","17,100","17,950","17,100","1,15M","2,55%"
"22.12.2025","17,250","17,115","17,250","16,720","635,68K","0,55%"
"19.12.2025","17,155","17,000","17,250","16,785","1,83M","1,27%"
"18.12.2025","16,940","16,500","17,020","16,400","564,41K","2,42%"
"17.12.2025","16,540","16,975","17,190","16,540","756,95K","-2,19%"
"16.12.2025","16,910","16,820","16,960","16,635","456,84K","0,56%"
"15.12.2025","16,815","16,855","16,990","16,570","535,39K","0,15%"
"12.12.2025","16,790","16,740","17,190","16,600","677,66K","1,08%"
"11.12.2025","16,610","16,980","17,065","16,395","604,35K","-2,29%"
"10.12.2025","17,000","17,025","17,225","16,875","370,15K","-0,96%"
"09.12.2025","17,165","16,835","17,165","16,570","540,17K","1,90%"
"08.12.2025","16,845","16,900","17,290","16,775","699,45K","-0,12%"
"05.12.2025","16,865","17,155","17,285","16,825","490,95K","-1,69%"
"04.12.2025","17,155","17,030","17,275","16,825","467,78K","1,24%"
"03.12.2025","16,945","17,000","17,290","16,785","718,05K","0,80%"
"02.12.2025","16,810","16,315","17,035","16,155","767,73K","2,88%"
"01.12.2025","16,340","16,665","16,665","16,125","624,00K","-1,95%"
"28.11.2025","16,665","16,815","16,815","16,510","310,71K","-0,57%"
"27.11.2025","16,760","16,800","16,970","16,605","491,42K","0,60%"
"26.11.2025","16,660","16,530","16,770","16,190","739,12K","0,54%"
"25.11.2025","16,570","17,100","17,250","16,490","1,40M","-4,00%"
"24.11.2025","17,260","16,890","17,465","16,390","1,13M","0,20%"
"21.11.2025","17,225","17,260","17,460","17,000","1,04M","-2,57%"
"20.11.2025","17,680","18,460","18,945","17,680","1,53M","-0,98%"
"19.11.2025","17,855","17,420","17,970","16,940","1,16M","1,10%"
"18.11.2025","17,660","18,485","18,700","17,555","1,46M","-1,67%"
"17.11.2025","17,960","15,980","18,760","15,800","5,14M","15,72%"
"14.11.2025","15,520","15,120","15,520","14,660","1,26M","2,11%"
"13.11.2025","15,200","15,700","15,750","15,145","1,06M","-2,94%"
"12.11.2025","15,660","15,205","15,720","15,205","788,99K","3,85%"
"11.11.2025","15,080","15,780","15,795","14,960","1,18M","-3,64%"
"10.11.2025","15,650","15,520","15,895","15,500","806,78K","3,27%"
"07.11.2025","15,155","15,200","15,920","15,030","1,43M","0,46%"
"06.11.2025","15,085","15,670","15,715","15,085","755,27K","-3,39%"
"05.11.2025","15,615","15,400","15,685","15,070","846,89K","1,76%"
"04.11.2025","15,345","15,000","15,350","14,875","736,56K","2,23%"
"03.11.2025","15,010","14,700","15,280","14,610","1,04M","0,10%"
