"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","3.4930","3.5000","3.5260","3.4850","8.33M","-0.34%"
"12/30/2025","3.5050","3.4650","3.5190","3.4610","15.31M","0.89%"
"12/29/2025","3.4740","3.4000","3.4870","3.4000","18.86M","0.84%"
"12/24/2025","3.4450","3.4240","3.4590","3.4100","4.20M","0.26%"
"12/23/2025","3.4360","3.4020","3.4680","3.4020","12.48M","0.50%"
"12/22/2025","3.4190","3.4000","3.4230","3.3680","17.34M","-0.03%"
"12/19/2025","3.4200","3.4400","3.4670","3.3950","38.27M","-1.72%"
"12/18/2025","3.4800","3.4900","3.5030","3.4530","13.66M","-0.29%"
"12/17/2025","3.4900","3.4330","3.4990","3.4170","11.28M","0.93%"
"12/16/2025","3.4580","3.5030","3.5070","3.4580","13.49M","-4.82%"
"12/15/2025","3.6330","3.7140","3.7180","3.6330","21.62M","-2.18%"
"12/12/2025","3.7140","3.6700","3.7220","3.6650","9.05M","1.14%"
"12/11/2025","3.6720","3.6570","3.6790","3.6300","7.88M","0.66%"
"12/10/2025","3.6480","3.6310","3.6480","3.6130","6.38M","0.25%"
"12/09/2025","3.6390","3.6250","3.6720","3.6190","12.52M","0.19%"
"12/08/2025","3.6320","3.6600","3.6680","3.6260","7.06M","-1.04%"
"12/05/2025","3.6700","3.6700","3.7050","3.6480","10.09M","0.66%"
"12/04/2025","3.6460","3.6250","3.6730","3.5950","11.90M","0.36%"
"12/03/2025","3.6330","3.6300","3.6590","3.6240","9.06M","0.03%"
"12/02/2025","3.6320","3.6510","3.6890","3.6320","9.28M","-0.98%"
"12/01/2025","3.6680","3.7350","3.7510","3.6590","10.07M","-1.79%"
"11/28/2025","3.7350","3.7850","3.7910","3.7230","10.39M","-1.24%"
"11/27/2025","3.7820","3.7400","3.7820","3.7320","5.80M","1.12%"
"11/26/2025","3.7400","3.7090","3.7530","3.6940","7.40M","0.32%"
"11/25/2025","3.7280","3.6440","3.7370","3.6440","9.64M","2.00%"
"11/24/2025","3.6550","3.6880","3.7150","3.6440","19.99M","-0.52%"
"11/21/2025","3.6740","3.6100","3.6920","3.5970","9.72M","1.60%"
"11/20/2025","3.6160","3.6200","3.6380","3.5950","10.57M","-0.11%"
"11/19/2025","3.6200","3.6370","3.6540","3.6200","10.75M","-0.33%"
"11/18/2025","3.6320","3.6950","3.7070","3.6320","11.21M","-2.63%"
"11/17/2025","3.7300","3.7420","3.7510","3.6870","7.94M","-0.05%"
"11/14/2025","3.7320","3.7600","3.7830","3.7130","12.55M","0.46%"
"11/13/2025","3.7150","3.6030","3.7520","3.6010","14.58M","1.98%"
"11/12/2025","3.6430","3.6600","3.6830","3.6430","12.96M","-0.82%"
"11/11/2025","3.6730","3.5800","3.7020","3.5650","14.23M","2.23%"
"11/10/2025","3.5930","3.6200","3.6380","3.5820","13.47M","-1.70%"
"11/07/2025","3.6550","3.6420","3.6690","3.5750","12.94M","0.36%"
"11/06/2025","3.6420","3.6430","3.6690","3.5990","15.83M","0.44%"
"11/05/2025","3.6260","3.7120","3.7180","3.5620","34.85M","-2.76%"
"11/04/2025","3.7290","4.0350","4.0350","3.7120","75.49M","-13.12%"
"11/03/2025","4.2920","4.3750","4.3800","4.2920","14.70M","-2.17%"
"10/31/2025","4.3870","4.4850","4.5600","4.3490","17.92M","-1.81%"
"10/30/2025","4.4680","4.5000","4.5160","4.4140","7.40M","-0.69%"
"10/29/2025","4.4990","4.5760","4.5820","4.4890","10.23M","-1.47%"
"10/28/2025","4.5660","4.5950","4.5980","4.4940","7.67M","-0.07%"
"10/27/2025","4.5690","4.5520","4.5830","4.5460","4.96M","0.29%"
"10/24/2025","4.5560","4.5550","4.5680","4.5040","5.80M","-0.31%"
"10/23/2025","4.5700","4.6270","4.6300","4.5640","6.77M","-1.15%"
"10/22/2025","4.6230","4.5760","4.6320","4.5680","7.12M","1.03%"
"10/21/2025","4.5760","4.5890","4.6100","4.5670","6.51M","-0.11%"
"10/20/2025","4.5810","4.4980","4.6010","4.4970","10.27M","1.87%"
