"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2025","2,778","2,776","2,790","2,770","1,54M","-0,64%"
"30.12.2025","2,796","2,752","2,802","2,740","3,25M","1,90%"
"29.12.2025","2,744","2,778","2,786","2,740","4,42M","-1,37%"
"24.12.2025","2,782","2,778","2,784","2,774","918,14K","-0,22%"
"23.12.2025","2,788","2,764","2,788","2,742","2,70M","0,80%"
"22.12.2025","2,766","2,770","2,786","2,756","2,77M","-0,14%"
"19.12.2025","2,770","2,750","2,794","2,740","5,95M","0,80%"
"18.12.2025","2,748","2,704","2,748","2,698","3,10M","1,25%"
"17.12.2025","2,714","2,716","2,744","2,702","4,16M","0,37%"
"16.12.2025","2,704","2,742","2,768","2,704","4,86M","-1,24%"
"15.12.2025","2,738","2,700","2,746","2,700","5,22M","2,09%"
"12.12.2025","2,682","2,750","2,750","2,676","7,46M","-1,11%"
"11.12.2025","2,712","2,672","2,722","2,646","6,63M","1,95%"
"10.12.2025","2,660","2,644","2,682","2,630","9,46M","-0,37%"
"09.12.2025","2,670","2,650","2,676","2,636","4,01M","0,98%"
"08.12.2025","2,644","2,628","2,648","2,620","3,08M","0,53%"
"05.12.2025","2,630","2,640","2,666","2,620","4,07M","0,00%"
"04.12.2025","2,630","2,634","2,634","2,584","4,96M","0,69%"
"03.12.2025","2,612","2,600","2,638","2,588","6,41M","0,77%"
"02.12.2025","2,592","2,546","2,602","2,546","3,98M","1,97%"
"01.12.2025","2,542","2,530","2,546","2,512","3,41M","0,47%"
"28.11.2025","2,530","2,512","2,536","2,504","2,97M","0,72%"
"27.11.2025","2,512","2,530","2,548","2,510","2,82M","-0,24%"
"26.11.2025","2,518","2,500","2,528","2,468","4,92M","1,61%"
"25.11.2025","2,478","2,468","2,502","2,444","4,06M","0,16%"
"24.11.2025","2,474","2,414","2,474","2,400","7,02M","3,51%"
"21.11.2025","2,390","2,394","2,406","2,350","4,41M","-1,89%"
"20.11.2025","2,436","2,440","2,476","2,428","4,66M","1,08%"
"19.11.2025","2,410","2,408","2,424","2,372","3,34M","-0,08%"
"18.11.2025","2,412","2,410","2,438","2,394","3,87M","-1,71%"
"17.11.2025","2,454","2,450","2,488","2,440","4,08M","0,33%"
"14.11.2025","2,446","2,500","2,500","2,432","4,46M","-2,94%"
"13.11.2025","2,520","2,556","2,560","2,516","5,73M","-1,49%"
"12.11.2025","2,558","2,516","2,570","2,514","7,04M","2,24%"
"11.11.2025","2,502","2,510","2,514","2,492","4,24M","-0,24%"
"10.11.2025","2,508","2,450","2,508","2,446","5,55M","3,64%"
"07.11.2025","2,420","2,488","2,504","2,416","5,32M","-2,65%"
"06.11.2025","2,486","2,448","2,508","2,436","9,23M","2,22%"
"05.11.2025","2,432","2,382","2,432","2,374","5,95M","1,42%"
"04.11.2025","2,398","2,350","2,398","2,320","7,14M","1,01%"
"03.11.2025","2,374","2,342","2,400","2,324","7,31M","1,45%"
"31.10.2025","2,340","2,380","2,450","2,272","15,89M","-0,43%"
"30.10.2025","2,350","2,362","2,370","2,326","4,75M","0,26%"
"29.10.2025","2,344","2,350","2,364","2,322","5,34M","-0,26%"
"28.10.2025","2,350","2,330","2,356","2,322","4,39M","0,77%"
"27.10.2025","2,332","2,338","2,346","2,328","4,13M","0,60%"
"24.10.2025","2,318","2,304","2,322","2,290","3,81M","1,13%"
"23.10.2025","2,292","2,342","2,342","2,292","5,78M","-2,13%"
"22.10.2025","2,342","2,360","2,372","2,314","5,90M","-0,43%"
"21.10.2025","2,352","2,360","2,384","2,350","5,81M","0,00%"
"20.10.2025","2,352","2,350","2,374","2,326","5,11M","1,91%"
"17.10.2025","2,308","2,286","2,360","2,242","10,04M","-0,26%"
"16.10.2025","2,314","2,320","2,336","2,286","4,54M","0,26%"
"15.10.2025","2,308","2,350","2,372","2,308","5,89M","-1,62%"
"14.10.2025","2,346","2,300","2,346","2,276","4,13M","1,65%"
"13.10.2025","2,308","2,296","2,322","2,292","3,09M","1,23%"
"10.10.2025","2,280","2,334","2,358","2,276","7,72M","-2,31%"
"09.10.2025","2,334","2,346","2,356","2,332","3,82M","-1,19%"
"08.10.2025","2,362","2,306","2,362","2,306","5,07M","2,79%"
"07.10.2025","2,298","2,292","2,314","2,286","4,90M","-0,17%"
"06.10.2025","2,302","2,320","2,330","2,278","5,06M","-0,95%"
"03.10.2025","2,324","2,344","2,362","2,314","4,10M","0,00%"
"02.10.2025","2,324","2,332","2,366","2,320","5,57M","-0,17%"
"01.10.2025","2,328","2,326","2,336","2,286","4,49M","-0,09%"
"30.09.2025","2,330","2,300","2,340","2,300","6,79M","0,95%"
"29.09.2025","2,308","2,320","2,324","2,282","4,75M","-0,26%"
"26.09.2025","2,314","2,274","2,314","2,268","5,84M","2,30%"
"25.09.2025","2,262","2,234","2,268","2,218","6,81M","-1,05%"
"24.09.2025","2,286","2,260","2,288","2,236","4,58M","1,33%"
"23.09.2025","2,256","2,242","2,268","2,220","6,21M","-1,91%"
"22.09.2025","2,300","2,360","2,360","2,290","9,91M","-2,29%"
"19.09.2025","2,354","2,348","2,356","2,328","32,03M","1,03%"
"18.09.2025","2,330","2,350","2,358","2,308","5,57M","0,09%"
"17.09.2025","2,328","2,370","2,382","2,320","5,39M","-1,19%"
"16.09.2025","2,356","2,416","2,418","2,356","6,38M","-2,81%"
"15.09.2025","2,424","2,394","2,430","2,394","4,57M","1,93%"
"12.09.2025","2,378","2,410","2,410","2,362","3,17M","-1,00%"
"11.09.2025","2,402","2,380","2,406","2,362","3,20M","0,92%"
"10.09.2025","2,380","2,380","2,392","2,346","4,48M","0,68%"
"09.09.2025","2,364","2,380","2,386","2,324","4,56M","0,25%"
"08.09.2025","2,358","2,342","2,358","2,330","2,97M","1,90%"
"05.09.2025","2,314","2,346","2,360","2,306","4,11M","-0,77%"
"04.09.2025","2,332","2,310","2,332","2,300","4,65M","0,87%"
"03.09.2025","2,312","2,364","2,372","2,294","5,94M","-2,03%"
"02.09.2025","2,360","2,380","2,382","2,338","5,30M","-0,67%"
"01.09.2025","2,376","2,388","2,390","2,362","2,81M","0,25%"
"29.08.2025","2,370","2,384","2,384","2,344","3,30M","-0,50%"
"28.08.2025","2,382","2,376","2,388","2,358","2,78M","0,42%"
"27.08.2025","2,372","2,412","2,424","2,350","3,26M","-1,74%"
"26.08.2025","2,414","2,414","2,416","2,362","4,50M","-0,66%"
"25.08.2025","2,430","2,442","2,454","2,430","1,97M","-0,65%"
"22.08.2025","2,446","2,420","2,450","2,414","2,54M","0,82%"
"21.08.2025","2,426","2,402","2,432","2,402","3,13M","1,00%"
"20.08.2025","2,402","2,412","2,412","2,386","2,36M","-0,41%"
"19.08.2025","2,412","2,404","2,424","2,404","3,57M","0,08%"
"18.08.2025","2,410","2,396","2,410","2,370","2,88M","0,58%"
"15.08.2025","2,396","2,436","2,444","2,386","3,49M","-0,75%"
"14.08.2025","2,414","2,354","2,414","2,354","4,27M","0,75%"
"13.08.2025","2,396","2,406","2,414","2,396","3,92M","0,42%"
"12.08.2025","2,386","2,410","2,420","2,380","4,86M","-0,58%"
"11.08.2025","2,400","2,400","2,408","2,352","4,82M","0,93%"
"08.08.2025","2,378","2,316","2,378","2,314","4,41M","2,77%"
"07.08.2025","2,314","2,288","2,324","2,288","5,25M","1,85%"
"06.08.2025","2,272","2,266","2,290","2,246","3,49M","0,80%"
"05.08.2025","2,254","2,276","2,276","2,230","4,76M","-0,27%"
"04.08.2025","2,260","2,246","2,270","2,230","3,93M","1,44%"
"01.08.2025","2,228","2,302","2,302","2,202","5,05M","-3,38%"
"31.07.2025","2,306","2,320","2,344","2,294","5,38M","0,09%"
"30.07.2025","2,304","2,298","2,310","2,244","4,73M","0,70%"
